date,mean_concentration
2019-01-01,1.0369470574512569e+20
2019-01-16,9.348707655954443e+19
2019-02-01,1.126722215961592e+20
2019-02-16,1.3157157824913768e+20
2019-03-01,1.139847076734171e+20
2019-03-16,1.3909193129321585e+20
2019-04-01,1.213415588222102e+20
2019-04-16,1.285867534988407e+20
2019-05-01,1.6207666862978197e+20
2019-05-16,1.5790674799786557e+20
2019-06-01,1.5908338385388673e+20
2019-06-16,1.1210952179524113e+20
2019-07-01,9.865532965302313e+19
2019-07-16,1.1015529971126069e+20
2019-08-01,8.50093821436572e+19
2019-08-16,1.09660338525559e+20
2019-09-01,8.630302826532099e+19
2019-09-16,8.525536433583097e+19
2019-10-01,1.2536366748113176e+20
2019-10-16,7.220312073619791e+19
2019-11-01,1.0806808839233987e+20
2019-11-16,8.778932022616112e+19
2019-12-01,7.256453972096448e+19
2019-12-16,1.0236973519533647e+20
2020-01-01,1.3391125394987652e+20
2020-01-16,1.0362568274662628e+20
2020-02-01,9.913116234885577e+19
2020-02-16,1.1327602480314473e+20
2020-03-01,1.1557166413354613e+20
2020-03-16,1.353217258107141e+20
2020-04-01,1.307381972135956e+20
2020-04-16,1.0583144450441069e+20
2020-05-01,1.2700259311985426e+20
2020-05-16,1.3434890568000884e+20
2020-06-01,1.1335200644477108e+20
2020-06-16,1.0200050625948844e+20
2020-07-01,8.350806693284274e+19
2020-07-16,7.66914205029939e+19
2020-08-01,6.823727188130149e+19
2020-08-16,9.48881659177314e+19
2020-09-01,1.0304710178553133e+20
2020-09-16,8.143819694498988e+19
2020-10-01,4.955622741611048e+19
2020-10-16,8.818701909895692e+19
2020-11-01,9.630153268270517e+19
2020-11-16,9.94491892610339e+19
2020-12-01,9.502801837506139e+19
2020-12-16,9.183831239011685e+19
2021-01-01,7.271691432396003e+19
2021-01-16,1.115487131447178e+20
2021-02-01,1.0566778020297045e+20
2021-02-16,1.3314738830034839e+20
2021-03-01,1.4130643001448799e+20
2021-03-16,1.515416725713777e+20
2021-04-01,1.4265505254947684e+20
2021-04-16,1.4327365817815002e+20
2021-05-01,1.2412984973197921e+20
2021-05-16,1.3142587808112278e+20
2021-06-01,1.1175918085201887e+20
2021-06-16,1.3118253724481782e+20
2021-07-01,1.9389055715826457e+20
2021-07-16,9.239023297913804e+19
2021-08-01,1.1102730544180507e+20
2021-08-16,9.016285441025396e+19
2021-09-01,8.026087097356085e+19
2021-09-16,1.0959178056265618e+20
2021-10-01,7.1004923679314215e+19
2021-10-16,1.1224407394274157e+20
2021-11-01,1.0535363126108686e+20
2021-11-16,6.0692608241465205e+19
2021-12-01,6.842097069102323e+19
2021-12-16,7.624663898268254e+19
2022-01-01,9.563227426262365e+19
2022-01-16,1.1370748731478072e+20
2022-02-01,1.1274662939792099e+20
2022-02-16,1.2128841391203472e+20
2022-03-01,1.3004539191946138e+20
2022-03-16,1.568967284342549e+20
2022-04-01,1.2261408524906571e+20
2022-04-16,1.5651267844555106e+20
2022-05-01,1.3941691048607675e+20
2022-05-16,1.6166784452723714e+20
2022-06-01,1.7675901131484614e+20
2022-06-16,8.904611916864325e+19
2022-07-01,8.728442596079293e+19
2022-07-16,7.777083993464722e+19
2022-08-01,9.722377088974666e+19
2022-08-16,1.1217512224025087e+20
2022-09-01,9.094838938318302e+19
2022-09-16,9.985746420339161e+19
2022-10-01,7.486049309436e+19
2022-10-16,9.9526209943901e+19
2022-11-01,1.10884257048069e+20
2022-11-16,1.2255631722285531e+20
2022-12-01,9.107705291873758e+19
2022-12-16,9.616948165894072e+19
2023-01-01,1.181492948965841e+20
2023-01-16,9.425061030230745e+19
2023-02-01,1.361105921675787e+20
2023-02-16,1.4836418675647804e+20
2023-03-01,1.378267577058036e+20
2023-03-16,1.0255881139296054e+20
2023-04-01,1.4423980740637e+20
2023-04-16,1.5518833676061783e+20
2023-05-01,1.2656019187414796e+20
2023-05-16,1.7275129993440847e+20
2023-06-01,2.1563800182012382e+20
2023-06-16,1.7088042840727316e+20
2023-07-01,1.2458940935827002e+20
2023-07-16,8.808799028639305e+19
2023-08-01,1.0562233379750979e+20
2023-08-16,1.1692636485927207e+20
2023-09-01,1.0585341565077414e+20
2023-09-16,1.1376002606217729e+20
2023-10-01,1.4334814783708732e+20
2023-10-16,1.3677613983300212e+20
2023-11-01,1.0710405482428023e+20
2023-11-16,9.396771104516915e+19
2023-12-01,1.0212528367518097e+20
2023-12-16,1.1413119583295511e+20
