date,mean_concentration
2019-01-01,1.0352037509203385e+20
2019-01-16,7.459063070089549e+19
2019-02-01,1.1028005750332706e+20
2019-02-16,1.5749410049364807e+20
2019-03-01,1.3957448217951129e+20
2019-03-16,1.5721336135873957e+20
2019-04-01,1.481664392398474e+20
2019-04-16,1.5972482093357203e+20
2019-05-01,1.8863641780360774e+20
2019-05-16,1.889409305811243e+20
2019-06-01,1.5842561093266788e+20
2019-06-16,9.21909729101278e+19
2019-07-01,7.693165737618381e+19
2019-07-16,8.46752611359784e+19
2019-08-01,7.89334314631651e+19
2019-08-16,1.0073273875166233e+20
2019-09-01,8.411533446318101e+19
2019-09-16,9.853926049452989e+19
2019-10-01,1.2478003698980456e+20
2019-10-16,6.408278439129787e+19
2019-11-01,1.2301982741716415e+20
2019-11-16,1.1378072151773173e+20
2019-12-01,2.9133963112773005e+19
2019-12-16,7.451929564455018e+19
2020-01-01,1.1779773255329171e+20
2020-01-16,1.1182064985383397e+20
2020-02-01,4.988049554234059e+19
2020-02-16,1.1664437586334604e+20
2020-03-01,1.3248224216834174e+20
2020-03-16,1.5431464130537544e+20
2020-04-01,1.5757866728172247e+20
2020-04-16,1.3110098457884754e+20
2020-05-01,1.510421895445081e+20
2020-05-16,1.7018381918007394e+20
2020-06-01,1.1696553454763069e+20
2020-06-16,1.1104991046304398e+20
2020-07-01,6.615395290841018e+19
2020-07-16,9.980662457146746e+19
2020-08-01,6.333736616778261e+19
2020-08-16,7.661941122640167e+19
2020-09-01,1.011992569191925e+20
2020-09-16,9.503638824396856e+19
2020-10-01,1.0497708967547704e+20
2020-10-16,1.0326730083586785e+20
2020-11-01,1.1279955682104207e+20
2020-11-16,8.370329941496565e+19
2020-12-01,1.0345224548943448e+20
2020-12-16,9.672288227808163e+19
2021-01-01,8.926945379159599e+19
2021-01-16,9.910604889061574e+19
2021-02-01,1.0464169660412831e+20
2021-02-16,1.6045212217565174e+20
2021-03-01,1.838581154385191e+20
2021-03-16,1.6506627483069225e+20
2021-04-01,1.6222478901188343e+20
2021-04-16,1.661836156486089e+20
2021-05-01,1.5202838094486536e+20
2021-05-16,1.2119435779970587e+20
2021-06-01,1.2784184515295612e+20
2021-06-16,1.4810841311631052e+20
2021-07-01,1.851892243051782e+20
2021-07-16,8.175286065946078e+19
2021-08-01,9.245027995251515e+19
2021-08-16,7.57620271726764e+19
2021-09-01,5.700425225486929e+19
2021-09-16,1.2375418211324119e+20
2021-10-01,8.732425263340118e+19
2021-10-16,1.2335772922128461e+20
2021-11-01,7.532214147862156e+19
2021-11-16,7.310028751956013e+19
2021-12-01,5.955876040270238e+19
2021-12-16,8.614489928839917e+19
2022-01-01,1.05696889487438e+20
2022-01-16,9.720750866161161e+19
2022-02-01,1.3259584717336989e+20
2022-02-16,1.208230508457789e+20
2022-03-01,1.160277995777072e+20
2022-03-16,1.7098925591771057e+20
2022-04-01,1.2738518181949484e+20
2022-04-16,1.838579496687995e+20
2022-05-01,1.765707061803378e+20
2022-05-16,1.7284161795085953e+20
2022-06-01,1.6215852158252676e+20
2022-06-16,1.067709501506014e+20
2022-07-01,1.0641125235732267e+20
2022-07-16,7.430193134609973e+19
2022-08-01,1.0990035428477757e+20
2022-08-16,7.868799115394692e+19
2022-09-01,9.711854397366816e+19
2022-09-16,1.025902256307186e+20
2022-10-01,1.0441840436346272e+20
2022-10-16,1.0825237354881892e+20
2022-11-01,9.144700931952719e+19
2022-11-16,1.351514344594156e+20
2022-12-01,9.066508893087652e+19
2022-12-16,1.11724381781698e+20
2023-01-01,1.1985893029341105e+20
2023-01-16,9.783102393201462e+19
2023-02-01,1.572966123944374e+20
2023-02-16,1.738244956511387e+20
2023-03-01,1.5395393128700422e+20
2023-03-16,1.2437799818124314e+20
2023-04-01,1.549372027126804e+20
2023-04-16,1.9550704167718912e+20
2023-05-01,1.6096228657820706e+20
2023-05-16,2.0656574223443817e+20
2023-06-01,2.111760381333887e+20
2023-06-16,1.3711538795595709e+20
2023-07-01,1.1669109694855291e+20
2023-07-16,1.0452958263539625e+20
2023-08-01,7.887999340735652e+19
2023-08-16,1.0959598842092903e+20
2023-09-01,8.390737252528243e+19
2023-09-16,1.1732081689874617e+20
2023-10-01,1.2893280083879495e+20
2023-10-16,1.1657223380622123e+20
2023-11-01,1.2848536246303135e+20
2023-11-16,1.0497012136363976e+20
2023-12-01,9.04343896841946e+19
2023-12-16,1.2259888951659953e+20
