date,mean_concentration
2019-01-01,5.5178251805965795e+19
2019-01-16,5.776121412673391e+19
2019-02-01,4.957795682860754e+19
2019-02-16,4.342178430203816e+19
2019-03-01,4.674558256627775e+19
2019-03-16,4.9634422495614665e+19
2019-04-01,5.319586259852749e+19
2019-04-16,5.5850861880725635e+19
2019-05-01,6.6325884261465596e+19
2019-05-16,7.52125937957944e+19
2019-06-01,7.203741765908234e+19
2019-06-16,7.792864294576867e+19
2019-07-01,6.83946408619552e+19
2019-07-16,4.9499710231882195e+19
2019-08-01,4.932942174861452e+19
2019-08-16,5.143731198415366e+19
2019-09-01,4.93598316475809e+19
2019-09-16,4.820106096895362e+19
2019-10-01,5.162106587092633e+19
2019-10-16,5.450178576153087e+19
2019-11-01,5.354316871875643e+19
2019-11-16,6.269244051832777e+19
2019-12-01,6.157273778122365e+19
2019-12-16,5.243670693410681e+19
2020-01-01,5.1522646970293125e+19
2020-01-16,5.2635606307983884e+19
2020-02-01,5.605043433568283e+19
2020-02-16,4.937324962304745e+19
2020-03-01,4.397858337976988e+19
2020-03-16,4.601175445885957e+19
2020-04-01,4.134874648376707e+19
2020-04-16,4.9105785422114595e+19
2020-05-01,6.106060380573893e+19
2020-05-16,7.286053808612679e+19
2020-06-01,6.306874769244725e+19
2020-06-16,6.427058286159352e+19
2020-07-01,5.518840052118262e+19
2020-07-16,5.107029640243323e+19
2020-08-01,5.131088074125741e+19
2020-08-16,4.377521766872563e+19
2020-09-01,4.841061841301632e+19
2020-09-16,5.358160573574804e+19
2020-10-01,6.0402516016458965e+19
2020-10-16,5.59339855231548e+19
2020-11-01,5.856862009560704e+19
2020-11-16,5.564261537538469e+19
2020-12-01,5.798357874423731e+19
2020-12-16,5.955908705047213e+19
2021-01-01,7.261040467276465e+19
2021-01-16,6.374899608389359e+19
2021-02-01,5.392331561468662e+19
2021-02-16,4.606020804415488e+19
2021-03-01,4.684389845645351e+19
2021-03-16,5.021061858835436e+19
2021-04-01,5.297442386505533e+19
2021-04-16,5.858508072762542e+19
2021-05-01,7.1096041981735944e+19
2021-05-16,6.675113523975631e+19
2021-06-01,7.223916002921359e+19
2021-06-16,7.466016583960877e+19
2021-07-01,7.00239579311746e+19
2021-07-16,5.699519342421432e+19
2021-08-01,5.4964196886340665e+19
2021-08-16,5.450052439924805e+19
2021-09-01,5.1250256031788e+19
2021-09-16,5.034991110703661e+19
2021-10-01,5.785980384454127e+19
2021-10-16,6.9097893420291146e+19
2021-11-01,6.646435947684256e+19
2021-11-16,5.910407698062453e+19
2021-12-01,5.472585462557247e+19
2021-12-16,6.37616921619932e+19
2022-01-01,7.797310081053001e+19
2022-01-16,5.546617504138254e+19
2022-02-01,5.47595499333794e+19
2022-02-16,5.185061833540421e+19
2022-03-01,4.527397807414604e+19
2022-03-16,5.307996513783981e+19
2022-04-01,6.140381526977008e+19
2022-04-16,6.586779114517513e+19
2022-05-01,7.720142501431992e+19
2022-05-16,6.905942663271897e+19
2022-06-01,7.716103988787755e+19
2022-06-16,7.449849282740553e+19
2022-07-01,5.853245019584591e+19
2022-07-16,5.206821767714391e+19
2022-08-01,5.046526504534894e+19
2022-08-16,4.741848038854258e+19
2022-09-01,5.0718330425793905e+19
2022-09-16,4.9945894363144585e+19
2022-10-01,5.984725433231801e+19
2022-10-16,6.562627739460694e+19
2022-11-01,7.1543187295227716e+19
2022-11-16,7.340573248495488e+19
2022-12-01,6.4285745366167175e+19
2022-12-16,7.825380553806365e+19
2023-01-01,6.060126692815208e+19
2023-01-16,5.9457272861748625e+19
2023-02-01,5.544311093650868e+19
2023-02-16,5.6923931099260486e+19
2023-03-01,5.2513549289110815e+19
2023-03-16,5.38030520502832e+19
2023-04-01,6.0529553142859014e+19
2023-04-16,7.000025036630363e+19
2023-05-01,8.682474742583014e+19
2023-05-16,8.10204158073863e+19
2023-06-01,8.214312019782663e+19
2023-06-16,6.937561368072267e+19
2023-07-01,6.299975489590259e+19
2023-07-16,5.595630938507045e+19
2023-08-01,5.677769630573104e+19
2023-08-16,5.650278271849973e+19
2023-09-01,5.644310866860559e+19
2023-09-16,5.016221738962199e+19
2023-10-01,6.155531842439797e+19
2023-10-16,6.197699039737697e+19
2023-11-01,6.6424300588016255e+19
2023-11-16,6.6040403414479995e+19
2023-12-01,5.162906115262939e+19
2023-12-16,5.014967410638621e+19
