date,mean_concentration
2019-01-01,3.524390683860115e+19
2019-01-16,3.4070875687561662e+19
2019-02-01,3.2057769924581347e+19
2019-02-16,3.877691524265524e+19
2019-03-01,4.129762416578273e+19
2019-03-16,4.267363691972695e+19
2019-04-01,4.715755265908477e+19
2019-04-16,4.7506733013334565e+19
2019-05-01,4.4813603269613806e+19
2019-05-16,5.092774878153808e+19
2019-06-01,4.399997774385523e+19
2019-06-16,3.836974772397356e+19
2019-07-01,3.333405389651044e+19
2019-07-16,3.2243330652750926e+19
2019-08-01,3.522367464698943e+19
2019-08-16,3.2129147769734316e+19
2019-09-01,2.828144728639681e+19
2019-09-16,3.032832268098717e+19
2019-10-01,3.35219159101534e+19
2019-10-16,2.774382857118225e+19
2019-11-01,3.0451395983812805e+19
2019-11-16,2.8750448284582134e+19
2019-12-01,2.8381501224554623e+19
2019-12-16,2.6882166190185017e+19
2020-01-01,2.767693578032346e+19
2020-01-16,3.0089259261181104e+19
2020-02-01,2.8188359831562404e+19
2020-02-16,3.2651774340369957e+19
2020-03-01,3.345692967905471e+19
2020-03-16,3.558159079154555e+19
2020-04-01,3.747068242732363e+19
2020-04-16,3.928773783677027e+19
2020-05-01,4.277232492560579e+19
2020-05-16,4.138537415375096e+19
2020-06-01,3.796825160093513e+19
2020-06-16,3.4490919251506504e+19
2020-07-01,3.0528114131533525e+19
2020-07-16,3.2539022634720563e+19
2020-08-01,2.6181024822722347e+19
2020-08-16,3.0609573492781363e+19
2020-09-01,3.2205839295457985e+19
2020-09-16,3.1097215898039656e+19
2020-10-01,3.3773289110729667e+19
2020-10-16,3.4067972533573804e+19
2020-11-01,3.723777318145455e+19
2020-11-16,3.4635878225710985e+19
2020-12-01,3.0062264409967587e+19
2020-12-16,3.302479128417553e+19
2021-01-01,3.017762105106921e+19
2021-01-16,3.3155553641454273e+19
2021-02-01,3.724366443077731e+19
2021-02-16,3.862118652806937e+19
2021-03-01,4.2238728712068145e+19
2021-03-16,4.257190088467377e+19
2021-04-01,4.39972525551008e+19
2021-04-16,4.694788191725302e+19
2021-05-01,4.117568968285305e+19
2021-05-16,3.80802811932479e+19
2021-06-01,3.887880629370776e+19
2021-06-16,3.74338058497925e+19
2021-07-01,4.043422193003193e+19
2021-07-16,3.611710590201412e+19
2021-08-01,3.4003436303666123e+19
2021-08-16,3.870650313815964e+19
2021-09-01,3.257079175910187e+19
2021-09-16,3.650329492317593e+19
2021-10-01,3.3957348616399184e+19
2021-10-16,3.545816213364093e+19
2021-11-01,3.7579272257207304e+19
2021-11-16,3.0176090658035143e+19
2021-12-01,3.2391004942518563e+19
2021-12-16,3.4799299453846397e+19
2022-01-01,3.2120937820987888e+19
2022-01-16,3.709387971497435e+19
2022-02-01,3.4193957866414498e+19
2022-02-16,3.5602936670213886e+19
2022-03-01,4.048114690821567e+19
2022-03-16,4.480039021252922e+19
2022-04-01,4.07092928936001e+19
2022-04-16,4.187574149918957e+19
2022-05-01,4.590637983314737e+19
2022-05-16,3.830224622931608e+19
2022-06-01,3.872491531609799e+19
2022-06-16,3.705527408120064e+19
2022-07-01,3.182830193412246e+19
2022-07-16,3.5897300123900723e+19
2022-08-01,3.117848216442867e+19
2022-08-16,3.4206246691409293e+19
2022-09-01,3.448885265230369e+19
2022-09-16,3.3991564778739905e+19
2022-10-01,3.482778011672864e+19
2022-10-16,4.052295381938345e+19
2022-11-01,3.6146491995385774e+19
2022-11-16,3.897345179857169e+19
2022-12-01,4.126169864459777e+19
2022-12-16,4.280218599123152e+19
2023-01-01,3.7946882520993866e+19
2023-01-16,3.6585119548802154e+19
2023-02-01,4.425693957743109e+19
2023-02-16,4.577513227410171e+19
2023-03-01,4.08374771429324e+19
2023-03-16,4.953443946926122e+19
2023-04-01,4.600754663634516e+19
2023-04-16,4.791319945698586e+19
2023-05-01,4.754879288525377e+19
2023-05-16,4.873586792451107e+19
2023-06-01,4.893769113832216e+19
2023-06-16,4.376993765239551e+19
2023-07-01,4.020571891235363e+19
2023-07-16,2.7374771149054243e+19
2023-08-01,3.416993623688709e+19
2023-08-16,4.233726372766102e+19
2023-09-01,3.6462209270788383e+19
2023-09-16,3.200254161454815e+19
2023-10-01,3.721176931791816e+19
2023-10-16,4.273856544967174e+19
2023-11-01,3.766089688961202e+19
2023-11-16,3.6505730892446708e+19
2023-12-01,3.645035440527077e+19
2023-12-16,3.0602350313957847e+19
