date,mean_concentration
2019-01-01,8.233078430653271e+19
2019-01-16,8.492624798683149e+19
2019-02-01,8.745503383765092e+19
2019-02-16,9.355421376280078e+19
2019-03-01,1.0101390405949797e+20
2019-03-16,8.797500696789449e+19
2019-04-01,1.0194939799797062e+20
2019-04-16,8.115605637439539e+19
2019-05-01,8.092597092970598e+19
2019-05-16,8.79721430157445e+19
2019-06-01,7.705541700134216e+19
2019-06-16,8.250290964315762e+19
2019-07-01,4.995693601130611e+19
2019-07-16,5.221980820868832e+19
2019-08-01,5.392450185468566e+19
2019-08-16,4.616483577027892e+19
2019-09-01,4.63365124821419e+19
2019-09-16,5.122516005777912e+19
2019-10-01,7.218398752366341e+19
2019-10-16,6.955848803957018e+19
2019-11-01,6.9653591860141375e+19
2019-11-16,8.826392187305732e+19
2019-12-01,6.77566101457332e+19
2019-12-16,7.205489521223519e+19
2020-01-01,7.199619252433526e+19
2020-01-16,8.864154129463163e+19
2020-02-01,8.23405611008213e+19
2020-02-16,9.26774218877529e+19
2020-03-01,8.497651025999687e+19
2020-03-16,6.695709516992607e+19
2020-04-01,6.959997842060857e+19
2020-04-16,6.5823117051524055e+19
2020-05-01,6.224584256260898e+19
2020-05-16,6.021480614445153e+19
2020-06-01,6.592586436229671e+19
2020-06-16,5.1037323624188666e+19
2020-07-01,5.178118873003176e+19
2020-07-16,5.276513338789203e+19
2020-08-01,5.302772241442747e+19
2020-08-16,5.431730238318541e+19
2020-09-01,4.243941332051841e+19
2020-09-16,5.049645784187065e+19
2020-10-01,6.513481424540776e+19
2020-10-16,6.219904325000396e+19
2020-11-01,6.10157466137307e+19
2020-11-16,7.194297390547959e+19
2020-12-01,2.1546389414696216e+20
2020-12-16,1.103138894928357e+20
2021-01-01,9.13010551844839e+19
2021-01-16,9.472174626001186e+19
2021-02-01,9.153268231127253e+19
2021-02-16,1.0941936772283766e+20
2021-03-01,1.3936557299419626e+20
2021-03-16,1.2076934943614657e+20
2021-04-01,1.0289978483091898e+20
2021-04-16,9.526816314585158e+19
2021-05-01,8.911081596233028e+19
2021-05-16,7.761346842213953e+19
2021-06-01,8.336419544524308e+19
2021-06-16,8.806000227091187e+19
2021-07-01,6.009114867525951e+19
2021-07-16,6.41350966512781e+19
2021-08-01,6.4764662489153905e+19
2021-08-16,5.4905853209822536e+19
2021-09-01,7.43546342546568e+19
2021-09-16,6.1546949626298106e+19
2021-10-01,7.800652406755444e+19
2021-10-16,7.52038336973254e+19
2021-11-01,8.422616029166287e+19
2021-11-16,9.382165957816472e+19
2021-12-01,8.356327509280198e+19
2021-12-16,7.572953298782449e+19
2022-01-01,8.17837084556736e+19
2022-01-16,8.01911586614902e+19
2022-02-01,9.868091632242462e+19
2022-02-16,8.578883844113184e+19
2022-03-01,7.99719600050099e+19
2022-03-16,9.742989713656449e+19
2022-04-01,9.696656000061794e+19
2022-04-16,9.91735995640336e+19
2022-05-01,7.626307343234061e+19
2022-05-16,8.142923953683107e+19
2022-06-01,8.457969515732846e+19
2022-06-16,6.268144013269381e+19
2022-07-01,4.972482784088098e+19
2022-07-16,5.4973042193550156e+19
2022-08-01,4.4675653382629925e+19
2022-08-16,5.382706990059484e+19
2022-09-01,6.826422438424791e+19
2022-09-16,5.6839456214269485e+19
2022-10-01,5.1856048616227774e+19
2022-10-16,6.1857466846895145e+19
2022-11-01,7.939296511209577e+19
2022-11-16,8.130212565843373e+19
2022-12-01,8.592063038997999e+19
2022-12-16,1.0059513703975772e+20
2023-01-01,8.360230800399267e+19
2023-01-16,8.95362738922972e+19
2023-02-01,1.0416837132999552e+20
2023-02-16,1.1907648372764393e+20
2023-03-01,1.0064302283583116e+20
2023-03-16,1.1023382469279837e+20
2023-04-01,9.39306293999541e+19
2023-04-16,1.100956013184111e+20
2023-05-01,9.692459856883338e+19
2023-05-16,1.0212575327885243e+20
2023-06-01,9.095912271686132e+19
2023-06-16,8.755038474564968e+19
2023-07-01,6.210461733207807e+19
2023-07-16,4.9643095998546756e+19
2023-08-01,9.463560501033953e+19
2023-08-16,6.922523773672028e+19
2023-09-01,6.838516537058073e+19
2023-09-16,5.095375822298096e+19
2023-10-01,9.523498339137033e+19
2023-10-16,6.949989114797857e+19
2023-11-01,8.989110210645518e+19
2023-11-16,7.53496910610469e+19
2023-12-01,7.631271823646972e+19
2023-12-16,7.491898558064129e+19
