date,mean_concentration
2019-01-01,4.126420724934892e+19
2019-01-16,4.153027447417751e+19
2019-02-01,3.953271610321335e+19
2019-02-16,4.209103136695743e+19
2019-03-01,4.137865706568951e+19
2019-03-16,4.856855359572331e+19
2019-04-01,4.624654102317656e+19
2019-04-16,4.547469088368013e+19
2019-05-01,4.33106371127779e+19
2019-05-16,4.809422579486727e+19
2019-06-01,4.9918174418793e+19
2019-06-16,4.69483494159756e+19
2019-07-01,4.184035817136409e+19
2019-07-16,4.220020108027043e+19
2019-08-01,3.3425048045103964e+19
2019-08-16,3.549611017840609e+19
2019-09-01,3.3300676286397563e+19
2019-09-16,2.979053183736684e+19
2019-10-01,3.4960003919744315e+19
2019-10-16,3.15723588987312e+19
2019-11-01,3.0477164364992504e+19
2019-11-16,3.483800133122165e+19
2019-12-01,3.2884287178680906e+19
2019-12-16,3.0146536265533546e+19
2020-01-01,3.3553029805953745e+19
2020-01-16,3.5869533253294825e+19
2020-02-01,3.6755250605119373e+19
2020-02-16,3.978758826075143e+19
2020-03-01,3.5898780551945327e+19
2020-03-16,4.135093247739814e+19
2020-04-01,4.177794148665738e+19
2020-04-16,4.1070150890580484e+19
2020-05-01,4.135400873171769e+19
2020-05-16,4.311082375594208e+19
2020-06-01,3.850739868072864e+19
2020-06-16,3.994748971865485e+19
2020-07-01,3.584648977113694e+19
2020-07-16,3.780952332533128e+19
2020-08-01,3.294596300083457e+19
2020-08-16,3.1068384706735964e+19
2020-09-01,3.4099693767397822e+19
2020-09-16,3.36252100659147e+19
2020-10-01,3.5242947752731267e+19
2020-10-16,3.745767033845908e+19
2020-11-01,3.8636057826023326e+19
2020-11-16,3.6787285188130595e+19
2020-12-01,3.966027374769363e+19
2020-12-16,4.068611600646937e+19
2021-01-01,4.019693807385231e+19
2021-01-16,4.197180644446189e+19
2021-02-01,4.218789362233104e+19
2021-02-16,4.400628231774528e+19
2021-03-01,4.831611295429809e+19
2021-03-16,4.702836980760117e+19
2021-04-01,4.844924885957547e+19
2021-04-16,4.881856444831541e+19
2021-05-01,4.532219482939495e+19
2021-05-16,4.53982762463764e+19
2021-06-01,4.985208067790106e+19
2021-06-16,4.050464264839034e+19
2021-07-01,3.982762238392394e+19
2021-07-16,3.936217758021139e+19
2021-08-01,3.564825408436517e+19
2021-08-16,3.7413024704500466e+19
2021-09-01,4.9786220676740194e+19
2021-09-16,3.789764148235401e+19
2021-10-01,3.723515369613942e+19
2021-10-16,3.952760961047341e+19
2021-11-01,4.0329055830903054e+19
2021-11-16,3.4761893913058742e+19
2021-12-01,3.938077097401834e+19
2021-12-16,3.938296459786559e+19
2022-01-01,3.4022845605177504e+19
2022-01-16,4.056823339588291e+19
2022-02-01,4.01908506347942e+19
2022-02-16,3.916607351516185e+19
2022-03-01,3.923470245098973e+19
2022-03-16,4.427120368641205e+19
2022-04-01,4.457473308471588e+19
2022-04-16,4.219774744411829e+19
2022-05-01,4.215178361698415e+19
2022-05-16,4.0502955424066855e+19
2022-06-01,4.2355338591451144e+19
2022-06-16,4.185136553488058e+19
2022-07-01,3.6552138084862534e+19
2022-07-16,3.791984638159104e+19
2022-08-01,3.732305439450494e+19
2022-08-16,3.1896048391331897e+19
2022-09-01,3.747800201080509e+19
2022-09-16,3.674379562448882e+19
2022-10-01,3.5620699105616495e+19
2022-10-16,4.003363264556505e+19
2022-11-01,4.05166602871553e+19
2022-11-16,4.335133135680207e+19
2022-12-01,4.217290966626295e+19
2022-12-16,4.785812097750089e+19
2023-01-01,4.264525866917604e+19
2023-01-16,4.576668755857919e+19
2023-02-01,4.7216004598886285e+19
2023-02-16,4.897131094083811e+19
2023-03-01,4.55845139780011e+19
2023-03-16,4.766909721478005e+19
2023-04-01,4.743315352359366e+19
2023-04-16,5.3317572411321065e+19
2023-05-01,5.185401079591705e+19
2023-05-16,4.694311068202657e+19
2023-06-01,4.9760766334328685e+19
2023-06-16,4.545859153719746e+19
2023-07-01,4.396674447372574e+19
2023-07-16,
2023-08-01,3.628676894196238e+19
2023-08-16,3.92178578939978e+19
2023-09-01,4.175164644523446e+19
2023-09-16,3.635019492801045e+19
2023-10-01,4.15595344302248e+19
2023-10-16,4.356749870578706e+19
2023-11-01,4.0525773361754415e+19
2023-11-16,3.97347178442849e+19
2023-12-01,3.8194121016544166e+19
2023-12-16,3.842250557569563e+19
