date,mean_concentration
2019-01-01,4.567797948543083e+19
2019-01-16,4.4983573130101965e+19
2019-02-01,4.325772732504001e+19
2019-02-16,4.703642994140367e+19
2019-03-01,4.7271144483201925e+19
2019-03-16,5.067101467787407e+19
2019-04-01,5.056946536091776e+19
2019-04-16,4.769037228360099e+19
2019-05-01,5.0505536365095264e+19
2019-05-16,5.133990322381102e+19
2019-06-01,5.001202819780101e+19
2019-06-16,4.0505157681963336e+19
2019-07-01,3.958619036565969e+19
2019-07-16,3.6172543479287386e+19
2019-08-01,3.71985647841996e+19
2019-08-16,3.6480706323675374e+19
2019-09-01,3.0864039396324573e+19
2019-09-16,3.1821357693249233e+19
2019-10-01,3.8814862625120354e+19
2019-10-16,3.4093028355825476e+19
2019-11-01,3.8831874744995185e+19
2019-11-16,3.7212032714790625e+19
2019-12-01,3.718184274649528e+19
2019-12-16,3.754867458793266e+19
2020-01-01,4.103515409031574e+19
2020-01-16,3.622972231222715e+19
2020-02-01,4.222087925270312e+19
2020-02-16,3.813735494796499e+19
2020-03-01,3.9161890896416965e+19
2020-03-16,4.3220125269906194e+19
2020-04-01,4.314432884247198e+19
2020-04-16,4.278355546851664e+19
2020-05-01,3.97634925792993e+19
2020-05-16,4.304659547902657e+19
2020-06-01,4.064793810500624e+19
2020-06-16,3.927115817923605e+19
2020-07-01,3.5580636983912047e+19
2020-07-16,3.4547252381028954e+19
2020-08-01,3.2112841271971357e+19
2020-08-16,3.5188914864460444e+19
2020-09-01,3.3612585214512865e+19
2020-09-16,3.404847677039456e+19
2020-10-01,3.1523363922646475e+19
2020-10-16,3.849279868398168e+19
2020-11-01,3.8348263444757496e+19
2020-11-16,4.236568004178691e+19
2020-12-01,4.2534426152756265e+19
2020-12-16,4.948390576739613e+19
2021-01-01,4.828803928900891e+19
2021-01-16,4.802968269126816e+19
2021-02-01,5.006197984027087e+19
2021-02-16,5.572485421378639e+19
2021-03-01,5.7330802360708415e+19
2021-03-16,6.429656285825583e+19
2021-04-01,4.850721516019627e+19
2021-04-16,5.1477819893165466e+19
2021-05-01,4.425722823790872e+19
2021-05-16,4.1095322219971305e+19
2021-06-01,4.79482149925007e+19
2021-06-16,4.233990555684826e+19
2021-07-01,3.6175588279647785e+19
2021-07-16,4.0678420451983385e+19
2021-08-01,4.21415267155196e+19
2021-08-16,4.007619919990789e+19
2021-09-01,3.5778181720795824e+19
2021-09-16,3.422353433704587e+19
2021-10-01,4.65191808331279e+19
2021-10-16,4.298167297264047e+19
2021-11-01,4.509622014919957e+19
2021-11-16,3.870086927001252e+19
2021-12-01,4.168657453336215e+19
2021-12-16,4.084817980981784e+19
2022-01-01,4.1844154383903425e+19
2022-01-16,4.628888340213557e+19
2022-02-01,4.367612027582994e+19
2022-02-16,3.811597245647307e+19
2022-03-01,4.770592307883432e+19
2022-03-16,4.732998447970292e+19
2022-04-01,4.673571910373685e+19
2022-04-16,5.053676006950498e+19
2022-05-01,4.311817225293609e+19
2022-05-16,4.994988507774118e+19
2022-06-01,4.658571036191073e+19
2022-06-16,4.141091986605641e+19
2022-07-01,3.3439558850710802e+19
2022-07-16,3.8879290594533016e+19
2022-08-01,3.1836969714641076e+19
2022-08-16,3.6115363493829853e+19
2022-09-01,3.812032775573805e+19
2022-09-16,3.4661227131587633e+19
2022-10-01,3.26055264337578e+19
2022-10-16,4.0882026478737555e+19
2022-11-01,4.383158332983402e+19
2022-11-16,4.729883015406369e+19
2022-12-01,4.8234023042356126e+19
2022-12-16,5.1726573686480085e+19
2023-01-01,5.643078434272947e+19
2023-01-16,5.093088433958722e+19
2023-02-01,5.707176878251164e+19
2023-02-16,5.089861408448722e+19
2023-03-01,5.813644780179881e+19
2023-03-16,4.831026054949173e+19
2023-04-01,5.120536945345142e+19
2023-04-16,5.208093115281915e+19
2023-05-01,4.9726360325832335e+19
2023-05-16,5.602222543771104e+19
2023-06-01,5.738829604985285e+19
2023-06-16,4.47848467341707e+19
2023-07-01,3.965280702108826e+19
2023-07-16,3.8731164990179566e+19
2023-08-01,4.219879912934887e+19
2023-08-16,3.85720872237028e+19
2023-09-01,3.730342545645314e+19
2023-09-16,3.701795259101333e+19
2023-10-01,4.0646753653316125e+19
2023-10-16,3.923307571594082e+19
2023-11-01,4.2579137601450164e+19
2023-11-16,4.19828197695478e+19
2023-12-01,4.5822172141436e+19
2023-12-16,4.374781896228927e+19
