date,mean_concentration
2019-01-01,5.35872911119383e+19
2019-01-16,5.041422516387457e+19
2019-02-01,4.886448882148658e+19
2019-02-16,4.6111482666216464e+19
2019-03-01,4.567658719832683e+19
2019-03-16,4.996211654570158e+19
2019-04-01,5.211981363197565e+19
2019-04-16,5.04400014927197e+19
2019-05-01,5.2277438088462434e+19
2019-05-16,5.291217529153648e+19
2019-06-01,5.178711784201774e+19
2019-06-16,3.9438298036718805e+19
2019-07-01,4.2623483328225575e+19
2019-07-16,3.830764040182926e+19
2019-08-01,3.93196008599189e+19
2019-08-16,3.645103867281243e+19
2019-09-01,3.5051810730132877e+19
2019-09-16,3.525190867689349e+19
2019-10-01,3.927921360312993e+19
2019-10-16,3.6083509141594563e+19
2019-11-01,4.0083231671007035e+19
2019-11-16,4.07786393894574e+19
2019-12-01,3.750954014392501e+19
2019-12-16,4.71061629744499e+19
2020-01-01,4.597860109743446e+19
2020-01-16,3.898657011585596e+19
2020-02-01,5.7197431739867824e+19
2020-02-16,5.247636944754373e+19
2020-03-01,4.1379894951759585e+19
2020-03-16,4.362919832533586e+19
2020-04-01,4.344105337521547e+19
2020-04-16,4.238074390027573e+19
2020-05-01,3.970060098557027e+19
2020-05-16,4.26831068676176e+19
2020-06-01,4.1693192296531894e+19
2020-06-16,3.6879506691857437e+19
2020-07-01,3.885825838172043e+19
2020-07-16,3.6625039559357207e+19
2020-08-01,3.844989200094387e+19
2020-08-16,3.771830028360009e+19
2020-09-01,3.5680190245841412e+19
2020-09-16,3.752878435184781e+19
2020-10-01,3.242823486494425e+19
2020-10-16,4.3362245999739945e+19
2020-11-01,4.3219910537491055e+19
2020-11-16,4.220375152110044e+19
2020-12-01,5.1025250195765985e+19
2020-12-16,5.610762841018911e+19
2021-01-01,4.948785508146834e+19
2021-01-16,5.289428824129511e+19
2021-02-01,5.368803168660545e+19
2021-02-16,6.4411970424649376e+19
2021-03-01,5.5224291819391255e+19
2021-03-16,6.210750951312797e+19
2021-04-01,4.955911377058124e+19
2021-04-16,5.186124098299002e+19
2021-05-01,4.951792790751039e+19
2021-05-16,4.2695336953269715e+19
2021-06-01,4.838347828085921e+19
2021-06-16,4.21879603102597e+19
2021-07-01,4.089508103631613e+19
2021-07-16,3.97552412795679e+19
2021-08-01,4.3959489671756186e+19
2021-08-16,4.0302207258800054e+19
2021-09-01,4.404839452782591e+19
2021-09-16,3.904723389856179e+19
2021-10-01,4.0342006405554995e+19
2021-10-16,6.0092472735145665e+19
2021-11-01,4.6088612515674374e+19
2021-11-16,4.599045038939614e+19
2021-12-01,4.1582093675477656e+19
2021-12-16,6.793486090113263e+19
2022-01-01,4.743662062678234e+19
2022-01-16,5.485427583794977e+19
2022-02-01,4.9818866348738224e+19
2022-02-16,3.850875963400518e+19
2022-03-01,4.756865612538334e+19
2022-03-16,5.132254381717973e+19
2022-04-01,4.412844713612932e+19
2022-04-16,5.344175087971395e+19
2022-05-01,4.582082817067407e+19
2022-05-16,4.965623476258612e+19
2022-06-01,4.6836831806329586e+19
2022-06-16,4.590074906460713e+19
2022-07-01,3.957675340622534e+19
2022-07-16,4.018903579784624e+19
2022-08-01,4.144054303573653e+19
2022-08-16,4.073750455726772e+19
2022-09-01,3.9335011526533005e+19
2022-09-16,3.721377954317929e+19
2022-10-01,3.792095582710702e+19
2022-10-16,4.545048192947457e+19
2022-11-01,4.776789306789282e+19
2022-11-16,5.282043182404882e+19
2022-12-01,5.633989447158696e+19
2022-12-16,5.860069411767641e+19
2023-01-01,5.536514347531189e+19
2023-01-16,5.429504108442223e+19
2023-02-01,6.4597114118161695e+19
2023-02-16,5.646398130729548e+19
2023-03-01,6.047803209190553e+19
2023-03-16,5.237437889299227e+19
2023-04-01,5.709864996635005e+19
2023-04-16,7.749147040459904e+19
2023-05-01,5.615680668546397e+19
2023-05-16,5.90557628537632e+19
2023-06-01,6.451549868915768e+19
2023-06-16,6.291175628934769e+19
2023-07-01,4.931858886833604e+19
2023-07-16,4.213775772365432e+19
2023-08-01,4.039570115492497e+19
2023-08-16,4.501509305539058e+19
2023-09-01,4.226849117665281e+19
2023-09-16,4.479647729846145e+19
2023-10-01,5.262587064811707e+19
2023-10-16,4.778976838531686e+19
2023-11-01,4.830533168913336e+19
2023-11-16,4.900734106806465e+19
2023-12-01,5.084116646178178e+19
2023-12-16,5.236293192817477e+19
