date,mean_concentration
2019-01-01,3.741646810972484e+19
2019-01-16,3.5652333830094455e+19
2019-02-01,3.361727121501041e+19
2019-02-16,3.799477526610593e+19
2019-03-01,3.9035878530062156e+19
2019-03-16,4.2095406511223415e+19
2019-04-01,4.4538868259691954e+19
2019-04-16,4.133265099867495e+19
2019-05-01,3.911702864907453e+19
2019-05-16,4.7446351152636215e+19
2019-06-01,4.356471891151551e+19
2019-06-16,3.675272375989664e+19
2019-07-01,2.8703079477574627e+19
2019-07-16,2.9972072164413272e+19
2019-08-01,2.9164022459393106e+19
2019-08-16,2.9131123241531142e+19
2019-09-01,2.66215543512678e+19
2019-09-16,2.9716651092948267e+19
2019-10-01,3.176138257869402e+19
2019-10-16,2.6322490255146385e+19
2019-11-01,2.875362484065279e+19
2019-11-16,2.8353623639927984e+19
2019-12-01,2.9731337026834838e+19
2019-12-16,2.7435918645550133e+19
2020-01-01,2.995848999275275e+19
2020-01-16,3.3232779352069923e+19
2020-02-01,3.039117871090639e+19
2020-02-16,3.6613551790436786e+19
2020-03-01,3.0964449662485873e+19
2020-03-16,3.634890965065764e+19
2020-04-01,3.5368860288869405e+19
2020-04-16,3.5797182429183836e+19
2020-05-01,3.927524250220742e+19
2020-05-16,3.713657050302799e+19
2020-06-01,3.048510519665771e+19
2020-06-16,3.4312023292628025e+19
2020-07-01,2.9143803153551225e+19
2020-07-16,3.2751272727350604e+19
2020-08-01,2.983974118289295e+19
2020-08-16,2.8928542123293508e+19
2020-09-01,3.1092415038166032e+19
2020-09-16,2.847624877791685e+19
2020-10-01,3.0037021705772667e+19
2020-10-16,3.1947714580468277e+19
2020-11-01,3.5947989761496637e+19
2020-11-16,3.407385044973496e+19
2020-12-01,3.5622696720107164e+19
2020-12-16,3.5209014858076172e+19
2021-01-01,3.5140249540827005e+19
2021-01-16,3.920490697891098e+19
2021-02-01,3.749580434337823e+19
2021-02-16,3.7416272183842636e+19
2021-03-01,4.191439375370992e+19
2021-03-16,3.9686332790769525e+19
2021-04-01,4.0111018338920866e+19
2021-04-16,4.246689959884811e+19
2021-05-01,4.074909177154836e+19
2021-05-16,3.400186234538794e+19
2021-06-01,3.5994410176564675e+19
2021-06-16,3.366710450077906e+19
2021-07-01,3.9976020459527954e+19
2021-07-16,3.228137511094242e+19
2021-08-01,3.2286738014752956e+19
2021-08-16,3.268287813205811e+19
2021-09-01,2.912967717804494e+19
2021-09-16,3.0133551275830686e+19
2021-10-01,3.415836272109982e+19
2021-10-16,3.6868316803535184e+19
2021-11-01,3.472766276655248e+19
2021-11-16,3.2722225008654053e+19
2021-12-01,3.3972866627957826e+19
2021-12-16,3.6103869788765454e+19
2022-01-01,3.344389513234767e+19
2022-01-16,3.62241263040104e+19
2022-02-01,3.620612204508125e+19
2022-02-16,3.842958740745419e+19
2022-03-01,3.825226203232257e+19
2022-03-16,3.9574504491104354e+19
2022-04-01,3.888027958882314e+19
2022-04-16,3.765860988462145e+19
2022-05-01,4.088299461271615e+19
2022-05-16,3.3597193252983247e+19
2022-06-01,3.577105479619071e+19
2022-06-16,3.3682615270762045e+19
2022-07-01,2.905132091706966e+19
2022-07-16,3.4142285506461843e+19
2022-08-01,3.6518087985880486e+19
2022-08-16,3.3084935073321038e+19
2022-09-01,3.173806567099457e+19
2022-09-16,3.206943024657741e+19
2022-10-01,3.224830918494771e+19
2022-10-16,3.823683288763914e+19
2022-11-01,3.476664507524625e+19
2022-11-16,4.094588455716321e+19
2022-12-01,3.5354126692948586e+19
2022-12-16,4.098672238247369e+19
2023-01-01,3.9392584246516646e+19
2023-01-16,3.9770285413016584e+19
2023-02-01,4.2672269629223625e+19
2023-02-16,4.477024244255375e+19
2023-03-01,3.9793905997024944e+19
2023-03-16,4.1583569474968175e+19
2023-04-01,4.527485709221803e+19
2023-04-16,4.42375858466937e+19
2023-05-01,4.153151970811445e+19
2023-05-16,4.309688513780616e+19
2023-06-01,4.30527942981686e+19
2023-06-16,3.907457901090605e+19
2023-07-01,3.700508176087629e+19
2023-07-16,3.2991018955771236e+19
2023-08-01,3.20701667262606e+19
2023-08-16,3.4690562057518907e+19
2023-09-01,3.3068334979612443e+19
2023-09-16,3.1317622255008346e+19
2023-10-01,3.2396216049642336e+19
2023-10-16,4.1599835832110465e+19
2023-11-01,3.5492740239870845e+19
2023-11-16,3.43786035226758e+19
2023-12-01,3.3798695534495105e+19
2023-12-16,3.2170242508140093e+19
