date,mean_concentration
2019-01-01,6.770717189850466e+19
2019-01-16,6.834317388268503e+19
2019-02-01,7.648807739746145e+19
2019-02-16,6.333418288753565e+19
2019-03-01,7.229742993547496e+19
2019-03-16,7.385508899140674e+19
2019-04-01,7.89382972354168e+19
2019-04-16,6.6844708991563014e+19
2019-05-01,6.949112854599402e+19
2019-05-16,7.451990831108499e+19
2019-06-01,7.71863585137874e+19
2019-06-16,8.072443234331664e+19
2019-07-01,5.0477403811006554e+19
2019-07-16,5.0405312384003e+19
2019-08-01,4.52288485126987e+19
2019-08-16,5.003212112214781e+19
2019-09-01,4.068246551256532e+19
2019-09-16,4.409260513792198e+19
2019-10-01,5.020663615146534e+19
2019-10-16,5.802172059851724e+19
2019-11-01,5.3311444353750794e+19
2019-11-16,6.7631700334790664e+19
2019-12-01,5.756406251755741e+19
2019-12-16,5.719579351067985e+19
2020-01-01,5.632490736285434e+19
2020-01-16,6.530831360245148e+19
2020-02-01,6.20080548353839e+19
2020-02-16,7.1820293951617565e+19
2020-03-01,6.260285669819116e+19
2020-03-16,5.961821452749473e+19
2020-04-01,6.20674265456003e+19
2020-04-16,5.969744685547862e+19
2020-05-01,5.563240096376852e+19
2020-05-16,5.681674192386752e+19
2020-06-01,5.318249943078041e+19
2020-06-16,4.006842225977561e+19
2020-07-01,4.497799777071021e+19
2020-07-16,4.375650698078736e+19
2020-08-01,4.8470751098076094e+19
2020-08-16,4.381107719741715e+19
2020-09-01,4.429988382207908e+19
2020-09-16,4.061377782482883e+19
2020-10-01,6.035566712295787e+19
2020-10-16,5.021948309603515e+19
2020-11-01,4.91348242342903e+19
2020-11-16,5.820010048183137e+19
2020-12-01,8.706166329779354e+19
2020-12-16,6.834646744192142e+19
2021-01-01,6.22034085942345e+19
2021-01-16,6.692531354144764e+19
2021-02-01,6.966634243231738e+19
2021-02-16,7.280364319700538e+19
2021-03-01,8.814548858741781e+19
2021-03-16,9.165923067041153e+19
2021-04-01,8.043254734174493e+19
2021-04-16,7.0645077428981285e+19
2021-05-01,6.947760878739295e+19
2021-05-16,6.3653029731906675e+19
2021-06-01,6.653967102195559e+19
2021-06-16,5.768907157892713e+19
2021-07-01,5.699233440050666e+19
2021-07-16,5.349190752112629e+19
2021-08-01,5.4812135027720495e+19
2021-08-16,5.155960531258389e+19
2021-09-01,6.443783107043995e+19
2021-09-16,6.60340594602413e+19
2021-10-01,6.678740460885838e+19
2021-10-16,5.681557996899887e+19
2021-11-01,6.202504857396024e+19
2021-11-16,6.181011550917298e+19
2021-12-01,6.630180519177714e+19
2021-12-16,5.872069840372436e+19
2022-01-01,5.896960130190369e+19
2022-01-16,6.038669989634752e+19
2022-02-01,6.5080737809778835e+19
2022-02-16,7.0732167118864744e+19
2022-03-01,6.6626760234745864e+19
2022-03-16,7.831973742168742e+19
2022-04-01,7.2479948078557676e+19
2022-04-16,6.6741791947076665e+19
2022-05-01,6.787165889089867e+19
2022-05-16,6.763252774323142e+19
2022-06-01,6.892593021179545e+19
2022-06-16,6.936973709421782e+19
2022-07-01,5.351986549168906e+19
2022-07-16,5.511790260218413e+19
2022-08-01,5.710366850223573e+19
2022-08-16,4.812988054245898e+19
2022-09-01,5.6994549755780145e+19
2022-09-16,6.1420290310279725e+19
2022-10-01,4.406165796864768e+19
2022-10-16,5.3343935038352335e+19
2022-11-01,6.50384687865533e+19
2022-11-16,6.420407021621911e+19
2022-12-01,6.844298126773464e+19
2022-12-16,7.410516587845888e+19
2023-01-01,6.7002713955673555e+19
2023-01-16,7.81666446245309e+19
2023-02-01,7.408932438187691e+19
2023-02-16,8.258355818901517e+19
2023-03-01,7.303463132994339e+19
2023-03-16,8.08505163113897e+19
2023-04-01,7.056693891537661e+19
2023-04-16,7.702706496449797e+19
2023-05-01,7.903902210488685e+19
2023-05-16,8.11320096615154e+19
2023-06-01,7.268539712802955e+19
2023-06-16,8.014943863829642e+19
2023-07-01,5.3565284284648956e+19
2023-07-16,5.4277912246045204e+19
2023-08-01,5.602042606768923e+19
2023-08-16,4.883711693846801e+19
2023-09-01,5.463955246241384e+19
2023-09-16,6.974858965473436e+19
2023-10-01,6.211756585865772e+19
2023-10-16,5.409312699985442e+19
2023-11-01,6.836001515041212e+19
2023-11-16,5.462827901979305e+19
2023-12-01,6.528822187722843e+19
2023-12-16,6.33782934619818e+19
