date,mean_concentration
2019-01-01,3.736068536907544e+19
2019-01-16,3.1928521428196336e+19
2019-02-01,3.1980355820703687e+19
2019-02-16,3.750043209927399e+19
2019-03-01,3.717454447485184e+19
2019-03-16,3.919656942645929e+19
2019-04-01,4.1479364706819105e+19
2019-04-16,4.174417710971865e+19
2019-05-01,4.725395627186794e+19
2019-05-16,4.846782215207724e+19
2019-06-01,5.8419806754646426e+19
2019-06-16,4.657032695425116e+19
2019-07-01,4.700345866539135e+19
2019-07-16,4.248096791707886e+19
2019-08-01,3.653355455909069e+19
2019-08-16,3.8034540682788856e+19
2019-09-01,3.76387417418515e+19
2019-09-16,3.3236351405743202e+19
2019-10-01,3.210122739753034e+19
2019-10-16,3.2029658668325057e+19
2019-11-01,3.17937520030172e+19
2019-11-16,3.134668241223911e+19
2019-12-01,3.5274145188815733e+19
2019-12-16,3.0782656380232655e+19
2020-01-01,3.2152112718145044e+19
2020-01-16,3.0926100790217953e+19
2020-02-01,2.857426813054581e+19
2020-02-16,3.1056150774791733e+19
2020-03-01,2.901612363693812e+19
2020-03-16,3.4875946144121352e+19
2020-04-01,3.4673293637351043e+19
2020-04-16,3.698520630724545e+19
2020-05-01,3.981497320835179e+19
2020-05-16,4.457873990542033e+19
2020-06-01,4.373871450019396e+19
2020-06-16,3.531664175861596e+19
2020-07-01,3.5738037711326577e+19
2020-07-16,3.6031310169818657e+19
2020-08-01,
2020-08-16,3.1881855995035214e+19
2020-09-01,3.262013855666035e+19
2020-09-16,4.024188854655345e+19
2020-10-01,3.3043295472327336e+19
2020-10-16,3.4586283757162942e+19
2020-11-01,3.530219994316744e+19
2020-11-16,3.4993909841359696e+19
2020-12-01,3.978544045730295e+19
2020-12-16,4.321116920627591e+19
2021-01-01,3.530855685415318e+19
2021-01-16,3.5830497700832256e+19
2021-02-01,3.752492239769596e+19
2021-02-16,3.920870380730471e+19
2021-03-01,4.027814463746318e+19
2021-03-16,4.404908993856216e+19
2021-04-01,4.30065595656185e+19
2021-04-16,4.427982050886226e+19
2021-05-01,3.937615909999298e+19
2021-05-16,4.671957170782007e+19
2021-06-01,4.388869978432527e+19
2021-06-16,4.561697275657828e+19
2021-07-01,4.745743777498436e+19
2021-07-16,4.285515469859283e+19
2021-08-01,4.077697164124576e+19
2021-08-16,3.9309152511059616e+19
2021-09-01,3.8831056033768006e+19
2021-09-16,3.839389217654312e+19
2021-10-01,3.6090153564785558e+19
2021-10-16,3.780872813415699e+19
2021-11-01,3.1494548689967063e+19
2021-11-16,3.1727335171467514e+19
2021-12-01,3.647956488566854e+19
2021-12-16,4.007836504422366e+19
2022-01-01,3.382145119387095e+19
2022-01-16,3.92024508687894e+19
2022-02-01,3.5440520541277995e+19
2022-02-16,3.5653735417029276e+19
2022-03-01,3.710674240567643e+19
2022-03-16,4.373121362232987e+19
2022-04-01,3.5672039275034374e+19
2022-04-16,3.947111976979491e+19
2022-05-01,4.470406731512281e+19
2022-05-16,5.030736306010487e+19
2022-06-01,5.39965104278329e+19
2022-06-16,4.228342904503283e+19
2022-07-01,4.131299323057675e+19
2022-07-16,3.62407828386132e+19
2022-08-01,3.5963135358168617e+19
2022-08-16,3.72854274040553e+19
2022-09-01,3.6434320468859904e+19
2022-09-16,4.166492780079685e+19
2022-10-01,3.15016226587888e+19
2022-10-16,3.7050283271472865e+19
2022-11-01,3.6453937213159453e+19
2022-11-16,4.102930368855187e+19
2022-12-01,4.024511792975163e+19
2022-12-16,4.376446138798629e+19
2023-01-01,3.928770086683951e+19
2023-01-16,3.5123406702929453e+19
2023-02-01,4.242668180375541e+19
2023-02-16,4.084718720267222e+19
2023-03-01,4.4180432160322085e+19
2023-03-16,4.5741922095883035e+19
2023-04-01,4.160392645331149e+19
2023-04-16,4.573543313253403e+19
2023-05-01,4.452626348857114e+19
2023-05-16,5.187625685667398e+19
2023-06-01,6.134705944122303e+19
2023-06-16,5.303829014044869e+19
2023-07-01,4.485523956877044e+19
2023-07-16,
2023-08-01,4.118729668127898e+19
2023-08-16,4.5921092987888026e+19
2023-09-01,4.692016772072802e+19
2023-09-16,3.993269488786273e+19
2023-10-01,4.2392727714231116e+19
2023-10-16,3.6672451317405225e+19
2023-11-01,3.816051901118322e+19
2023-11-16,3.8425857366400385e+19
2023-12-01,3.4553319951623754e+19
2023-12-16,3.042030385583727e+19
