date,mean_concentration
2019-01-01,4.6157897880824906e+19
2019-01-16,4.920233108068136e+19
2019-02-01,4.804547040990902e+19
2019-02-16,4.192485166546012e+19
2019-03-01,4.383777988553145e+19
2019-03-16,5.188941839285664e+19
2019-04-01,5.449116068532375e+19
2019-04-16,6.111066755987498e+19
2019-05-01,6.9279753310306206e+19
2019-05-16,6.501909719982452e+19
2019-06-01,6.18130153993966e+19
2019-06-16,5.972318715150965e+19
2019-07-01,4.8052000903545725e+19
2019-07-16,4.506171138830246e+19
2019-08-01,4.17716637128566e+19
2019-08-16,4.221356661767287e+19
2019-09-01,3.7792177783718445e+19
2019-09-16,4.096617385075466e+19
2019-10-01,4.294591076279089e+19
2019-10-16,4.0973051555392995e+19
2019-11-01,4.658676242554393e+19
2019-11-16,4.954537709891132e+19
2019-12-01,4.458609429127574e+19
2019-12-16,4.38655409292928e+19
2020-01-01,3.726691722495679e+19
2020-01-16,3.786339626434603e+19
2020-02-01,3.949731327356041e+19
2020-02-16,4.3302755328884646e+19
2020-03-01,4.0837498621316284e+19
2020-03-16,4.3563585687290946e+19
2020-04-01,4.676125284630512e+19
2020-04-16,5.051519231801978e+19
2020-05-01,4.862040479508439e+19
2020-05-16,5.622566165745709e+19
2020-06-01,4.961483622508977e+19
2020-06-16,4.761794160844585e+19
2020-07-01,5.632546848310385e+19
2020-07-16,4.194624264642711e+19
2020-08-01,4.2216560242448196e+19
2020-08-16,4.051071672085213e+19
2020-09-01,4.181871103739327e+19
2020-09-16,4.108840754630499e+19
2020-10-01,4.354667244882953e+19
2020-10-16,4.5586213946993205e+19
2020-11-01,4.4353394125182255e+19
2020-11-16,4.7745833581316555e+19
2020-12-01,4.623341160430253e+19
2020-12-16,4.6463598564077175e+19
2021-01-01,5.752171070495546e+19
2021-01-16,4.104333608721847e+19
2021-02-01,4.9058139423336595e+19
2021-02-16,5.196619317246933e+19
2021-03-01,5.014320375058107e+19
2021-03-16,5.273510169578483e+19
2021-04-01,5.55095865347149e+19
2021-04-16,6.422365787049536e+19
2021-05-01,5.251355722822884e+19
2021-05-16,5.068536743176887e+19
2021-06-01,5.458194292637636e+19
2021-06-16,4.875897289345861e+19
2021-07-01,5.088312279011535e+19
2021-07-16,4.839222624601741e+19
2021-08-01,4.389729874699752e+19
2021-08-16,4.246624466305661e+19
2021-09-01,4.676913113481018e+19
2021-09-16,4.585513081630995e+19
2021-10-01,4.8771215967217295e+19
2021-10-16,4.9455449310993646e+19
2021-11-01,4.6097328456926495e+19
2021-11-16,4.772008829949399e+19
2021-12-01,4.877583362991119e+19
2021-12-16,4.565392676684885e+19
2022-01-01,3.738344166622839e+19
2022-01-16,4.286107384886999e+19
2022-02-01,3.876838244910466e+19
2022-02-16,4.8443583824281666e+19
2022-03-01,4.956183185780225e+19
2022-03-16,5.288596970578379e+19
2022-04-01,5.268647421071831e+19
2022-04-16,6.076439827666474e+19
2022-05-01,5.595317940652509e+19
2022-05-16,5.426297384953728e+19
2022-06-01,6.152252596433256e+19
2022-06-16,6.159649030980809e+19
2022-07-01,4.949106909314761e+19
2022-07-16,4.566786590398616e+19
2022-08-01,4.1706689064852595e+19
2022-08-16,4.3084686516719935e+19
2022-09-01,4.127431599057453e+19
2022-09-16,4.296633306123053e+19
2022-10-01,4.091891714825915e+19
2022-10-16,4.515804212967897e+19
2022-11-01,4.840974652241218e+19
2022-11-16,5.913016066690967e+19
2022-12-01,6.022246464742344e+19
2022-12-16,5.922022701830641e+19
2023-01-01,5.626436507549734e+19
2023-01-16,5.043278023890965e+19
2023-02-01,5.290265947037596e+19
2023-02-16,5.261037664453399e+19
2023-03-01,5.197908310055897e+19
2023-03-16,5.6159027049193505e+19
2023-04-01,5.729885042174972e+19
2023-04-16,6.927100036527415e+19
2023-05-01,6.84518165213106e+19
2023-05-16,6.985884959814136e+19
2023-06-01,6.737648888278331e+19
2023-06-16,6.104764080322111e+19
2023-07-01,4.771750610697801e+19
2023-07-16,4.84356325897766e+19
2023-08-01,4.361666761085852e+19
2023-08-16,4.5232081730510455e+19
2023-09-01,4.820308917018462e+19
2023-09-16,4.402697090317934e+19
2023-10-01,5.0531076548484235e+19
2023-10-16,5.109989775693989e+19
2023-11-01,5.054130894524912e+19
2023-11-16,5.8488451993686925e+19
2023-12-01,5.137519244647571e+19
2023-12-16,4.9048227924183286e+19
