date,mean_concentration
2019-01-01,4.3890083922778276e+19
2019-01-16,4.9604841826123735e+19
2019-02-01,4.750000807581743e+19
2019-02-16,4.114202471747805e+19
2019-03-01,4.406736520135246e+19
2019-03-16,4.56866566641249e+19
2019-04-01,5.1335208294704e+19
2019-04-16,5.491248586329294e+19
2019-05-01,5.331535803704925e+19
2019-05-16,5.619740793724589e+19
2019-06-01,5.632186448538902e+19
2019-06-16,5.399255276439417e+19
2019-07-01,4.588566672474508e+19
2019-07-16,4.597853396270991e+19
2019-08-01,3.716691455051405e+19
2019-08-16,4.2645726778676625e+19
2019-09-01,3.812489704537397e+19
2019-09-16,3.725987526831812e+19
2019-10-01,4.275848930947056e+19
2019-10-16,4.2409126593900724e+19
2019-11-01,4.370998727425089e+19
2019-11-16,4.307045174754812e+19
2019-12-01,4.2918902067180225e+19
2019-12-16,4.224528340473844e+19
2020-01-01,4.210635236093319e+19
2020-01-16,3.844125361525022e+19
2020-02-01,4.075092140068354e+19
2020-02-16,4.2523121633238155e+19
2020-03-01,3.930491700650608e+19
2020-03-16,4.193203476758788e+19
2020-04-01,4.0744533162087604e+19
2020-04-16,4.7054639061367366e+19
2020-05-01,5.063712895240504e+19
2020-05-16,5.0522544301486236e+19
2020-06-01,5.546054990659187e+19
2020-06-16,5.246917583802779e+19
2020-07-01,4.818817850682035e+19
2020-07-16,4.389276653336777e+19
2020-08-01,4.211034824670292e+19
2020-08-16,3.5778734433745596e+19
2020-09-01,3.88692817392007e+19
2020-09-16,4.233034179515096e+19
2020-10-01,5.029735370935806e+19
2020-10-16,4.704195885354911e+19
2020-11-01,4.3958393537250165e+19
2020-11-16,4.794756824051273e+19
2020-12-01,4.297291895641701e+19
2020-12-16,4.421806202123544e+19
2021-01-01,4.274452118198756e+19
2021-01-16,4.3619538769087906e+19
2021-02-01,4.359963192255266e+19
2021-02-16,4.3591929009214505e+19
2021-03-01,4.465782994190288e+19
2021-03-16,4.903512736680944e+19
2021-04-01,4.841128082700921e+19
2021-04-16,5.096658463989556e+19
2021-05-01,5.764487950090803e+19
2021-05-16,5.493392612399309e+19
2021-06-01,5.389303689980631e+19
2021-06-16,5.955456482341792e+19
2021-07-01,5.69448639532633e+19
2021-07-16,4.56356765859971e+19
2021-08-01,4.454682095037396e+19
2021-08-16,4.531487727489775e+19
2021-09-01,4.082654903533071e+19
2021-09-16,4.0395089692740575e+19
2021-10-01,5.009877075435759e+19
2021-10-16,4.817903628001038e+19
2021-11-01,4.6565506272423395e+19
2021-11-16,4.58849774415544e+19
2021-12-01,4.513926466686834e+19
2021-12-16,4.360265813899408e+19
2022-01-01,4.124880863250689e+19
2022-01-16,3.679428640982751e+19
2022-02-01,4.019379296035241e+19
2022-02-16,4.564787099786134e+19
2022-03-01,4.440195411086974e+19
2022-03-16,4.377598675407882e+19
2022-04-01,4.59875929752783e+19
2022-04-16,4.569570117181686e+19
2022-05-01,5.393727584524743e+19
2022-05-16,4.87988794031604e+19
2022-06-01,5.127809002946215e+19
2022-06-16,6.0437391080164745e+19
2022-07-01,4.818747247653079e+19
2022-07-16,4.215049037470419e+19
2022-08-01,3.986053484472821e+19
2022-08-16,4.242997636450642e+19
2022-09-01,4.325351298274177e+19
2022-09-16,4.557687596672202e+19
2022-10-01,4.757146383815242e+19
2022-10-16,4.76933807013136e+19
2022-11-01,4.809779034471515e+19
2022-11-16,5.136680978874825e+19
2022-12-01,4.56465493860134e+19
2022-12-16,5.220797226777648e+19
2023-01-01,5.127268196552881e+19
2023-01-16,5.059477584965682e+19
2023-02-01,4.577167875137041e+19
2023-02-16,4.632285973564333e+19
2023-03-01,5.119988078130339e+19
2023-03-16,5.477525197502418e+19
2023-04-01,5.292071520791114e+19
2023-04-16,5.655509607368484e+19
2023-05-01,5.667253912742776e+19
2023-05-16,5.6543784694735176e+19
2023-06-01,5.688705027572196e+19
2023-06-16,4.604814113191753e+19
2023-07-01,5.042210296280152e+19
2023-07-16,4.495307752341898e+19
2023-08-01,4.174866759414557e+19
2023-08-16,4.5244470264224104e+19
2023-09-01,4.852900316145292e+19
2023-09-16,4.653558918899475e+19
2023-10-01,5.155595439382041e+19
2023-10-16,5.309494878769542e+19
2023-11-01,4.698248901647122e+19
2023-11-16,4.547337534849416e+19
2023-12-01,4.309433147417382e+19
2023-12-16,4.43801860473029e+19
