date,mean_concentration
2019-01-01,3.967030484349944e+19
2019-01-16,3.5464170268842246e+19
2019-02-01,3.362274433790172e+19
2019-02-16,3.9561097473741095e+19
2019-03-01,4.311353227426782e+19
2019-03-16,4.637964311450817e+19
2019-04-01,4.757365563840726e+19
2019-04-16,4.2913212341092e+19
2019-05-01,3.959256057016267e+19
2019-05-16,4.782514852596934e+19
2019-06-01,4.231499516337337e+19
2019-06-16,3.868100882717932e+19
2019-07-01,3.5318307507956253e+19
2019-07-16,3.434777674223546e+19
2019-08-01,3.119795672368484e+19
2019-08-16,3.038312086729167e+19
2019-09-01,2.6027477140086804e+19
2019-09-16,2.9769742665493185e+19
2019-10-01,3.0841906975760912e+19
2019-10-16,2.9285557316396737e+19
2019-11-01,2.883588267389418e+19
2019-11-16,3.348886724537177e+19
2019-12-01,3.1317434373033165e+19
2019-12-16,2.9620206184658956e+19
2020-01-01,2.7833831181852185e+19
2020-01-16,3.23533941763834e+19
2020-02-01,2.969854155155436e+19
2020-02-16,3.5959771561331753e+19
2020-03-01,3.010390872099679e+19
2020-03-16,3.765740531014423e+19
2020-04-01,3.6642644331123507e+19
2020-04-16,3.807350143047655e+19
2020-05-01,4.0997718347167605e+19
2020-05-16,3.821110377398726e+19
2020-06-01,3.230310783838608e+19
2020-06-16,3.054787796820874e+19
2020-07-01,3.0138655830861984e+19
2020-07-16,3.0339555706545488e+19
2020-08-01,
2020-08-16,2.8454019494868492e+19
2020-09-01,2.9980163880211186e+19
2020-09-16,3.079390328183168e+19
2020-10-01,3.074047054999813e+19
2020-10-16,2.9049963757573964e+19
2020-11-01,3.845908528606046e+19
2020-11-16,3.661618120330629e+19
2020-12-01,3.392687740458255e+19
2020-12-16,3.715955302237935e+19
2021-01-01,3.5123120717481333e+19
2021-01-16,3.741753982538984e+19
2021-02-01,3.806190211502176e+19
2021-02-16,3.9514694121706906e+19
2021-03-01,4.4481675658588226e+19
2021-03-16,4.279477760274841e+19
2021-04-01,4.335705256417839e+19
2021-04-16,4.418003118935493e+19
2021-05-01,4.120951782663698e+19
2021-05-16,3.5419280647179436e+19
2021-06-01,3.785075973226798e+19
2021-06-16,3.4009814593882694e+19
2021-07-01,3.479308210736612e+19
2021-07-16,3.25140317087922e+19
2021-08-01,3.1325484612610593e+19
2021-08-16,3.2531879650705478e+19
2021-09-01,3.0441956430688236e+19
2021-09-16,3.0714398745851376e+19
2021-10-01,3.5675050974687756e+19
2021-10-16,3.825291905176824e+19
2021-11-01,3.928103735720786e+19
2021-11-16,3.162863850444938e+19
2021-12-01,3.532141902087205e+19
2021-12-16,3.6149158571876504e+19
2022-01-01,3.1614932502324412e+19
2022-01-16,3.4992126280783184e+19
2022-02-01,3.6017113304338915e+19
2022-02-16,3.7730643616431006e+19
2022-03-01,3.8690577050383516e+19
2022-03-16,4.45140704044406e+19
2022-04-01,4.391237907927215e+19
2022-04-16,4.012170775699832e+19
2022-05-01,3.921895232900032e+19
2022-05-16,3.502077321582203e+19
2022-06-01,3.5453933388343247e+19
2022-06-16,2.58408406594733e+19
2022-07-01,2.901169825347339e+19
2022-07-16,3.5278524927714263e+19
2022-08-01,2.6907246954377695e+19
2022-08-16,3.128476724245341e+19
2022-09-01,3.3282552356884816e+19
2022-09-16,3.1893366374840037e+19
2022-10-01,3.42505243523291e+19
2022-10-16,3.850395012237073e+19
2022-11-01,4.0669666023597285e+19
2022-11-16,4.164976063985388e+19
2022-12-01,3.6968581475152224e+19
2022-12-16,4.392355300752045e+19
2023-01-01,3.89540323633807e+19
2023-01-16,3.778112181444654e+19
2023-02-01,4.30475471348857e+19
2023-02-16,4.58955584884169e+19
2023-03-01,4.4924691277830095e+19
2023-03-16,4.3228573087058e+19
2023-04-01,4.797572032967366e+19
2023-04-16,4.778217225227157e+19
2023-05-01,4.1756209409990615e+19
2023-05-16,4.48273606369924e+19
2023-06-01,4.194017685843657e+19
2023-06-16,3.7935362529781875e+19
2023-07-01,3.6816614661912556e+19
2023-07-16,3.4031867839168373e+19
2023-08-01,3.278296014924341e+19
2023-08-16,3.3900503850138554e+19
2023-09-01,3.4500379479361507e+19
2023-09-16,3.2506302509889642e+19
2023-10-01,3.555506171657355e+19
2023-10-16,4.213987981224643e+19
2023-11-01,3.785172431223446e+19
2023-11-16,3.835384214154726e+19
2023-12-01,3.522772749507295e+19
2023-12-16,3.4291135949205185e+19
