date,mean_concentration
2019-01-01,5.0615821549593e+19
2019-01-16,5.6166455556983005e+19
2019-02-01,5.501508652982666e+19
2019-02-16,4.648215747944515e+19
2019-03-01,5.092985016930082e+19
2019-03-16,5.129408454704768e+19
2019-04-01,5.82147977982213e+19
2019-04-16,6.289015888505755e+19
2019-05-01,5.734803507923893e+19
2019-05-16,5.742908007741784e+19
2019-06-01,5.613631731454482e+19
2019-06-16,6.008101043927831e+19
2019-07-01,4.977391337682626e+19
2019-07-16,5.018961506406056e+19
2019-08-01,4.4003310678687285e+19
2019-08-16,4.265617814819127e+19
2019-09-01,4.3727000068706664e+19
2019-09-16,4.182039515779743e+19
2019-10-01,4.912215569879641e+19
2019-10-16,5.180729631104689e+19
2019-11-01,5.152312059015987e+19
2019-11-16,4.437763759321941e+19
2019-12-01,4.877244663864775e+19
2019-12-16,5.367380196353563e+19
2020-01-01,4.855252422860076e+19
2020-01-16,4.463464822116389e+19
2020-02-01,4.674138792223855e+19
2020-02-16,4.900980522730122e+19
2020-03-01,4.693162744630747e+19
2020-03-16,4.714732753962202e+19
2020-04-01,4.318981073822112e+19
2020-04-16,4.9551816887034544e+19
2020-05-01,4.970944559320747e+19
2020-05-16,4.879229091367575e+19
2020-06-01,5.6086561642643554e+19
2020-06-16,4.997357107217543e+19
2020-07-01,5.6945354946662695e+19
2020-07-16,4.7590433045387985e+19
2020-08-01,4.359637459501015e+19
2020-08-16,3.958562843019474e+19
2020-09-01,4.312958221169795e+19
2020-09-16,4.55925556587927e+19
2020-10-01,5.1725586800224625e+19
2020-10-16,5.164067628841358e+19
2020-11-01,5.313367606126791e+19
2020-11-16,5.2657571313792115e+19
2020-12-01,5.1178507391010456e+19
2020-12-16,5.266186266359216e+19
2021-01-01,4.915983060601154e+19
2021-01-16,4.953193157354857e+19
2021-02-01,5.009817848967311e+19
2021-02-16,5.150089277889935e+19
2021-03-01,4.920567282720539e+19
2021-03-16,5.318843691396384e+19
2021-04-01,5.3668475869578625e+19
2021-04-16,5.361522730362328e+19
2021-05-01,5.566632011313254e+19
2021-05-16,5.6983580296635605e+19
2021-06-01,5.30330389645232e+19
2021-06-16,5.827459557293358e+19
2021-07-01,5.276116504755741e+19
2021-07-16,4.9425059964374335e+19
2021-08-01,4.601537271640166e+19
2021-08-16,4.540939766023672e+19
2021-09-01,4.617544247613451e+19
2021-09-16,4.508285276341917e+19
2021-10-01,5.293140868965516e+19
2021-10-16,5.731960435786152e+19
2021-11-01,5.098681278269537e+19
2021-11-16,5.2947588012041224e+19
2021-12-01,5.111706254422444e+19
2021-12-16,5.796785590844652e+19
2022-01-01,4.67754498334044e+19
2022-01-16,4.7376175797406564e+19
2022-02-01,4.685791498457347e+19
2022-02-16,5.009561137927955e+19
2022-03-01,5.151479164048013e+19
2022-03-16,4.941925708306626e+19
2022-04-01,5.28842802787729e+19
2022-04-16,5.11191798236125e+19
2022-05-01,5.031707098589033e+19
2022-05-16,5.026750829760102e+19
2022-06-01,5.0861392115268346e+19
2022-06-16,5.786764943270137e+19
2022-07-01,4.971275751051177e+19
2022-07-16,4.406110460762578e+19
2022-08-01,4.3921971221383905e+19
2022-08-16,4.274159003757997e+19
2022-09-01,4.562114751997417e+19
2022-09-16,4.655274269303193e+19
2022-10-01,5.014383931771502e+19
2022-10-16,5.287840179921853e+19
2022-11-01,5.294424026415958e+19
2022-11-16,5.905027094055309e+19
2022-12-01,5.355339628109636e+19
2022-12-16,6.1907853922018116e+19
2023-01-01,5.554005014294905e+19
2023-01-16,5.832808815145298e+19
2023-02-01,5.381917973352298e+19
2023-02-16,5.233165986557602e+19
2023-03-01,5.446653559329374e+19
2023-03-16,5.715034817692606e+19
2023-04-01,5.819037351410385e+19
2023-04-16,5.884284474031215e+19
2023-05-01,6.000418620197902e+19
2023-05-16,5.548011787274654e+19
2023-06-01,5.596466731323072e+19
2023-06-16,5.479315158083457e+19
2023-07-01,5.346762665671279e+19
2023-07-16,4.736940342455276e+19
2023-08-01,4.3187404457446244e+19
2023-08-16,5.128127927654129e+19
2023-09-01,4.912053783904331e+19
2023-09-16,5.169724560261493e+19
2023-10-01,5.3299703960963465e+19
2023-10-16,5.6685985201470185e+19
2023-11-01,5.398046209002351e+19
2023-11-16,4.9063513372453904e+19
2023-12-01,4.989303312356292e+19
2023-12-16,5.238648080859791e+19
