date,mean_concentration
2019-01-01,5.8106205987218645e+19
2019-01-16,5.377657037998267e+19
2019-02-01,5.0265051721925796e+19
2019-02-16,4.5137848444985336e+19
2019-03-01,4.893947215039135e+19
2019-03-16,5.1680833428164665e+19
2019-04-01,5.578277485925037e+19
2019-04-16,6.324092662301716e+19
2019-05-01,6.959106732627379e+19
2019-05-16,6.791249719347596e+19
2019-06-01,7.0087133521906655e+19
2019-06-16,7.009267953463728e+19
2019-07-01,6.88690814477996e+19
2019-07-16,5.097252053161221e+19
2019-08-01,4.779479668822986e+19
2019-08-16,4.8507029876726825e+19
2019-09-01,4.618492666383973e+19
2019-09-16,4.51837974066973e+19
2019-10-01,4.620828251566391e+19
2019-10-16,5.411088289128092e+19
2019-11-01,5.811509610711452e+19
2019-11-16,5.5567827490472075e+19
2019-12-01,5.966300514188393e+19
2019-12-16,5.00447420864493e+19
2020-01-01,5.011981837036692e+19
2020-01-16,4.686388793153919e+19
2020-02-01,5.080855719957992e+19
2020-02-16,4.83202877387454e+19
2020-03-01,4.357319587365542e+19
2020-03-16,4.616001115349364e+19
2020-04-01,4.414339106296261e+19
2020-04-16,5.1570820266720535e+19
2020-05-01,5.9412206819645104e+19
2020-05-16,6.806009344080942e+19
2020-06-01,5.819719385559865e+19
2020-06-16,6.268716346550412e+19
2020-07-01,5.428388659234701e+19
2020-07-16,4.853617104068328e+19
2020-08-01,5.059347788571929e+19
2020-08-16,4.279652643246992e+19
2020-09-01,4.596369414724723e+19
2020-09-16,5.000163199951912e+19
2020-10-01,5.09282187947103e+19
2020-10-16,5.3626071885896385e+19
2020-11-01,5.748535933294019e+19
2020-11-16,5.746010521090514e+19
2020-12-01,6.427339633893745e+19
2020-12-16,5.78631831456252e+19
2021-01-01,5.29527366904081e+19
2021-01-16,5.735464956694818e+19
2021-02-01,5.550422914969936e+19
2021-02-16,4.869327544096834e+19
2021-03-01,4.835124360497222e+19
2021-03-16,5.10515463019464e+19
2021-04-01,5.740319390612227e+19
2021-04-16,6.3032606555412636e+19
2021-05-01,6.851542948642828e+19
2021-05-16,6.611790742508962e+19
2021-06-01,6.657375821863018e+19
2021-06-16,6.955368511942572e+19
2021-07-01,6.823242670933108e+19
2021-07-16,5.8809864646830375e+19
2021-08-01,5.439190045186265e+19
2021-08-16,5.255797291834966e+19
2021-09-01,5.0810989962287735e+19
2021-09-16,4.5203728386038645e+19
2021-10-01,5.3141962703140045e+19
2021-10-16,6.182658866998362e+19
2021-11-01,6.7446552123471e+19
2021-11-16,5.5621711879728775e+19
2021-12-01,5.561619457066175e+19
2021-12-16,6.293058311906379e+19
2022-01-01,5.751146368755185e+19
2022-01-16,5.452554136756231e+19
2022-02-01,5.5669913144008425e+19
2022-02-16,5.429824186682275e+19
2022-03-01,4.9239572560348135e+19
2022-03-16,5.478206044568485e+19
2022-04-01,6.4146421367038616e+19
2022-04-16,6.608175206183177e+19
2022-05-01,7.407447228079289e+19
2022-05-16,6.968355636181043e+19
2022-06-01,6.953724998625446e+19
2022-06-16,6.957170608030562e+19
2022-07-01,5.434836939151445e+19
2022-07-16,5.1848496476942025e+19
2022-08-01,4.816654569851351e+19
2022-08-16,4.674614188941976e+19
2022-09-01,4.942869916570058e+19
2022-09-16,4.826033226402455e+19
2022-10-01,5.36907514729266e+19
2022-10-16,6.133780395458827e+19
2022-11-01,6.696489978458263e+19
2022-11-16,7.0373267978465894e+19
2022-12-01,6.09927766848726e+19
2022-12-16,7.77354477961523e+19
2023-01-01,7.634688497523807e+19
2023-01-16,5.460829162445716e+19
2023-02-01,5.7028324291398705e+19
2023-02-16,5.798663072440423e+19
2023-03-01,5.407455308682884e+19
2023-03-16,5.682411637783159e+19
2023-04-01,6.492052488456796e+19
2023-04-16,6.718736463248728e+19
2023-05-01,7.2222995013143536e+19
2023-05-16,7.403721373216596e+19
2023-06-01,6.812346111073633e+19
2023-06-16,6.6201032411084235e+19
2023-07-01,6.1079333474419425e+19
2023-07-16,5.608076392332361e+19
2023-08-01,5.478095909280992e+19
2023-08-16,5.540201799205082e+19
2023-09-01,5.391852954486591e+19
2023-09-16,4.944948584600105e+19
2023-10-01,5.693419836375836e+19
2023-10-16,5.826159480720383e+19
2023-11-01,6.220894130138623e+19
2023-11-16,7.203026308624922e+19
2023-12-01,5.344059200634571e+19
2023-12-16,5.508312487749756e+19
