date,mean_concentration
2019-01-01,3.826690660423016e+19
2019-01-16,3.865863222908948e+19
2019-02-01,3.748642026634265e+19
2019-02-16,4.0657030875623375e+19
2019-03-01,4.056055437080746e+19
2019-03-16,4.782495410583182e+19
2019-04-01,4.494963150359574e+19
2019-04-16,4.7461358238563566e+19
2019-05-01,4.275769608937459e+19
2019-05-16,4.700858607691245e+19
2019-06-01,4.914323774585439e+19
2019-06-16,4.9072254751297225e+19
2019-07-01,
2019-07-16,4.098635618608885e+19
2019-08-01,3.5222085335967416e+19
2019-08-16,3.4835202402618094e+19
2019-09-01,
2019-09-16,3.670228264871113e+19
2019-10-01,3.4574342522684838e+19
2019-10-16,3.133466856135402e+19
2019-11-01,2.9060312603011068e+19
2019-11-16,3.2843642225338147e+19
2019-12-01,3.2358092281816646e+19
2019-12-16,2.9110621656953532e+19
2020-01-01,3.1892916932156494e+19
2020-01-16,3.4358271125784416e+19
2020-02-01,3.5868654014839484e+19
2020-02-16,3.749402447470271e+19
2020-03-01,3.6194474138325307e+19
2020-03-16,4.1078422340925915e+19
2020-04-01,4.244702067971416e+19
2020-04-16,4.213115113317908e+19
2020-05-01,4.231722379642927e+19
2020-05-16,4.492704970617621e+19
2020-06-01,3.81445772940409e+19
2020-06-16,4.105432774030157e+19
2020-07-01,3.766505977619304e+19
2020-07-16,3.646764485627219e+19
2020-08-01,3.81149402267951e+19
2020-08-16,3.087591752285275e+19
2020-09-01,3.4303352332723917e+19
2020-09-16,3.3036518057128e+19
2020-10-01,3.5821763710485987e+19
2020-10-16,3.6028360140212445e+19
2020-11-01,3.636539188922075e+19
2020-11-16,3.5201213950504583e+19
2020-12-01,3.70350618460241e+19
2020-12-16,3.8808778931956785e+19
2021-01-01,3.765241249031007e+19
2021-01-16,4.001538824232788e+19
2021-02-01,3.958164349287839e+19
2021-02-16,4.0631537379869336e+19
2021-03-01,4.5302422869051785e+19
2021-03-16,4.6378457858583265e+19
2021-04-01,4.818083287050778e+19
2021-04-16,5.012767215458662e+19
2021-05-01,4.664815580567618e+19
2021-05-16,4.438018007958052e+19
2021-06-01,4.925993923306942e+19
2021-06-16,4.314637252135922e+19
2021-07-01,4.079187477316684e+19
2021-07-16,3.986496147156485e+19
2021-08-01,3.822662253967701e+19
2021-08-16,3.761801493301617e+19
2021-09-01,3.5263533475097645e+19
2021-09-16,3.5181958532112822e+19
2021-10-01,3.810313993717231e+19
2021-10-16,3.853502184495301e+19
2021-11-01,4.038507039334773e+19
2021-11-16,3.446677383112701e+19
2021-12-01,3.691074870866664e+19
2021-12-16,3.499512855030113e+19
2022-01-01,3.1655119046386934e+19
2022-01-16,3.696367339864598e+19
2022-02-01,3.759208489157552e+19
2022-02-16,3.606702178406103e+19
2022-03-01,3.710939367400419e+19
2022-03-16,4.317729910454273e+19
2022-04-01,4.417705379055119e+19
2022-04-16,4.175058908148487e+19
2022-05-01,4.3661776112945594e+19
2022-05-16,4.228789772565764e+19
2022-06-01,4.329979280493333e+19
2022-06-16,3.828421342124442e+19
2022-07-01,3.923178689634515e+19
2022-07-16,3.470532249956753e+19
2022-08-01,3.436590682729597e+19
2022-08-16,3.2662041402910523e+19
2022-09-01,3.6743307183085232e+19
2022-09-16,3.5047955839391994e+19
2022-10-01,3.603491732040674e+19
2022-10-16,3.909763689390121e+19
2022-11-01,3.9106411679966314e+19
2022-11-16,4.0652852206266974e+19
2022-12-01,3.991964017186598e+19
2022-12-16,4.50289599851947e+19
2023-01-01,4.128274751050583e+19
2023-01-16,4.302356440558266e+19
2023-02-01,4.467853080246268e+19
2023-02-16,4.5422660728998494e+19
2023-03-01,4.295835026075922e+19
2023-03-16,4.744542651776493e+19
2023-04-01,4.690152063076913e+19
2023-04-16,5.299578454847289e+19
2023-05-01,5.1723450325446664e+19
2023-05-16,4.640277259158241e+19
2023-06-01,5.025183432983352e+19
2023-06-16,4.507666163949118e+19
2023-07-01,4.059368536007923e+19
2023-07-16,
2023-08-01,3.6146137970648265e+19
2023-08-16,3.717546395093504e+19
2023-09-01,3.964358049980468e+19
2023-09-16,3.701932740656936e+19
2023-10-01,4.108551284995133e+19
2023-10-16,4.115742607945807e+19
2023-11-01,3.7969770139606884e+19
2023-11-16,3.824816205593732e+19
2023-12-01,3.734410727072347e+19
2023-12-16,3.5294780184858255e+19
