date,mean_concentration
2019-01-01,5.03181719645537e+19
2019-01-16,4.684924391506988e+19
2019-02-01,5.5961372645881e+19
2019-02-16,4.551439044251015e+19
2019-03-01,4.5096952333117006e+19
2019-03-16,5.2126596737377e+19
2019-04-01,5.3321956912070664e+19
2019-04-16,5.228341424290145e+19
2019-05-01,5.740952269220204e+19
2019-05-16,6.4097313491351626e+19
2019-06-01,6.1996445055151194e+19
2019-06-16,6.491402276985411e+19
2019-07-01,5.68686220374954e+19
2019-07-16,4.685253020493043e+19
2019-08-01,4.243333497518601e+19
2019-08-16,4.329168296913993e+19
2019-09-01,4.347779722905212e+19
2019-09-16,4.120116487991001e+19
2019-10-01,4.566357422839257e+19
2019-10-16,4.613713381233186e+19
2019-11-01,5.3137776286624915e+19
2019-11-16,3.908341490785202e+19
2019-12-01,4.641226230700258e+19
2019-12-16,4.668299387180537e+19
2020-01-01,4.782779187502711e+19
2020-01-16,5.191893769504342e+19
2020-02-01,4.931265661954505e+19
2020-02-16,4.403290084742668e+19
2020-03-01,4.135013024704193e+19
2020-03-16,4.5687566833902535e+19
2020-04-01,4.18196553560439e+19
2020-04-16,4.726348290072827e+19
2020-05-01,5.020104962225537e+19
2020-05-16,5.437377980789023e+19
2020-06-01,5.394057127603256e+19
2020-06-16,5.539130971768463e+19
2020-07-01,4.80678435855518e+19
2020-07-16,4.439031311322787e+19
2020-08-01,4.260416813678264e+19
2020-08-16,3.9957160762529145e+19
2020-09-01,4.335547323429576e+19
2020-09-16,4.666003390469037e+19
2020-10-01,4.86554205112388e+19
2020-10-16,4.8450416364997026e+19
2020-11-01,4.494945015127599e+19
2020-11-16,5.2214717935420146e+19
2020-12-01,4.620020968213338e+19
2020-12-16,5.903389528324481e+19
2021-01-01,4.341106284119072e+19
2021-01-16,5.530060490292836e+19
2021-02-01,5.264148895828809e+19
2021-02-16,4.879994395885862e+19
2021-03-01,4.4204794738844434e+19
2021-03-16,4.815464122577921e+19
2021-04-01,5.288700044805516e+19
2021-04-16,5.617229525603303e+19
2021-05-01,5.8218177522217165e+19
2021-05-16,5.744723427350543e+19
2021-06-01,5.8500510611287745e+19
2021-06-16,5.932958262383974e+19
2021-07-01,6.0046988958628725e+19
2021-07-16,4.673729716879514e+19
2021-08-01,4.373355268618928e+19
2021-08-16,5.159677363083453e+19
2021-09-01,4.393765937436329e+19
2021-09-16,4.230688012591323e+19
2021-10-01,5.512932760048762e+19
2021-10-16,5.509903454186003e+19
2021-11-01,5.142426793954877e+19
2021-11-16,4.851460570106505e+19
2021-12-01,4.514612328129255e+19
2021-12-16,4.868532258666266e+19
2022-01-01,4.901070899804165e+19
2022-01-16,4.9894224215195795e+19
2022-02-01,5.65927011035487e+19
2022-02-16,5.371176153308991e+19
2022-03-01,5.0762165906231075e+19
2022-03-16,5.4127880578620826e+19
2022-04-01,5.638083931318979e+19
2022-04-16,5.865014013765674e+19
2022-05-01,5.834902729315124e+19
2022-05-16,5.585729384327201e+19
2022-06-01,6.753327141568403e+19
2022-06-16,6.2763653816873845e+19
2022-07-01,4.5451769278200685e+19
2022-07-16,4.458058727304103e+19
2022-08-01,4.353687867015205e+19
2022-08-16,4.319508027137047e+19
2022-09-01,4.43718233529857e+19
2022-09-16,4.3353106036758405e+19
2022-10-01,4.752812284117834e+19
2022-10-16,5.26962452009259e+19
2022-11-01,5.389768539294475e+19
2022-11-16,5.9956367043534004e+19
2022-12-01,5.836252106612074e+19
2022-12-16,5.9369586924067045e+19
2023-01-01,5.194930355905343e+19
2023-01-16,4.824812905000984e+19
2023-02-01,5.583851696654727e+19
2023-02-16,5.245174336941527e+19
2023-03-01,5.17916744776121e+19
2023-03-16,5.391854628127331e+19
2023-04-01,5.635040484432187e+19
2023-04-16,5.9020851263728394e+19
2023-05-01,5.955791039091881e+19
2023-05-16,6.536540044262017e+19
2023-06-01,5.9661150311963345e+19
2023-06-16,6.1628802825981395e+19
2023-07-01,4.797265134556794e+19
2023-07-16,4.760934499930231e+19
2023-08-01,5.225106539162831e+19
2023-08-16,5.1631570716867854e+19
2023-09-01,5.261702406763148e+19
2023-09-16,4.7883229402375094e+19
2023-10-01,5.84669807891101e+19
2023-10-16,5.50635912960646e+19
2023-11-01,5.286466867013085e+19
2023-11-16,4.925323657922948e+19
2023-12-01,5.045614748295273e+19
2023-12-16,5.1474567094455116e+19
