date,mean_concentration
2019-01-01,4.429170456022321e+19
2019-01-16,4.419648357243601e+19
2019-02-01,4.965283400719764e+19
2019-02-16,3.927134351797309e+19
2019-03-01,4.242747083986615e+19
2019-03-16,4.757423646666743e+19
2019-04-01,5.16842066239419e+19
2019-04-16,5.467855179986368e+19
2019-05-01,5.998697458671582e+19
2019-05-16,5.946833173453753e+19
2019-06-01,5.985457706629052e+19
2019-06-16,6.144805810935957e+19
2019-07-01,5.297512862117801e+19
2019-07-16,4.445990500484972e+19
2019-08-01,4.254840561214351e+19
2019-08-16,4.121155257411193e+19
2019-09-01,3.934962465892635e+19
2019-09-16,3.7737627435697865e+19
2019-10-01,4.462952414717959e+19
2019-10-16,4.399555650915897e+19
2019-11-01,4.807092219053227e+19
2019-11-16,4.111077193128363e+19
2019-12-01,4.588200420149061e+19
2019-12-16,4.594811672383174e+19
2020-01-01,4.064150698214368e+19
2020-01-16,4.4453958221970694e+19
2020-02-01,4.5381375038497956e+19
2020-02-16,4.243051806827125e+19
2020-03-01,4.139096567278164e+19
2020-03-16,4.315752925836283e+19
2020-04-01,4.322367934594119e+19
2020-04-16,4.8384183217197515e+19
2020-05-01,4.771259454584418e+19
2020-05-16,5.324210808323828e+19
2020-06-01,5.140845442905854e+19
2020-06-16,5.1268462671460246e+19
2020-07-01,5.019966075789987e+19
2020-07-16,4.142291621424287e+19
2020-08-01,4.006933930268971e+19
2020-08-16,3.799410870953947e+19
2020-09-01,4.102819399012508e+19
2020-09-16,4.2485824302498726e+19
2020-10-01,4.630192638931425e+19
2020-10-16,4.605378694052573e+19
2020-11-01,4.677359385877833e+19
2020-11-16,4.3821222384855605e+19
2020-12-01,4.763852307603812e+19
2020-12-16,4.788045482607315e+19
2021-01-01,4.585029521958942e+19
2021-01-16,4.342788898052802e+19
2021-02-01,4.717680220364192e+19
2021-02-16,4.733537776348593e+19
2021-03-01,4.635693632300341e+19
2021-03-16,4.7457664296849555e+19
2021-04-01,5.407430797047582e+19
2021-04-16,5.645440474846766e+19
2021-05-01,5.482757930889958e+19
2021-05-16,5.509994630434447e+19
2021-06-01,5.773047649261572e+19
2021-06-16,5.504225414448687e+19
2021-07-01,5.854305449468728e+19
2021-07-16,4.844520169181548e+19
2021-08-01,4.533347796218635e+19
2021-08-16,4.587711407556601e+19
2021-09-01,4.4942935376392856e+19
2021-09-16,4.2529613332488135e+19
2021-10-01,5.202313291476872e+19
2021-10-16,5.346337543444419e+19
2021-11-01,5.407537519158134e+19
2021-11-16,4.770804446799522e+19
2021-12-01,4.367139747134633e+19
2021-12-16,4.619755183055337e+19
2022-01-01,4.213425440363797e+19
2022-01-16,4.383708043932616e+19
2022-02-01,4.89339759362563e+19
2022-02-16,4.943332011384013e+19
2022-03-01,5.027226811099542e+19
2022-03-16,5.10244203204315e+19
2022-04-01,5.761643917588585e+19
2022-04-16,5.888142280088615e+19
2022-05-01,5.38158406506811e+19
2022-05-16,5.279227210052689e+19
2022-06-01,6.0984229937135526e+19
2022-06-16,5.923860876201528e+19
2022-07-01,4.906333808857857e+19
2022-07-16,4.836495607057737e+19
2022-08-01,4.4932885285801525e+19
2022-08-16,4.413364981946769e+19
2022-09-01,4.673600493303615e+19
2022-09-16,4.35522510972462e+19
2022-10-01,4.293687789229907e+19
2022-10-16,5.0836851596794175e+19
2022-11-01,5.672934224170969e+19
2022-11-16,5.7346610907675345e+19
2022-12-01,5.483850518742572e+19
2022-12-16,5.637367533299533e+19
2023-01-01,6.017942666248051e+19
2023-01-16,5.117917330393564e+19
2023-02-01,5.203783271714819e+19
2023-02-16,4.9842221044388315e+19
2023-03-01,5.143123742057107e+19
2023-03-16,5.139113782172809e+19
2023-04-01,5.537175041484939e+19
2023-04-16,6.14475762122368e+19
2023-05-01,6.110048291177052e+19
2023-05-16,6.314145976680264e+19
2023-06-01,5.974533386083251e+19
2023-06-16,5.599317381472017e+19
2023-07-01,4.983916200417776e+19
2023-07-16,4.860912864716132e+19
2023-08-01,5.1394180991606235e+19
2023-08-16,5.096006005354297e+19
2023-09-01,4.949518934441176e+19
2023-09-16,4.642697806268051e+19
2023-10-01,5.1941338767294595e+19
2023-10-16,5.05531607758429e+19
2023-11-01,5.337987880675778e+19
2023-11-16,5.417445849238091e+19
2023-12-01,4.645934244406241e+19
2023-12-16,5.100290585120441e+19
