date,mean_concentration
2019-01-01,6.4935970437753315e+19
2019-01-16,5.86646431565453e+19
2019-02-01,5.696688936605193e+19
2019-02-16,5.33578834891667e+19
2019-03-01,5.088408151583871e+19
2019-03-16,5.340216233431477e+19
2019-04-01,5.5398587848670405e+19
2019-04-16,6.222626822590198e+19
2019-05-01,7.067176188008442e+19
2019-05-16,7.687397418875476e+19
2019-06-01,7.56220605366005e+19
2019-06-16,7.1534017021812335e+19
2019-07-01,6.511390213201481e+19
2019-07-16,5.31422403021448e+19
2019-08-01,5.192448006452562e+19
2019-08-16,4.929761347137449e+19
2019-09-01,4.732181447189671e+19
2019-09-16,4.74422441584468e+19
2019-10-01,4.871360289558988e+19
2019-10-16,5.538295261878501e+19
2019-11-01,6.961600887949378e+19
2019-11-16,5.339982392312752e+19
2019-12-01,7.645087569257469e+19
2019-12-16,5.360900900086354e+19
2020-01-01,5.952090567118636e+19
2020-01-16,5.548443015816057e+19
2020-02-01,5.0884115746761335e+19
2020-02-16,4.918515116416279e+19
2020-03-01,4.594604144043948e+19
2020-03-16,4.416086856159799e+19
2020-04-01,4.124972338868137e+19
2020-04-16,5.175821666978082e+19
2020-05-01,5.784626749091189e+19
2020-05-16,7.031668906637235e+19
2020-06-01,6.3581486340019724e+19
2020-06-16,6.455913560671571e+19
2020-07-01,5.544056329631022e+19
2020-07-16,5.039922843671293e+19
2020-08-01,5.187947423268314e+19
2020-08-16,4.290588673713235e+19
2020-09-01,5.02198787728912e+19
2020-09-16,5.031472587875477e+19
2020-10-01,5.427595504550624e+19
2020-10-16,6.1143955352424145e+19
2020-11-01,6.186699325903804e+19
2020-11-16,6.244473723238419e+19
2020-12-01,6.256201282849576e+19
2020-12-16,5.824363868962086e+19
2021-01-01,6.371394791857905e+19
2021-01-16,6.253978561571031e+19
2021-02-01,5.9930538580967645e+19
2021-02-16,5.257912454945373e+19
2021-03-01,4.9481426971904975e+19
2021-03-16,5.335031393108929e+19
2021-04-01,5.573899885258475e+19
2021-04-16,6.472825007875124e+19
2021-05-01,7.422573004693937e+19
2021-05-16,6.9224897704581595e+19
2021-06-01,6.9569428340657136e+19
2021-06-16,7.149100355310105e+19
2021-07-01,6.8975613495236895e+19
2021-07-16,6.170589157633375e+19
2021-08-01,5.587206187463739e+19
2021-08-16,5.244562402122629e+19
2021-09-01,5.4752116379416625e+19
2021-09-16,4.924226301170823e+19
2021-10-01,5.730713010125802e+19
2021-10-16,6.265396616686216e+19
2021-11-01,8.187051242329809e+19
2021-11-16,6.600914896368905e+19
2021-12-01,6.392162879733004e+19
2021-12-16,6.645979517419764e+19
2022-01-01,7.613133922562441e+19
2022-01-16,4.943767506781409e+19
2022-02-01,5.9831920720174326e+19
2022-02-16,5.696782586465093e+19
2022-03-01,5.3549111076857815e+19
2022-03-16,5.7376592455310795e+19
2022-04-01,6.617365738751575e+19
2022-04-16,6.750253267290228e+19
2022-05-01,7.86677950295886e+19
2022-05-16,6.90179702493463e+19
2022-06-01,6.974347044860188e+19
2022-06-16,7.260079733614901e+19
2022-07-01,5.905656711340537e+19
2022-07-16,5.379097822020791e+19
2022-08-01,5.090867085389204e+19
2022-08-16,4.767364223383674e+19
2022-09-01,4.893994717559784e+19
2022-09-16,4.738480301230663e+19
2022-10-01,5.04418908254256e+19
2022-10-16,6.666830522466725e+19
2022-11-01,7.243069672314972e+19
2022-11-16,6.7733684712263344e+19
2022-12-01,6.076949776170194e+19
2022-12-16,8.484537092230211e+19
2023-01-01,7.674472537434857e+19
2023-01-16,6.325353830494379e+19
2023-02-01,5.546688807935554e+19
2023-02-16,5.522710039222731e+19
2023-03-01,5.2883415464675434e+19
2023-03-16,5.648710388928307e+19
2023-04-01,6.291320926312082e+19
2023-04-16,6.821567065792726e+19
2023-05-01,7.918655782483214e+19
2023-05-16,8.12856102326346e+19
2023-06-01,7.092237997711632e+19
2023-06-16,7.54154450823788e+19
2023-07-01,6.695370272135331e+19
2023-07-16,5.652262961233846e+19
2023-08-01,5.357097328154609e+19
2023-08-16,5.592782508703497e+19
2023-09-01,5.567888566663374e+19
2023-09-16,5.1937622557907075e+19
2023-10-01,6.3854483278690976e+19
2023-10-16,6.332930548070674e+19
2023-11-01,7.08402949678539e+19
2023-11-16,8.187662465592762e+19
2023-12-01,5.941871002109225e+19
2023-12-16,6.8884641871165915e+19
