date,mean_concentration
2019-01-01,9.020100743590509e+19
2019-01-16,8.382449425556377e+19
2019-02-01,7.07840375414546e+19
2019-02-16,6.981640358301007e+19
2019-03-01,7.5411457059831e+19
2019-03-16,5.917985843204227e+19
2019-04-01,5.9960538415897395e+19
2019-04-16,7.352294762779366e+19
2019-05-01,7.861658850692234e+19
2019-05-16,8.439577287024912e+19
2019-06-01,6.7567871951687115e+19
2019-06-16,6.808997338140854e+19
2019-07-01,5.687318406919189e+19
2019-07-16,5.027470207718749e+19
2019-08-01,4.423452987964153e+19
2019-08-16,5.0836200595158065e+19
2019-09-01,4.275836629237198e+19
2019-09-16,4.454582398478774e+19
2019-10-01,5.633700360917191e+19
2019-10-16,5.4527407294789304e+19
2019-11-01,6.019401939033768e+19
2019-11-16,5.493517062297447e+19
2019-12-01,7.850666128964739e+19
2019-12-16,8.453141468445585e+19
2020-01-01,6.723074713934107e+19
2020-01-16,8.510031559995153e+19
2020-02-01,7.560510672192753e+19
2020-02-16,8.24312816287973e+19
2020-03-01,4.903129754784307e+19
2020-03-16,4.907985009741337e+19
2020-04-01,4.764599166394154e+19
2020-04-16,5.630073643485507e+19
2020-05-01,5.590095540203465e+19
2020-05-16,6.654020368301197e+19
2020-06-01,5.766232482503436e+19
2020-06-16,5.732570599864442e+19
2020-07-01,5.654099781449224e+19
2020-07-16,4.854206526419888e+19
2020-08-01,4.692988362244953e+19
2020-08-16,3.958310832449881e+19
2020-09-01,5.20492772395742e+19
2020-09-16,6.0180078184612905e+19
2020-10-01,6.5703829032560484e+19
2020-10-16,5.934754657145374e+19
2020-11-01,6.0108587786014474e+19
2020-11-16,6.606723979159523e+19
2020-12-01,6.759409249853226e+19
2020-12-16,8.099578280647783e+19
2021-01-01,8.417143156563612e+19
2021-01-16,1.0190006732856161e+20
2021-02-01,5.980189415340592e+19
2021-02-16,6.591044920491698e+19
2021-03-01,5.9606044342194364e+19
2021-03-16,5.841742555615943e+19
2021-04-01,6.987882773808951e+19
2021-04-16,6.98274346348717e+19
2021-05-01,6.476940346108232e+19
2021-05-16,6.132528370896648e+19
2021-06-01,6.338450865762641e+19
2021-06-16,6.333201889632724e+19
2021-07-01,7.005185152037613e+19
2021-07-16,5.219280418932427e+19
2021-08-01,5.84721734536333e+19
2021-08-16,5.4680197760697836e+19
2021-09-01,4.395029704138949e+19
2021-09-16,4.319958737813168e+19
2021-10-01,8.24371827535411e+19
2021-10-16,7.407692970981068e+19
2021-11-01,6.697765021417883e+19
2021-11-16,6.03922043114356e+19
2021-12-01,8.44252536775363e+19
2021-12-16,8.379274361306989e+19
2022-01-01,6.704580332458871e+19
2022-01-16,7.756413257585435e+19
2022-02-01,6.524476264193172e+19
2022-02-16,5.898415227954558e+19
2022-03-01,6.511132931285473e+19
2022-03-16,6.499318899515418e+19
2022-04-01,8.364781259713341e+19
2022-04-16,7.383220163356726e+19
2022-05-01,6.633497672537305e+19
2022-05-16,6.018687733405282e+19
2022-06-01,7.061895402830997e+19
2022-06-16,5.989435669931498e+19
2022-07-01,5.239883371866996e+19
2022-07-16,4.826826669038204e+19
2022-08-01,4.5969087690737754e+19
2022-08-16,4.88534434802425e+19
2022-09-01,5.4454612528912425e+19
2022-09-16,6.27741292141822e+19
2022-10-01,6.963023221289808e+19
2022-10-16,6.6801385647010144e+19
2022-11-01,7.414044802791457e+19
2022-11-16,9.363699236018245e+19
2022-12-01,1.0557719464462216e+20
2022-12-16,1.0823784922671987e+20
2023-01-01,1.540787757912531e+20
2023-01-16,9.119045544726965e+19
2023-02-01,8.842315230023226e+19
2023-02-16,6.531314543735769e+19
2023-03-01,6.519742611843952e+19
2023-03-16,7.306395590104269e+19
2023-04-01,7.895329528239553e+19
2023-04-16,7.342045368763572e+19
2023-05-01,7.370561882765522e+19
2023-05-16,7.759161881615349e+19
2023-06-01,7.603575292754415e+19
2023-06-16,5.863771710300223e+19
2023-07-01,5.4381693747136905e+19
2023-07-16,5.159061946844588e+19
2023-08-01,5.413070591964784e+19
2023-08-16,5.9348756043499995e+19
2023-09-01,5.776312459072391e+19
2023-09-16,6.244930823613881e+19
2023-10-01,7.426949958136434e+19
2023-10-16,7.947673373688639e+19
2023-11-01,7.010833215870549e+19
2023-11-16,7.326432930250714e+19
2023-12-01,7.678893347869281e+19
2023-12-16,8.524494245774103e+19
