date,mean_concentration
2019-01-01,4.604083079242956e+19
2019-01-16,4.4976260452460356e+19
2019-02-01,4.189804123310803e+19
2019-02-16,5.008852829220675e+19
2019-03-01,4.963452801225174e+19
2019-03-16,5.4527254209515045e+19
2019-04-01,5.199929683252048e+19
2019-04-16,4.835331274278129e+19
2019-05-01,4.170846708396814e+19
2019-05-16,4.9645477131886535e+19
2019-06-01,4.415402725900059e+19
2019-06-16,3.90288106331342e+19
2019-07-01,3.2784011473516618e+19
2019-07-16,3.518355354105608e+19
2019-08-01,2.851987908548033e+19
2019-08-16,3.091761958610833e+19
2019-09-01,2.8977078497964716e+19
2019-09-16,2.9342804769516556e+19
2019-10-01,3.4022989885053096e+19
2019-10-16,2.9665171782573752e+19
2019-11-01,3.081495028097301e+19
2019-11-16,3.6159669685865636e+19
2019-12-01,3.5706528782986285e+19
2019-12-16,3.457475839287154e+19
2020-01-01,3.6528097521792877e+19
2020-01-16,3.9388643367230054e+19
2020-02-01,3.761178993589532e+19
2020-02-16,4.4799877659602846e+19
2020-03-01,3.722517978531713e+19
2020-03-16,4.447054955502787e+19
2020-04-01,4.095315775151087e+19
2020-04-16,4.281578911765833e+19
2020-05-01,4.511173432882596e+19
2020-05-16,4.063557363107634e+19
2020-06-01,3.357367346299748e+19
2020-06-16,3.212162457964159e+19
2020-07-01,3.159610890855321e+19
2020-07-16,3.1671944420368933e+19
2020-08-01,2.986720442492469e+19
2020-08-16,2.865861408904583e+19
2020-09-01,3.4055368598029877e+19
2020-09-16,3.1709512843290956e+19
2020-10-01,3.429199795707403e+19
2020-10-16,3.304604024861811e+19
2020-11-01,4.123018578923366e+19
2020-11-16,4.028186558089234e+19
2020-12-01,4.294327631063349e+19
2020-12-16,4.5839217413168005e+19
2021-01-01,4.287949034512104e+19
2021-01-16,5.078753200826935e+19
2021-02-01,4.818287195550514e+19
2021-02-16,4.8761430296064025e+19
2021-03-01,5.518127831924951e+19
2021-03-16,5.28322487615127e+19
2021-04-01,4.7236187771376e+19
2021-04-16,4.793516782122809e+19
2021-05-01,4.49762953196464e+19
2021-05-16,3.966978704272525e+19
2021-06-01,3.7616762423892255e+19
2021-06-16,3.570656434103868e+19
2021-07-01,3.743801077217063e+19
2021-07-16,3.399603211781377e+19
2021-08-01,3.1387833430812705e+19
2021-08-16,3.5722859430401073e+19
2021-09-01,3.2979966503280484e+19
2021-09-16,3.2569046758243324e+19
2021-10-01,3.840295520368591e+19
2021-10-16,4.123742699412159e+19
2021-11-01,4.315474622006343e+19
2021-11-16,4.079430048859629e+19
2021-12-01,3.720548001497399e+19
2021-12-16,4.48650763994811e+19
2022-01-01,3.979890843072727e+19
2022-01-16,4.271489537873376e+19
2022-02-01,4.363138761793087e+19
2022-02-16,4.751832002895473e+19
2022-03-01,4.740973607403857e+19
2022-03-16,5.374594659430502e+19
2022-04-01,4.8699946322958385e+19
2022-04-16,4.4408501646486766e+19
2022-05-01,4.493928030243636e+19
2022-05-16,3.665112827278093e+19
2022-06-01,3.870036844853914e+19
2022-06-16,3.495401785847584e+19
2022-07-01,3.0215587282925736e+19
2022-07-16,3.850386020084112e+19
2022-08-01,3.3637476883526906e+19
2022-08-16,3.178194355446306e+19
2022-09-01,3.4555044125501284e+19
2022-09-16,3.25147652941354e+19
2022-10-01,3.5734415962369647e+19
2022-10-16,3.941081823880297e+19
2022-11-01,4.14441675594812e+19
2022-11-16,4.540097727969669e+19
2022-12-01,4.594834908275835e+19
2022-12-16,5.327585218259489e+19
2023-01-01,4.8796697911247856e+19
2023-01-16,4.906251587466586e+19
2023-02-01,5.419269968787837e+19
2023-02-16,5.579317575594329e+19
2023-03-01,5.176936846617455e+19
2023-03-16,4.735905787484988e+19
2023-04-01,5.256844015462248e+19
2023-04-16,5.419497726553448e+19
2023-05-01,4.6244680419018e+19
2023-05-16,4.653983982673747e+19
2023-06-01,4.369547698260675e+19
2023-06-16,3.966612321157936e+19
2023-07-01,3.7522115724526354e+19
2023-07-16,
2023-08-01,3.265021654267334e+19
2023-08-16,3.3737650149753606e+19
2023-09-01,3.469687243435504e+19
2023-09-16,3.3162475070506287e+19
2023-10-01,3.755101735763553e+19
2023-10-16,4.200791629916927e+19
2023-11-01,4.080647320860573e+19
2023-11-16,3.995373414887464e+19
2023-12-01,4.135972424152848e+19
2023-12-16,4.064008453791877e+19
