date,mean_concentration
2019-01-01,3.781868078794062e+19
2019-01-16,3.791572393551633e+19
2019-02-01,3.5168869270665888e+19
2019-02-16,3.9735034225017135e+19
2019-03-01,4.166583921064894e+19
2019-03-16,4.657181347243642e+19
2019-04-01,4.624670523312e+19
2019-04-16,4.622323540033068e+19
2019-05-01,4.177871656163494e+19
2019-05-16,4.7915240172812935e+19
2019-06-01,5.1392398539118035e+19
2019-06-16,4.328238600660081e+19
2019-07-01,4.07477051150161e+19
2019-07-16,3.5977528793402552e+19
2019-08-01,3.9358838217538535e+19
2019-08-16,3.3102025769190007e+19
2019-09-01,
2019-09-16,3.028887589628892e+19
2019-10-01,3.5189144273063256e+19
2019-10-16,3.223599495101913e+19
2019-11-01,2.9198653323377197e+19
2019-11-16,3.165283171979694e+19
2019-12-01,3.1678451101904646e+19
2019-12-16,2.907790047369257e+19
2020-01-01,3.158499584814556e+19
2020-01-16,3.269604600580864e+19
2020-02-01,3.0662101134522982e+19
2020-02-16,3.6898603974004105e+19
2020-03-01,3.548946292322397e+19
2020-03-16,3.978300570443802e+19
2020-04-01,3.804274520784644e+19
2020-04-16,4.152060280565138e+19
2020-05-01,4.2393232347956265e+19
2020-05-16,4.29669904752336e+19
2020-06-01,3.7421099016048935e+19
2020-06-16,3.761918659793275e+19
2020-07-01,3.384176430294124e+19
2020-07-16,3.2180236048581407e+19
2020-08-01,3.4212230924528992e+19
2020-08-16,2.8041753985726722e+19
2020-09-01,3.2913100917620195e+19
2020-09-16,3.4715122314821665e+19
2020-10-01,3.5502313484316463e+19
2020-10-16,3.263036926102547e+19
2020-11-01,3.666040757251276e+19
2020-11-16,3.4393768839541002e+19
2020-12-01,3.5736562118987514e+19
2020-12-16,3.681106245950917e+19
2021-01-01,3.4911788193523302e+19
2021-01-16,3.777003703749578e+19
2021-02-01,3.829959659797098e+19
2021-02-16,4.061712211310736e+19
2021-03-01,4.566636756820268e+19
2021-03-16,4.4248421320744624e+19
2021-04-01,4.536329333414531e+19
2021-04-16,4.755197020393857e+19
2021-05-01,4.441209887168474e+19
2021-05-16,4.418662308671916e+19
2021-06-01,4.471102223426131e+19
2021-06-16,3.690975388802298e+19
2021-07-01,3.8259472528019325e+19
2021-07-16,3.5281813113154195e+19
2021-08-01,3.4020708303414366e+19
2021-08-16,3.423841198749396e+19
2021-09-01,3.4133682920028463e+19
2021-09-16,3.547761479220201e+19
2021-10-01,3.703385469233505e+19
2021-10-16,3.860387542034067e+19
2021-11-01,3.657853252356293e+19
2021-11-16,3.2570814905985323e+19
2021-12-01,3.574974427940462e+19
2021-12-16,3.495993671097785e+19
2022-01-01,3.0752644483173335e+19
2022-01-16,3.5433403327596376e+19
2022-02-01,3.6676341502904852e+19
2022-02-16,3.6520748902855782e+19
2022-03-01,3.663751370468568e+19
2022-03-16,4.274670392732662e+19
2022-04-01,4.57396415914675e+19
2022-04-16,4.4504169237053104e+19
2022-05-01,4.485673647588351e+19
2022-05-16,4.177871093690451e+19
2022-06-01,4.302584405334915e+19
2022-06-16,3.5279469764155564e+19
2022-07-01,3.4862412286052057e+19
2022-07-16,3.712187899507639e+19
2022-08-01,3.4249708864364245e+19
2022-08-16,3.223668273561215e+19
2022-09-01,3.400587888189849e+19
2022-09-16,4.084171399876635e+19
2022-10-01,3.71880342778232e+19
2022-10-16,3.756654518120683e+19
2022-11-01,3.798034416413464e+19
2022-11-16,3.909408717482542e+19
2022-12-01,4.026849653814053e+19
2022-12-16,4.248104648560248e+19
2023-01-01,4.205398773556004e+19
2023-01-16,3.9788132451331645e+19
2023-02-01,4.248045030270514e+19
2023-02-16,4.513024942933342e+19
2023-03-01,4.5434298780387525e+19
2023-03-16,4.807016323808848e+19
2023-04-01,4.60287792085704e+19
2023-04-16,4.997376730024179e+19
2023-05-01,4.672400724165634e+19
2023-05-16,4.577969828986328e+19
2023-06-01,4.421711036397991e+19
2023-06-16,4.3873497075477e+19
2023-07-01,3.882662516514232e+19
2023-07-16,
2023-08-01,3.6886486946238644e+19
2023-08-16,3.3807039968527913e+19
2023-09-01,3.6175957135793766e+19
2023-09-16,3.4758078505691333e+19
2023-10-01,3.875422628067376e+19
2023-10-16,3.839871804004225e+19
2023-11-01,3.633183508180629e+19
2023-11-16,3.770926932696107e+19
2023-12-01,3.6498816486949777e+19
2023-12-16,3.3897720837196472e+19
