date,mean_concentration
2019-01-01,4.865055291153774e+19
2019-01-16,5.266385469660783e+19
2019-02-01,5.1890453205143855e+19
2019-02-16,4.204493079190888e+19
2019-03-01,4.611137313012764e+19
2019-03-16,5.041097519662042e+19
2019-04-01,5.6817866707652624e+19
2019-04-16,5.72094682310984e+19
2019-05-01,5.9748270906422665e+19
2019-05-16,5.9501514115338674e+19
2019-06-01,6.271488938506267e+19
2019-06-16,5.970997068957384e+19
2019-07-01,5.072606401599627e+19
2019-07-16,4.5394059244101345e+19
2019-08-01,4.33170994975604e+19
2019-08-16,4.0056600945828045e+19
2019-09-01,3.813040470417911e+19
2019-09-16,4.1515731384769634e+19
2019-10-01,4.424471876975636e+19
2019-10-16,4.313118609181046e+19
2019-11-01,4.745482023563147e+19
2019-11-16,4.659227299750326e+19
2019-12-01,4.387512534372322e+19
2019-12-16,4.713025757400105e+19
2020-01-01,4.475067284486316e+19
2020-01-16,4.420155411094075e+19
2020-02-01,4.360520382107596e+19
2020-02-16,4.372866120098933e+19
2020-03-01,4.315845941623333e+19
2020-03-16,4.3641970083445694e+19
2020-04-01,4.4081261972169245e+19
2020-04-16,5.131800168714143e+19
2020-05-01,4.9996267021877e+19
2020-05-16,5.623845561548277e+19
2020-06-01,5.138918650402965e+19
2020-06-16,4.7450877343788335e+19
2020-07-01,4.729316400158648e+19
2020-07-16,4.294029030726543e+19
2020-08-01,4.3423904894219215e+19
2020-08-16,3.7875788612879155e+19
2020-09-01,4.159501875494714e+19
2020-09-16,4.192737518262874e+19
2020-10-01,4.695617463322854e+19
2020-10-16,4.826850701538768e+19
2020-11-01,4.767162477542846e+19
2020-11-16,4.815863209473153e+19
2020-12-01,4.7169675961617195e+19
2020-12-16,4.640348157091318e+19
2021-01-01,4.625025177513572e+19
2021-01-16,4.913517447242053e+19
2021-02-01,5.13377473387961e+19
2021-02-16,4.935891102475982e+19
2021-03-01,5.048906203682856e+19
2021-03-16,5.049132592933808e+19
2021-04-01,5.201554956617753e+19
2021-04-16,5.948628393938758e+19
2021-05-01,6.036345509352589e+19
2021-05-16,5.435709128965495e+19
2021-06-01,5.498311444897139e+19
2021-06-16,5.176167296411551e+19
2021-07-01,5.497766578412778e+19
2021-07-16,4.695346679195065e+19
2021-08-01,4.9340046184144855e+19
2021-08-16,4.2392224358037135e+19
2021-09-01,4.301986029502052e+19
2021-09-16,4.274396843483685e+19
2021-10-01,5.0464186157255385e+19
2021-10-16,5.00828981737113e+19
2021-11-01,4.975394361476387e+19
2021-11-16,5.057157112358776e+19
2021-12-01,4.988509280047401e+19
2021-12-16,4.9394810016940335e+19
2022-01-01,4.482721880566576e+19
2022-01-16,4.349234783462585e+19
2022-02-01,4.487606131080849e+19
2022-02-16,4.8712751103163425e+19
2022-03-01,4.900226434468729e+19
2022-03-16,4.83509762547763e+19
2022-04-01,5.638155750291189e+19
2022-04-16,5.505942911526658e+19
2022-05-01,6.0496800938844865e+19
2022-05-16,5.5097428008018166e+19
2022-06-01,6.016420581728327e+19
2022-06-16,5.815325881219374e+19
2022-07-01,4.981753614982548e+19
2022-07-16,4.53050348250525e+19
2022-08-01,4.566748508215969e+19
2022-08-16,4.27843078535253e+19
2022-09-01,4.44015398021514e+19
2022-09-16,4.366608615865108e+19
2022-10-01,4.183355282242363e+19
2022-10-16,4.831710397705111e+19
2022-11-01,5.2410044758922985e+19
2022-11-16,5.73100206132695e+19
2022-12-01,5.384326248019239e+19
2022-12-16,5.4776539697838694e+19
2023-01-01,5.266600486910515e+19
2023-01-16,5.129741551541683e+19
2023-02-01,5.321468506960439e+19
2023-02-16,5.248152232671243e+19
2023-03-01,5.005784794078657e+19
2023-03-16,5.4394270489986556e+19
2023-04-01,5.489534782260461e+19
2023-04-16,6.306212324131685e+19
2023-05-01,6.411030814503244e+19
2023-05-16,6.5193901187605496e+19
2023-06-01,6.2401331189500805e+19
2023-06-16,5.320074553196438e+19
2023-07-01,4.941494992158643e+19
2023-07-16,4.8730869159343645e+19
2023-08-01,4.920070040893731e+19
2023-08-16,4.9097983734159794e+19
2023-09-01,5.007359708681558e+19
2023-09-16,4.5305889885999915e+19
2023-10-01,5.223867676494526e+19
2023-10-16,5.184962961842444e+19
2023-11-01,5.133720100581591e+19
2023-11-16,5.108232806404627e+19
2023-12-01,4.861123355192306e+19
2023-12-16,4.656953290804923e+19
