date,mean_concentration
2019-01-01,6.127141127652813e+19
2019-01-16,6.302309488879245e+19
2019-02-01,6.553515679431587e+19
2019-02-16,5.0236817556409205e+19
2019-03-01,5.346994491014808e+19
2019-03-16,5.3385016564093305e+19
2019-04-01,6.031175849088583e+19
2019-04-16,6.187688051249271e+19
2019-05-01,6.843760555140339e+19
2019-05-16,6.980822093124992e+19
2019-06-01,6.564731183524344e+19
2019-06-16,6.266922974554946e+19
2019-07-01,5.736580565229297e+19
2019-07-16,4.661532521127914e+19
2019-08-01,3.996010702114102e+19
2019-08-16,4.613544113232885e+19
2019-09-01,4.3587732459051926e+19
2019-09-16,4.156433149724831e+19
2019-10-01,5.2704868678826476e+19
2019-10-16,5.124559858163591e+19
2019-11-01,5.1309626541811974e+19
2019-11-16,4.6987575455353225e+19
2019-12-01,5.913196826145816e+19
2019-12-16,8.551229954853801e+19
2020-01-01,5.305137104867462e+19
2020-01-16,5.91719193140096e+19
2020-02-01,5.744034449798034e+19
2020-02-16,5.339592133246742e+19
2020-03-01,4.986151316962156e+19
2020-03-16,5.034357821896831e+19
2020-04-01,4.578419949293153e+19
2020-04-16,5.615629975931365e+19
2020-05-01,5.7741246988036825e+19
2020-05-16,6.575234611164783e+19
2020-06-01,5.6763743749784486e+19
2020-06-16,5.596999655862806e+19
2020-07-01,5.119436288333069e+19
2020-07-16,4.767614710556255e+19
2020-08-01,4.6146011057158504e+19
2020-08-16,3.6746265649018454e+19
2020-09-01,4.6188343466555744e+19
2020-09-16,4.758234503133508e+19
2020-10-01,5.4537731893102354e+19
2020-10-16,5.199605367630128e+19
2020-11-01,5.126203219951125e+19
2020-11-16,5.20370662511617e+19
2020-12-01,6.2842309740245385e+19
2020-12-16,6.273343903980942e+19
2021-01-01,5.814807404143934e+19
2021-01-16,6.9881039267364495e+19
2021-02-01,6.844828296769252e+19
2021-02-16,6.3428894436185915e+19
2021-03-01,5.347699081172956e+19
2021-03-16,5.609935991362084e+19
2021-04-01,5.762989777016691e+19
2021-04-16,6.506994500263713e+19
2021-05-01,6.609533095699904e+19
2021-05-16,6.434722383025523e+19
2021-06-01,6.6361804701369156e+19
2021-06-16,6.614632040479429e+19
2021-07-01,6.152763287734454e+19
2021-07-16,4.870314046165495e+19
2021-08-01,5.298384021904682e+19
2021-08-16,5.095199566595806e+19
2021-09-01,4.680500010556234e+19
2021-09-16,4.4461550739039445e+19
2021-10-01,5.890550753998816e+19
2021-10-16,6.061684040316447e+19
2021-11-01,5.871238947151114e+19
2021-11-16,5.938168845565092e+19
2021-12-01,5.969310950750474e+19
2021-12-16,6.805660101172474e+19
2022-01-01,8.164701386495843e+19
2022-01-16,6.44423285727531e+19
2022-02-01,6.786361261136814e+19
2022-02-16,6.023429672063617e+19
2022-03-01,5.792377745792767e+19
2022-03-16,5.9447569194181214e+19
2022-04-01,6.58043014102602e+19
2022-04-16,6.797847249042764e+19
2022-05-01,6.462243060224644e+19
2022-05-16,5.946640193029691e+19
2022-06-01,6.035248312862101e+19
2022-06-16,6.21508416184188e+19
2022-07-01,4.938107757603068e+19
2022-07-16,4.736764555955132e+19
2022-08-01,4.555340835056567e+19
2022-08-16,4.5925149201737e+19
2022-09-01,4.899849077008934e+19
2022-09-16,4.997646183620301e+19
2022-10-01,5.493640966059792e+19
2022-10-16,6.3271694385661755e+19
2022-11-01,5.95619764955599e+19
2022-11-16,6.744742129409944e+19
2022-12-01,7.053382950174737e+19
2022-12-16,8.418463947915433e+19
2023-01-01,1.1257916417092136e+20
2023-01-16,7.01610355314486e+19
2023-02-01,7.004217915145195e+19
2023-02-16,6.6175447192673616e+19
2023-03-01,5.874955010028102e+19
2023-03-16,6.140354073559294e+19
2023-04-01,6.340989031328686e+19
2023-04-16,6.925554427458272e+19
2023-05-01,6.917857151415975e+19
2023-05-16,7.348236327424728e+19
2023-06-01,6.350685191958202e+19
2023-06-16,5.715910864970315e+19
2023-07-01,5.42567322527786e+19
2023-07-16,5.125169001769361e+19
2023-08-01,5.055701408536479e+19
2023-08-16,5.3930166658631246e+19
2023-09-01,5.3102121596219195e+19
2023-09-16,5.319621849800152e+19
2023-10-01,5.768679153516668e+19
2023-10-16,5.862938279584119e+19
2023-11-01,5.563028001149059e+19
2023-11-16,6.341120839667727e+19
2023-12-01,6.222035659166264e+19
2023-12-16,6.967487796307853e+19
