date,mean_concentration
2019-01-01,4.871219372297196e+19
2019-01-16,5.5490165176507105e+19
2019-02-01,5.2525955620263076e+19
2019-02-16,4.703979705273567e+19
2019-03-01,4.60539619109355e+19
2019-03-16,5.035036398065049e+19
2019-04-01,5.494277587408736e+19
2019-04-16,5.668128807697641e+19
2019-05-01,6.450642725882439e+19
2019-05-16,6.309737271079773e+19
2019-06-01,6.178330766953733e+19
2019-06-16,6.175304661552414e+19
2019-07-01,5.4123531153438335e+19
2019-07-16,4.221548488122196e+19
2019-08-01,4.333339156388531e+19
2019-08-16,4.1891169025724236e+19
2019-09-01,4.0562295913162424e+19
2019-09-16,3.751896340602454e+19
2019-10-01,4.799460742801143e+19
2019-10-16,4.6167622781958504e+19
2019-11-01,4.872929154890429e+19
2019-11-16,4.1861858099844325e+19
2019-12-01,5.1326146835532235e+19
2019-12-16,5.2304366787013026e+19
2020-01-01,4.887445914182243e+19
2020-01-16,4.773604657374104e+19
2020-02-01,4.960748342041248e+19
2020-02-16,4.4367505874682765e+19
2020-03-01,4.474305297295938e+19
2020-03-16,4.6099611966824776e+19
2020-04-01,4.490431144268808e+19
2020-04-16,5.074845308958869e+19
2020-05-01,5.126379367072703e+19
2020-05-16,5.728941571399824e+19
2020-06-01,5.325937231830371e+19
2020-06-16,5.289308170489042e+19
2020-07-01,4.851879271746897e+19
2020-07-16,4.135874247695817e+19
2020-08-01,4.179687637542348e+19
2020-08-16,3.893258705510356e+19
2020-09-01,4.2092423127978115e+19
2020-09-16,4.555913936940924e+19
2020-10-01,5.038115732627223e+19
2020-10-16,4.98083141701412e+19
2020-11-01,4.794608250340435e+19
2020-11-16,4.897104075656495e+19
2020-12-01,5.191846831948457e+19
2020-12-16,5.39561392429671e+19
2021-01-01,4.71008351314475e+19
2021-01-16,5.008884562020704e+19
2021-02-01,5.879605407261219e+19
2021-02-16,5.4702946146909225e+19
2021-03-01,4.8814196282782474e+19
2021-03-16,5.097049681250832e+19
2021-04-01,5.452364458600887e+19
2021-04-16,5.996510066003818e+19
2021-05-01,5.742465497136514e+19
2021-05-16,5.938352701967792e+19
2021-06-01,6.075403239427134e+19
2021-06-16,5.944032853580624e+19
2021-07-01,5.863053192660658e+19
2021-07-16,4.5127340158183326e+19
2021-08-01,4.984913746006887e+19
2021-08-16,5.022915319771408e+19
2021-09-01,4.568482637442101e+19
2021-09-16,4.298997316625554e+19
2021-10-01,5.392575283902672e+19
2021-10-16,5.5118305588410835e+19
2021-11-01,5.3989964974367515e+19
2021-11-16,5.061925104869368e+19
2021-12-01,4.945771219818158e+19
2021-12-16,5.273826863585229e+19
2022-01-01,4.772633130909477e+19
2022-01-16,4.862838138218502e+19
2022-02-01,5.774580348139107e+19
2022-02-16,5.174547266684635e+19
2022-03-01,5.331135596248145e+19
2022-03-16,5.452587939050997e+19
2022-04-01,6.136857320528497e+19
2022-04-16,6.102701216765212e+19
2022-05-01,5.676228737665703e+19
2022-05-16,5.5336394344419475e+19
2022-06-01,6.187764005773852e+19
2022-06-16,5.859258778656256e+19
2022-07-01,4.990458020300227e+19
2022-07-16,4.714790202712136e+19
2022-08-01,4.479436534595417e+19
2022-08-16,4.4884893984602866e+19
2022-09-01,4.674154450177737e+19
2022-09-16,4.503418396636115e+19
2022-10-01,4.927070415376289e+19
2022-10-16,5.5015450825131835e+19
2022-11-01,5.747088363155613e+19
2022-11-16,6.115997209719016e+19
2022-12-01,6.246819473729866e+19
2022-12-16,6.1854079287900635e+19
2023-01-01,5.62053179665391e+19
2023-01-16,6.206799954000981e+19
2023-02-01,6.194649328396286e+19
2023-02-16,5.366674999121498e+19
2023-03-01,5.48386217137383e+19
2023-03-16,5.347789560414573e+19
2023-04-01,5.8194079318464676e+19
2023-04-16,6.2334848197515485e+19
2023-05-01,6.208869035075083e+19
2023-05-16,6.672383667682128e+19
2023-06-01,6.150677611262693e+19
2023-06-16,5.600481099300692e+19
2023-07-01,5.068802616955961e+19
2023-07-16,4.9139083961077465e+19
2023-08-01,4.853645315430902e+19
2023-08-16,5.14296496514532e+19
2023-09-01,5.006178937080433e+19
2023-09-16,4.924507679657131e+19
2023-10-01,5.768271633611838e+19
2023-10-16,5.472791403271058e+19
2023-11-01,5.316921786765257e+19
2023-11-16,5.543465390475499e+19
2023-12-01,5.094573340116376e+19
2023-12-16,5.473891142209899e+19
