date,mean_concentration
2019-01-01,3.252510920314516e+19
2019-01-16,3.815938914628214e+19
2019-02-01,3.897229560189075e+19
2019-02-16,3.873488523752098e+19
2019-03-01,4.3861718709575156e+19
2019-03-16,4.572788156730749e+19
2019-04-01,4.537692897371014e+19
2019-04-16,4.410168269205133e+19
2019-05-01,4.630218911160768e+19
2019-05-16,4.9211162243368034e+19
2019-06-01,4.654471984738382e+19
2019-06-16,4.312655739184021e+19
2019-07-01,3.9745517257159246e+19
2019-07-16,3.963639028375659e+19
2019-08-01,3.8895053572833214e+19
2019-08-16,3.998876262014345e+19
2019-09-01,3.7076265244808e+19
2019-09-16,3.5672529391698874e+19
2019-10-01,3.6675026147007066e+19
2019-10-16,3.262872989439961e+19
2019-11-01,3.2413926611705192e+19
2019-11-16,3.1798254996225307e+19
2019-12-01,3.055597192851285e+19
2019-12-16,3.0506330424533127e+19
2020-01-01,3.4240678218956206e+19
2020-01-16,3.198269360438256e+19
2020-02-01,3.3374567089664557e+19
2020-02-16,3.654276125680351e+19
2020-03-01,3.83490109340311e+19
2020-03-16,4.45500362983417e+19
2020-04-01,4.334403453452012e+19
2020-04-16,4.520593199961238e+19
2020-05-01,4.087899794570601e+19
2020-05-16,4.0053478132779336e+19
2020-06-01,4.445709497431172e+19
2020-06-16,3.8204855259882545e+19
2020-07-01,4.194107276131491e+19
2020-07-16,3.6818119308627583e+19
2020-08-01,3.9127547965383524e+19
2020-08-16,3.77134946875323e+19
2020-09-01,3.6246433724030185e+19
2020-09-16,3.912584527575206e+19
2020-10-01,3.712322248382067e+19
2020-10-16,3.435533358785958e+19
2020-11-01,3.108469110034946e+19
2020-11-16,3.36021239556861e+19
2020-12-01,3.340365526258552e+19
2020-12-16,3.3016050842418434e+19
2021-01-01,3.691050039855096e+19
2021-01-16,3.386406158906528e+19
2021-02-01,3.640993828854387e+19
2021-02-16,4.257331486039073e+19
2021-03-01,4.584395362604801e+19
2021-03-16,5.918211969917091e+19
2021-04-01,4.6746782832015245e+19
2021-04-16,4.719774253211782e+19
2021-05-01,5.0692226002163786e+19
2021-05-16,4.641599266088125e+19
2021-06-01,5.151227931517873e+19
2021-06-16,4.376214445519446e+19
2021-07-01,4.5315490774156755e+19
2021-07-16,4.323554799236784e+19
2021-08-01,4.404705134871999e+19
2021-08-16,4.3027790786343756e+19
2021-09-01,4.145141801504144e+19
2021-09-16,4.077350692283816e+19
2021-10-01,4.386552448643206e+19
2021-10-16,3.744292078937689e+19
2021-11-01,3.4932314478142407e+19
2021-11-16,3.171696086618224e+19
2021-12-01,3.3005144761306235e+19
2021-12-16,3.3230388975805686e+19
2022-01-01,3.37339932468408e+19
2022-01-16,3.2939626675514393e+19
2022-02-01,3.3399329094802534e+19
2022-02-16,3.854645068995013e+19
2022-03-01,4.495201069793009e+19
2022-03-16,5.089131101408918e+19
2022-04-01,3.4771695960659403e+19
2022-04-16,4.133766703368658e+19
2022-05-01,4.029336615607883e+19
2022-05-16,4.2068389352213955e+19
2022-06-01,4.0127456033691795e+19
2022-06-16,4.192927650794289e+19
2022-07-01,4.629565836854515e+19
2022-07-16,4.219007181944542e+19
2022-08-01,4.107762385846934e+19
2022-08-16,3.981592072581383e+19
2022-09-01,3.921694619116406e+19
2022-09-16,3.8675287923730915e+19
2022-10-01,3.981462349404905e+19
2022-10-16,3.75274382286098e+19
2022-11-01,3.5608568472967393e+19
2022-11-16,3.6148638119977476e+19
2022-12-01,3.730507637913627e+19
2022-12-16,3.993303008724391e+19
2023-01-01,3.7834650706212954e+19
2023-01-16,4.095672116619144e+19
2023-02-01,4.2640948782043685e+19
2023-02-16,4.240953039301271e+19
2023-03-01,5.046378683054508e+19
2023-03-16,4.86085976270943e+19
2023-04-01,4.816256060054385e+19
2023-04-16,5.197319290650456e+19
2023-05-01,5.231849109641464e+19
2023-05-16,5.042654928501365e+19
2023-06-01,5.353691807294702e+19
2023-06-16,4.800989509581502e+19
2023-07-01,4.4888137045997896e+19
2023-07-16,4.497754691366807e+19
2023-08-01,4.12276334941197e+19
2023-08-16,4.249911061120111e+19
2023-09-01,4.504487944252972e+19
2023-09-16,4.2963803017123684e+19
2023-10-01,4.122058180942972e+19
2023-10-16,3.6554573410161566e+19
2023-11-01,3.715280312838162e+19
2023-11-16,3.5757415970986455e+19
2023-12-01,3.3519560208175034e+19
2023-12-16,3.6042838957326844e+19
