date,mean_concentration
2019-01-01,5.318685646567522e+19
2019-01-16,5.619074836360927e+19
2019-02-01,5.506113618999134e+19
2019-02-16,4.936874570001647e+19
2019-03-01,4.517607092635413e+19
2019-03-16,5.005431023310316e+19
2019-04-01,5.12759179193103e+19
2019-04-16,4.998147394530512e+19
2019-05-01,5.473943083048875e+19
2019-05-16,6.125433312436586e+19
2019-06-01,6.393180305783058e+19
2019-06-16,6.733890481688122e+19
2019-07-01,5.947642712968984e+19
2019-07-16,5.1983863424051225e+19
2019-08-01,4.71886370212809e+19
2019-08-16,4.736728006927368e+19
2019-09-01,4.371169785266322e+19
2019-09-16,4.752316127958672e+19
2019-10-01,4.561753392203872e+19
2019-10-16,4.270448184152373e+19
2019-11-01,4.745679537371871e+19
2019-11-16,4.4197760340090765e+19
2019-12-01,5.165118397849715e+19
2019-12-16,4.846558610182711e+19
2020-01-01,5.0133306299258085e+19
2020-01-16,5.521532239379367e+19
2020-02-01,4.85895797115942e+19
2020-02-16,4.394015997743321e+19
2020-03-01,4.5759027046013485e+19
2020-03-16,4.504758712844092e+19
2020-04-01,3.937543598788826e+19
2020-04-16,4.679223706147091e+19
2020-05-01,5.014002464290726e+19
2020-05-16,5.408807424821444e+19
2020-06-01,5.3736806174005805e+19
2020-06-16,5.683296251151559e+19
2020-07-01,5.0428948176478405e+19
2020-07-16,4.780411656795326e+19
2020-08-01,4.904304441872536e+19
2020-08-16,4.329233818089676e+19
2020-09-01,4.693026711910518e+19
2020-09-16,4.662558969540396e+19
2020-10-01,4.649313078001251e+19
2020-10-16,4.789829890861053e+19
2020-11-01,4.768839427547604e+19
2020-11-16,5.065009630816768e+19
2020-12-01,5.196327159976877e+19
2020-12-16,4.970252419581533e+19
2021-01-01,5.439192778224633e+19
2021-01-16,4.9242846505487655e+19
2021-02-01,5.079856283407342e+19
2021-02-16,4.973850346569181e+19
2021-03-01,4.429271539187773e+19
2021-03-16,5.046649711250669e+19
2021-04-01,5.0779418613480284e+19
2021-04-16,5.417352851207241e+19
2021-05-01,5.908390190991517e+19
2021-05-16,5.75634259211804e+19
2021-06-01,6.0895655212050235e+19
2021-06-16,6.411258434817141e+19
2021-07-01,6.616760334126234e+19
2021-07-16,5.442991726832888e+19
2021-08-01,5.700640951940634e+19
2021-08-16,5.4651878111588925e+19
2021-09-01,4.841309647914781e+19
2021-09-16,4.552274524272023e+19
2021-10-01,5.327584398141921e+19
2021-10-16,5.23963362248236e+19
2021-11-01,4.9971854259567895e+19
2021-11-16,5.4663085085297795e+19
2021-12-01,5.274351562577342e+19
2021-12-16,5.500446516452105e+19
2022-01-01,5.792300927974689e+19
2022-01-16,4.1754773444994785e+19
2022-02-01,5.236588798829814e+19
2022-02-16,5.5169740323099435e+19
2022-03-01,5.492610367312884e+19
2022-03-16,5.4690449729543635e+19
2022-04-01,5.7762478488406655e+19
2022-04-16,5.816129893980539e+19
2022-05-01,6.476028545487686e+19
2022-05-16,6.137204110800933e+19
2022-06-01,6.7646667874276024e+19
2022-06-16,6.902283587769751e+19
2022-07-01,5.754933283464237e+19
2022-07-16,5.3252908966202835e+19
2022-08-01,5.142619330697939e+19
2022-08-16,5.295549851489848e+19
2022-09-01,5.947383343067254e+19
2022-09-16,4.870795462297618e+19
2022-10-01,5.1594417687295386e+19
2022-10-16,4.749774694028846e+19
2022-11-01,5.32235496142028e+19
2022-11-16,6.542871252866511e+19
2022-12-01,5.98250360093691e+19
2022-12-16,7.103845508975213e+19
2023-01-01,6.928919539371848e+19
2023-01-16,6.118016978967006e+19
2023-02-01,5.204110664632855e+19
2023-02-16,5.743441256378064e+19
2023-03-01,5.921128421134056e+19
2023-03-16,5.664474727083863e+19
2023-04-01,5.654339733036256e+19
2023-04-16,6.375460931000366e+19
2023-05-01,5.943903357057573e+19
2023-05-16,6.491289593063361e+19
2023-06-01,5.902225249226625e+19
2023-06-16,6.159324230421674e+19
2023-07-01,6.807916374979369e+19
2023-07-16,5.1936845526096265e+19
2023-08-01,6.168949745874822e+19
2023-08-16,5.536398162139483e+19
2023-09-01,5.66641990461291e+19
2023-09-16,5.128508052978646e+19
2023-10-01,5.886623145070854e+19
2023-10-16,5.7665412575752946e+19
2023-11-01,5.888024475717013e+19
2023-11-16,6.343032504810182e+19
2023-12-01,5.341919536380088e+19
2023-12-16,5.963657542399436e+19
