date,mean_concentration
2019-01-01,3.1471134174613475e+19
2019-01-16,2.8808702144932938e+19
2019-02-01,2.7779245041007325e+19
2019-02-16,3.4814385584221286e+19
2019-03-01,3.838163572602988e+19
2019-03-16,3.7884647024364405e+19
2019-04-01,4.216995849186785e+19
2019-04-16,4.156088585243742e+19
2019-05-01,4.844660900044264e+19
2019-05-16,4.730008036366063e+19
2019-06-01,4.4611257470184415e+19
2019-06-16,4.917958809380978e+19
2019-07-01,3.638098628158712e+19
2019-07-16,3.715475632839697e+19
2019-08-01,3.0533099421837795e+19
2019-08-16,3.386668936583138e+19
2019-09-01,3.3694245704580653e+19
2019-09-16,3.066011396939652e+19
2019-10-01,3.55334849804923e+19
2019-10-16,2.6522406075474285e+19
2019-11-01,2.830987364889687e+19
2019-11-16,2.7130733132940694e+19
2019-12-01,2.6329713591858397e+19
2019-12-16,2.4369875570335785e+19
2020-01-01,2.636292820749698e+19
2020-01-16,2.853837458731241e+19
2020-02-01,2.391048914989727e+19
2020-02-16,2.7501345629974606e+19
2020-03-01,2.7731304605443113e+19
2020-03-16,3.1323993048140222e+19
2020-04-01,3.1890151957721784e+19
2020-04-16,3.6619948477867176e+19
2020-05-01,3.646467546815971e+19
2020-05-16,4.2123763744568844e+19
2020-06-01,3.7998684093034275e+19
2020-06-16,3.4058987813897007e+19
2020-07-01,3.505795489597698e+19
2020-07-16,3.401371208293943e+19
2020-08-01,2.375357218142122e+19
2020-08-16,3.289803163251967e+19
2020-09-01,2.9820626727719522e+19
2020-09-16,3.2863285361664156e+19
2020-10-01,3.5884565947719623e+19
2020-10-16,3.1960642405027467e+19
2020-11-01,3.943470749135127e+19
2020-11-16,3.3460315567383536e+19
2020-12-01,3.0418503616884466e+19
2020-12-16,3.4071158157201334e+19
2021-01-01,2.806128998646062e+19
2021-01-16,3.2088602016141656e+19
2021-02-01,3.1618678846952194e+19
2021-02-16,3.308066034296759e+19
2021-03-01,3.7160879829019615e+19
2021-03-16,3.654708885644577e+19
2021-04-01,3.96540866485121e+19
2021-04-16,4.19086066860439e+19
2021-05-01,3.603185136479045e+19
2021-05-16,4.0446588818515935e+19
2021-06-01,3.925539555497905e+19
2021-06-16,4.298907549931064e+19
2021-07-01,4.13896593392402e+19
2021-07-16,3.661232738028333e+19
2021-08-01,3.922654443087827e+19
2021-08-16,3.770131989649354e+19
2021-09-01,3.788631952915328e+19
2021-09-16,3.604634877672137e+19
2021-10-01,3.0983548962756997e+19
2021-10-16,3.233722012864701e+19
2021-11-01,3.935048383336194e+19
2021-11-16,2.6994952372471378e+19
2021-12-01,3.297359095475756e+19
2021-12-16,3.46725449771917e+19
2022-01-01,2.8136283952118997e+19
2022-01-16,3.704488844873083e+19
2022-02-01,2.9857315699475788e+19
2022-02-16,2.9801282581976138e+19
2022-03-01,3.183803502973283e+19
2022-03-16,4.170852930643547e+19
2022-04-01,3.4272181417624412e+19
2022-04-16,3.709896353124464e+19
2022-05-01,4.327226887379607e+19
2022-05-16,3.953092194057349e+19
2022-06-01,4.341698240443081e+19
2022-06-16,3.858207002220807e+19
2022-07-01,3.6301040627308773e+19
2022-07-16,3.3978450378550706e+19
2022-08-01,3.4076545922346037e+19
2022-08-16,3.4396713890708304e+19
2022-09-01,3.2558673276213764e+19
2022-09-16,3.874136587999468e+19
2022-10-01,3.1956959737146986e+19
2022-10-16,3.5874750218691084e+19
2022-11-01,3.392087166310816e+19
2022-11-16,3.8087311158051095e+19
2022-12-01,2.9870010934771544e+19
2022-12-16,3.824437996982342e+19
2023-01-01,3.700880778125618e+19
2023-01-16,3.0268856561569554e+19
2023-02-01,3.708939553376159e+19
2023-02-16,3.749139608754031e+19
2023-03-01,3.572027238237327e+19
2023-03-16,4.279239780387142e+19
2023-04-01,4.2183708044063e+19
2023-04-16,4.384720830959671e+19
2023-05-01,4.325869157190879e+19
2023-05-16,4.981660554250761e+19
2023-06-01,5.099079627040852e+19
2023-06-16,4.3336526998170034e+19
2023-07-01,4.029903036610417e+19
2023-07-16,3.7413979592476344e+19
2023-08-01,3.637905898023965e+19
2023-08-16,4.038009512592227e+19
2023-09-01,3.8716451476386365e+19
2023-09-16,3.859179088907587e+19
2023-10-01,3.7220130881117045e+19
2023-10-16,3.853131928587669e+19
2023-11-01,3.27497607022386e+19
2023-11-16,3.4406289718583534e+19
2023-12-01,3.281514648564194e+19
2023-12-16,2.5548876600058196e+19
