date,mean_concentration
2019-01-01,3.938176920875011e+19
2019-01-16,3.931991728974873e+19
2019-02-01,4.8486238901024555e+19
2019-02-16,3.987922658604647e+19
2019-03-01,3.9859769557746565e+19
2019-03-16,4.800234535359598e+19
2019-04-01,5.104213815812048e+19
2019-04-16,4.8320253169257325e+19
2019-05-01,5.4531782496836534e+19
2019-05-16,6.115051327034476e+19
2019-06-01,5.800145916261499e+19
2019-06-16,5.901173473504387e+19
2019-07-01,5.410941712208516e+19
2019-07-16,4.465619155264795e+19
2019-08-01,4.0088615928834744e+19
2019-08-16,3.921317531080984e+19
2019-09-01,4.089650848365136e+19
2019-09-16,3.8328110277607694e+19
2019-10-01,4.228305434833711e+19
2019-10-16,4.0559982799043355e+19
2019-11-01,4.34813431851208e+19
2019-11-16,3.749475139905653e+19
2019-12-01,3.5436457897166275e+19
2019-12-16,3.906781284073497e+19
2020-01-01,3.6280393810923405e+19
2020-01-16,4.193360776097666e+19
2020-02-01,4.200401934320192e+19
2020-02-16,4.030622491924114e+19
2020-03-01,3.965058830854834e+19
2020-03-16,4.125614198479685e+19
2020-04-01,4.127541300124132e+19
2020-04-16,4.512936134122469e+19
2020-05-01,4.632699234394012e+19
2020-05-16,5.217038156083604e+19
2020-06-01,4.997424097282598e+19
2020-06-16,4.82021115737452e+19
2020-07-01,4.622804214607976e+19
2020-07-16,4.191934688608635e+19
2020-08-01,4.45038421777414e+19
2020-08-16,3.918800470776759e+19
2020-09-01,3.939989759664564e+19
2020-09-16,4.325459034100244e+19
2020-10-01,4.3336914246153175e+19
2020-10-16,4.1998831762439225e+19
2020-11-01,3.957463833554951e+19
2020-11-16,3.986336071168634e+19
2020-12-01,4.164182030456058e+19
2020-12-16,4.331900173374724e+19
2021-01-01,4.018091699424494e+19
2021-01-16,4.186672713372726e+19
2021-02-01,4.416074661470599e+19
2021-02-16,4.431455506991579e+19
2021-03-01,4.330471334198919e+19
2021-03-16,4.616690692158901e+19
2021-04-01,5.031477211423488e+19
2021-04-16,5.126330143188723e+19
2021-05-01,5.228563362093568e+19
2021-05-16,5.389375882727306e+19
2021-06-01,5.4671904534936396e+19
2021-06-16,5.689051466506918e+19
2021-07-01,5.813262035065315e+19
2021-07-16,4.5792261914240614e+19
2021-08-01,4.287259153529753e+19
2021-08-16,4.5227352783360066e+19
2021-09-01,4.391505572380273e+19
2021-09-16,4.163977284049993e+19
2021-10-01,4.761155540606138e+19
2021-10-16,4.63480178679553e+19
2021-11-01,4.5949317958205145e+19
2021-11-16,4.1544967252813e+19
2021-12-01,3.4990101085537423e+19
2021-12-16,4.002735017581818e+19
2022-01-01,3.711957247205805e+19
2022-01-16,4.025950739428572e+19
2022-02-01,4.405235199716487e+19
2022-02-16,4.631041046913712e+19
2022-03-01,4.371200759264762e+19
2022-03-16,5.162242608829731e+19
2022-04-01,5.132803346360987e+19
2022-04-16,5.571680018933823e+19
2022-05-01,5.0984290485037195e+19
2022-05-16,4.990469618656302e+19
2022-06-01,6.4113983528725905e+19
2022-06-16,5.891830909074997e+19
2022-07-01,4.397618488456181e+19
2022-07-16,4.544529558608513e+19
2022-08-01,4.236568826201526e+19
2022-08-16,4.39231612624785e+19
2022-09-01,4.370082287019255e+19
2022-09-16,4.06732047060836e+19
2022-10-01,4.154313106194378e+19
2022-10-16,4.3194230889955795e+19
2022-11-01,4.478550461544531e+19
2022-11-16,4.724269044491086e+19
2022-12-01,4.53102487062274e+19
2022-12-16,5.01829748990485e+19
2023-01-01,4.753671087750397e+19
2023-01-16,4.230140036757029e+19
2023-02-01,4.94425967848934e+19
2023-02-16,4.826261669146328e+19
2023-03-01,4.690943808056232e+19
2023-03-16,4.6592938421701894e+19
2023-04-01,5.1611256185394455e+19
2023-04-16,5.341516346195878e+19
2023-05-01,5.3373655278266925e+19
2023-05-16,6.0259653076148265e+19
2023-06-01,5.586029495993479e+19
2023-06-16,5.734225125601697e+19
2023-07-01,4.9021831120327066e+19
2023-07-16,4.442927344385272e+19
2023-08-01,4.91691919951009e+19
2023-08-16,5.137086854490868e+19
2023-09-01,4.941420589189174e+19
2023-09-16,4.676438034515104e+19
2023-10-01,5.092973550170908e+19
2023-10-16,4.537635820967551e+19
2023-11-01,4.569956830385453e+19
2023-11-16,4.1349214258014134e+19
2023-12-01,3.986763216185175e+19
2023-12-16,4.061110178116124e+19
