date,mean_concentration
2019-01-01,5.874127960329827e+19
2019-01-16,5.843416146266325e+19
2019-02-01,5.829606037081211e+19
2019-02-16,5.1152790758794355e+19
2019-03-01,4.7630402012939305e+19
2019-03-16,4.919695860842348e+19
2019-04-01,5.380322001688954e+19
2019-04-16,6.142631040695678e+19
2019-05-01,7.1908047269778784e+19
2019-05-16,7.854823737865031e+19
2019-06-01,7.011673670317644e+19
2019-06-16,7.163139349976952e+19
2019-07-01,6.3435194852025795e+19
2019-07-16,5.023010285591466e+19
2019-08-01,4.556561328920899e+19
2019-08-16,4.981553483784012e+19
2019-09-01,4.830334318208135e+19
2019-09-16,4.442164748278037e+19
2019-10-01,5.160119674351042e+19
2019-10-16,6.053144793727308e+19
2019-11-01,7.0510813305222365e+19
2019-11-16,5.047271126713599e+19
2019-12-01,7.035956481291944e+19
2019-12-16,5.635704578519504e+19
2020-01-01,5.754856045273328e+19
2020-01-16,5.2414784612333535e+19
2020-02-01,4.881507934871871e+19
2020-02-16,4.6534361067246215e+19
2020-03-01,4.4135015528733114e+19
2020-03-16,4.532244944101478e+19
2020-04-01,4.112689371639192e+19
2020-04-16,5.216166748500987e+19
2020-05-01,5.78834808601968e+19
2020-05-16,6.98035699578038e+19
2020-06-01,6.157911183103267e+19
2020-06-16,6.059286376305976e+19
2020-07-01,5.4520239193668346e+19
2020-07-16,4.955638844269886e+19
2020-08-01,4.822349361089511e+19
2020-08-16,4.222574848989528e+19
2020-09-01,5.109403904017166e+19
2020-09-16,4.983640776319588e+19
2020-10-01,5.637220242979852e+19
2020-10-16,6.290179537295029e+19
2020-11-01,5.586786028436385e+19
2020-11-16,6.639255188852526e+19
2020-12-01,6.227628309882621e+19
2020-12-16,6.2127547855461286e+19
2021-01-01,5.431291505834095e+19
2021-01-16,5.551696685027003e+19
2021-02-01,6.015444414858539e+19
2021-02-16,5.328967781076334e+19
2021-03-01,4.722005692369415e+19
2021-03-16,5.2745178680189444e+19
2021-04-01,5.655946089322977e+19
2021-04-16,6.637006495265776e+19
2021-05-01,7.3641486023476036e+19
2021-05-16,7.0576061379152036e+19
2021-06-01,6.9074018689366655e+19
2021-06-16,6.888330089450535e+19
2021-07-01,6.594216355287893e+19
2021-07-16,5.641235164388235e+19
2021-08-01,5.718259487894739e+19
2021-08-16,5.388359960970309e+19
2021-09-01,4.8072883050976035e+19
2021-09-16,4.784406833179691e+19
2021-10-01,5.771813858156059e+19
2021-10-16,6.788671128075529e+19
2021-11-01,8.14268596226219e+19
2021-11-16,6.152814348662837e+19
2021-12-01,6.370219906944714e+19
2021-12-16,6.398251948382891e+19
2022-01-01,7.778346728197577e+19
2022-01-16,4.558970524449601e+19
2022-02-01,5.929584334434567e+19
2022-02-16,6.003689510425991e+19
2022-03-01,5.228442311742072e+19
2022-03-16,5.524367500772225e+19
2022-04-01,6.477968617201638e+19
2022-04-16,6.777405459429701e+19
2022-05-01,7.038609539985379e+19
2022-05-16,6.710107275187663e+19
2022-06-01,6.842362505238883e+19
2022-06-16,7.126918026881106e+19
2022-07-01,5.42679935133688e+19
2022-07-16,5.248881356606488e+19
2022-08-01,4.940067001118154e+19
2022-08-16,4.69322575252551e+19
2022-09-01,4.809237799273055e+19
2022-09-16,4.818600622434388e+19
2022-10-01,5.502497753104022e+19
2022-10-16,7.2135507980372886e+19
2022-11-01,6.8000646757608145e+19
2022-11-16,6.4029370395521e+19
2022-12-01,7.122049090667018e+19
2022-12-16,8.569086292440144e+19
2023-01-01,6.592153730676166e+19
2023-01-16,6.275944731189473e+19
2023-02-01,5.3928412233103565e+19
2023-02-16,5.142079354363104e+19
2023-03-01,5.2084552697589e+19
2023-03-16,5.41651839697389e+19
2023-04-01,6.399429349066627e+19
2023-04-16,6.713923438620625e+19
2023-05-01,7.8650860398679e+19
2023-05-16,8.384834184498613e+19
2023-06-01,7.180500350824294e+19
2023-06-16,7.0206097932435235e+19
2023-07-01,6.233732940261845e+19
2023-07-16,5.228410757495331e+19
2023-08-01,5.345430493955317e+19
2023-08-16,5.6679286387351904e+19
2023-09-01,5.6591181768046445e+19
2023-09-16,5.365192545988253e+19
2023-10-01,6.278066350852637e+19
2023-10-16,6.93981079065384e+19
2023-11-01,7.899387374275227e+19
2023-11-16,7.35190653889145e+19
2023-12-01,6.105289230796609e+19
2023-12-16,6.589322337088598e+19
