date,mean_concentration
2019-01-01,6.629505696199964e+19
2019-01-16,5.5404008405220516e+19
2019-02-01,5.626075229109783e+19
2019-02-16,5.971164559274795e+19
2019-03-01,5.890919990508574e+19
2019-03-16,6.645527078413961e+19
2019-04-01,6.090692339756248e+19
2019-04-16,5.988051319117917e+19
2019-05-01,5.370596561594423e+19
2019-05-16,5.871124701945536e+19
2019-06-01,5.368949075254343e+19
2019-06-16,4.351968615874169e+19
2019-07-01,3.3222962354787557e+19
2019-07-16,4.111644453902908e+19
2019-08-01,3.686444575125008e+19
2019-08-16,3.4667849692389814e+19
2019-09-01,
2019-09-16,3.1842122662414643e+19
2019-10-01,3.960187214272253e+19
2019-10-16,3.5900129692185338e+19
2019-11-01,3.980197183320877e+19
2019-11-16,4.416255948407594e+19
2019-12-01,4.543681685974461e+19
2019-12-16,4.476367797081735e+19
2020-01-01,4.602715184924235e+19
2020-01-16,4.867975061424184e+19
2020-02-01,4.981267520933101e+19
2020-02-16,5.469456175941744e+19
2020-03-01,4.644583653782934e+19
2020-03-16,4.737645556063584e+19
2020-04-01,4.349487601467255e+19
2020-04-16,4.4661102796029805e+19
2020-05-01,4.6084410616969126e+19
2020-05-16,4.544113211604463e+19
2020-06-01,3.731735828095886e+19
2020-06-16,3.3842360361853936e+19
2020-07-01,3.823607186879046e+19
2020-07-16,3.580045806179257e+19
2020-08-01,3.4200451381419696e+19
2020-08-16,2.912325029565841e+19
2020-09-01,3.99461902065286e+19
2020-09-16,3.5023052863117476e+19
2020-10-01,4.353766875574934e+19
2020-10-16,4.584898474672705e+19
2020-11-01,4.882049502724834e+19
2020-11-16,4.487303362205866e+19
2020-12-01,5.2053766164262306e+19
2020-12-16,5.796056388884985e+19
2021-01-01,5.5507398339060605e+19
2021-01-16,5.922347366990929e+19
2021-02-01,5.8211209259281244e+19
2021-02-16,5.992247491293894e+19
2021-03-01,6.426307776202592e+19
2021-03-16,5.934135755269833e+19
2021-04-01,5.677297193579504e+19
2021-04-16,5.678677696801511e+19
2021-05-01,5.166943154136318e+19
2021-05-16,4.925082086973977e+19
2021-06-01,5.373005509984495e+19
2021-06-16,4.151423000130846e+19
2021-07-01,4.39152618397518e+19
2021-07-16,3.974756794589936e+19
2021-08-01,4.679910246971593e+19
2021-08-16,4.250256448614098e+19
2021-09-01,4.283615793730214e+19
2021-09-16,3.6265935366990713e+19
2021-10-01,4.524253344678614e+19
2021-10-16,5.019821319399631e+19
2021-11-01,5.151956010298916e+19
2021-11-16,4.7295045629606126e+19
2021-12-01,4.694645669697783e+19
2021-12-16,5.289865605479603e+19
2022-01-01,4.534985951879466e+19
2022-01-16,5.115221971280538e+19
2022-02-01,5.335457201352798e+19
2022-02-16,5.6029538660638835e+19
2022-03-01,5.4544398634522935e+19
2022-03-16,6.0609667686562636e+19
2022-04-01,5.951389039499292e+19
2022-04-16,5.835981903032603e+19
2022-05-01,5.280457351215548e+19
2022-05-16,4.404518771060922e+19
2022-06-01,5.086462402714433e+19
2022-06-16,4.639864439135866e+19
2022-07-01,3.931726560037075e+19
2022-07-16,4.9688820284257575e+19
2022-08-01,4.4992609652753605e+19
2022-08-16,3.741455012331368e+19
2022-09-01,4.4556544957605675e+19
2022-09-16,4.022811519088225e+19
2022-10-01,4.161237720226138e+19
2022-10-16,4.849534465538743e+19
2022-11-01,5.1672043782202294e+19
2022-11-16,5.9184240188317565e+19
2022-12-01,6.442427907331967e+19
2022-12-16,6.461584694528054e+19
2023-01-01,6.209486410670966e+19
2023-01-16,6.154074107890337e+19
2023-02-01,6.525448407838764e+19
2023-02-16,6.656662860998688e+19
2023-03-01,6.272818124927661e+19
2023-03-16,5.601332755121656e+19
2023-04-01,6.594023446831218e+19
2023-04-16,6.457599632400823e+19
2023-05-01,5.838004972123139e+19
2023-05-16,5.621247436949958e+19
2023-06-01,5.366559991413617e+19
2023-06-16,4.507785984561144e+19
2023-07-01,4.1049869658896925e+19
2023-07-16,3.94267964934214e+19
2023-08-01,3.901976331539401e+19
2023-08-16,4.166138248606428e+19
2023-09-01,4.471548733286698e+19
2023-09-16,4.1801236561160585e+19
2023-10-01,5.297981708976165e+19
2023-10-16,5.647778730547809e+19
2023-11-01,4.8327345834752524e+19
2023-11-16,5.100221702872647e+19
2023-12-01,5.659078483404224e+19
2023-12-16,5.298451122331882e+19
