date,mean_concentration
2019-01-01,4.539717414425315e+19
2019-01-16,4.972468977122567e+19
2019-02-01,4.55157207179603e+19
2019-02-16,3.958185890955656e+19
2019-03-01,4.291314731245288e+19
2019-03-16,4.79548229330077e+19
2019-04-01,5.494168752237765e+19
2019-04-16,5.5283594866528215e+19
2019-05-01,5.6313074335890964e+19
2019-05-16,5.843787144846909e+19
2019-06-01,6.025069325694538e+19
2019-06-16,5.9675398211664716e+19
2019-07-01,5.527174015505566e+19
2019-07-16,4.3752933141417206e+19
2019-08-01,4.177527476383427e+19
2019-08-16,3.890365834596222e+19
2019-09-01,3.744661916615232e+19
2019-09-16,3.5732617700830212e+19
2019-10-01,4.167926605909496e+19
2019-10-16,4.0454342120185676e+19
2019-11-01,4.430635201967671e+19
2019-11-16,4.459390582157772e+19
2019-12-01,4.279864342443138e+19
2019-12-16,4.556554589986334e+19
2020-01-01,4.159126246625971e+19
2020-01-16,3.816146103712263e+19
2020-02-01,3.954097608522852e+19
2020-02-16,4.148660595427522e+19
2020-03-01,3.9852543069491945e+19
2020-03-16,4.144747299005872e+19
2020-04-01,4.229723414257778e+19
2020-04-16,5.0573434318892876e+19
2020-05-01,4.912877334117901e+19
2020-05-16,5.340096304552944e+19
2020-06-01,4.84399657573533e+19
2020-06-16,4.667561771991795e+19
2020-07-01,4.450196549178554e+19
2020-07-16,4.207761822951283e+19
2020-08-01,4.009705951681166e+19
2020-08-16,3.855095121335311e+19
2020-09-01,4.009620886073084e+19
2020-09-16,4.108487172213376e+19
2020-10-01,4.4506221970539676e+19
2020-10-16,4.486355691254292e+19
2020-11-01,4.371986222926812e+19
2020-11-16,4.66274707814665e+19
2020-12-01,4.7835141214999044e+19
2020-12-16,4.309536721592994e+19
2021-01-01,4.400228031953622e+19
2021-01-16,4.179038877430735e+19
2021-02-01,4.378928464930065e+19
2021-02-16,4.547054617625752e+19
2021-03-01,4.538256204250587e+19
2021-03-16,4.769538679770775e+19
2021-04-01,5.056631298014945e+19
2021-04-16,5.6297543212047794e+19
2021-05-01,6.159359074975091e+19
2021-05-16,5.332455209305166e+19
2021-06-01,5.348843259922536e+19
2021-06-16,4.815625461180837e+19
2021-07-01,5.228325096512998e+19
2021-07-16,4.984749135513966e+19
2021-08-01,4.526833198308252e+19
2021-08-16,4.307259365272159e+19
2021-09-01,4.435969327663839e+19
2021-09-16,4.216722087022965e+19
2021-10-01,4.593719754125753e+19
2021-10-16,4.626140072527402e+19
2021-11-01,4.453077662788816e+19
2021-11-16,4.567471201926913e+19
2021-12-01,4.6448202278709486e+19
2021-12-16,4.592398224851957e+19
2022-01-01,4.147955550891381e+19
2022-01-16,3.816204231395781e+19
2022-02-01,4.0753484961785405e+19
2022-02-16,4.671249114159975e+19
2022-03-01,4.478755374356217e+19
2022-03-16,4.536806300690117e+19
2022-04-01,5.3171066651208516e+19
2022-04-16,5.099032818448063e+19
2022-05-01,5.982334066484919e+19
2022-05-16,5.290000457179811e+19
2022-06-01,5.826645857500517e+19
2022-06-16,5.523323100445017e+19
2022-07-01,4.793768505105157e+19
2022-07-16,4.480151011954558e+19
2022-08-01,4.191006854011509e+19
2022-08-16,4.312233661077907e+19
2022-09-01,4.296238518162517e+19
2022-09-16,4.183030704687627e+19
2022-10-01,4.0968397161234145e+19
2022-10-16,4.530892118489511e+19
2022-11-01,4.62027522246312e+19
2022-11-16,5.235903308543117e+19
2022-12-01,5.133426713167619e+19
2022-12-16,5.323200501927757e+19
2023-01-01,7.2812837680346915e+19
2023-01-16,4.6745085579743535e+19
2023-02-01,5.024871994041049e+19
2023-02-16,5.1579495578675405e+19
2023-03-01,4.739746510757628e+19
2023-03-16,5.296587674475599e+19
2023-04-01,5.308670697888887e+19
2023-04-16,5.941961795849499e+19
2023-05-01,6.137907403764136e+19
2023-05-16,5.9225540078971085e+19
2023-06-01,6.068099455421833e+19
2023-06-16,5.210360768285369e+19
2023-07-01,5.1513286094770954e+19
2023-07-16,4.55406993177729e+19
2023-08-01,4.7394391667742286e+19
2023-08-16,4.580652955648518e+19
2023-09-01,4.69224530070985e+19
2023-09-16,4.348321258980375e+19
2023-10-01,4.8322554725407965e+19
2023-10-16,4.740173044148555e+19
2023-11-01,4.661416289275796e+19
2023-11-16,4.7736359574390145e+19
2023-12-01,4.809453396605329e+19
2023-12-16,4.584615426501394e+19
