date,mean_concentration
2019-01-01,9.635990116791227e+19
2019-01-16,1.0549256049317698e+20
2019-02-01,7.873116317205461e+19
2019-02-16,6.183801010403245e+19
2019-03-01,7.178996594757538e+19
2019-03-16,7.24158295563934e+19
2019-04-01,6.263979146410634e+19
2019-04-16,6.99926873595807e+19
2019-05-01,7.356648786828935e+19
2019-05-16,7.069890531256581e+19
2019-06-01,7.532770448814334e+19
2019-06-16,6.486543066870316e+19
2019-07-01,
2019-07-16,5.151043496166166e+19
2019-08-01,3.6018887188128924e+19
2019-08-16,4.624814973989048e+19
2019-09-01,3.354580193197258e+19
2019-09-16,3.5706636317924323e+19
2019-10-01,4.954773784772377e+19
2019-10-16,5.117004882687283e+19
2019-11-01,8.438465979681489e+19
2019-11-16,9.786329079031316e+19
2019-12-01,8.432880569352695e+19
2019-12-16,9.648207085956653e+19
2020-01-01,1.0869525408111342e+20
2020-01-16,6.241397904134246e+19
2020-02-01,7.500192022603873e+19
2020-02-16,7.966721304377424e+19
2020-03-01,6.5895314045032145e+19
2020-03-16,4.9012234357789426e+19
2020-04-01,4.749943911133996e+19
2020-04-16,4.898754840127276e+19
2020-05-01,5.50878234862774e+19
2020-05-16,6.035450942341813e+19
2020-06-01,5.799061430113326e+19
2020-06-16,4.1917720592464675e+19
2020-07-01,4.491826402331524e+19
2020-07-16,3.92506697475724e+19
2020-08-01,3.899376701361575e+19
2020-08-16,3.665506546517492e+19
2020-09-01,4.110847622380406e+19
2020-09-16,4.643373173039967e+19
2020-10-01,5.513440893229666e+19
2020-10-16,7.376199574273579e+19
2020-11-01,9.798597776216002e+19
2020-11-16,8.528643125144902e+19
2020-12-01,1.4996512519184377e+20
2020-12-16,1.4263477018069928e+20
2021-01-01,8.580418550482498e+19
2021-01-16,1.0060279347596766e+20
2021-02-01,1.0113660945179972e+20
2021-02-16,8.359669158432296e+19
2021-03-01,7.25642088108535e+19
2021-03-16,7.811641147283376e+19
2021-04-01,7.581049004087247e+19
2021-04-16,7.403562664849437e+19
2021-05-01,5.880520409690419e+19
2021-05-16,5.445317295886099e+19
2021-06-01,6.893719891003629e+19
2021-06-16,4.743235230245779e+19
2021-07-01,4.97851423654922e+19
2021-07-16,4.372627413076183e+19
2021-08-01,5.261793688421423e+19
2021-08-16,5.1963941859057345e+19
2021-09-01,4.2873680407056196e+19
2021-09-16,4.75684508526858e+19
2021-10-01,5.553035126718812e+19
2021-10-16,6.673027886164322e+19
2021-11-01,1.036852051562982e+20
2021-11-16,1.0390576021700772e+20
2021-12-01,8.549993368299921e+19
2021-12-16,1.0107887055017994e+20
2022-01-01,8.069742534088452e+19
2022-01-16,8.054180756388487e+19
2022-02-01,7.908404380374473e+19
2022-02-16,5.7285730634053e+19
2022-03-01,9.426620732921158e+19
2022-03-16,7.577973972296265e+19
2022-04-01,6.047105428463717e+19
2022-04-16,6.396001276615805e+19
2022-05-01,6.195705853124447e+19
2022-05-16,6.530485019091646e+19
2022-06-01,6.840723688934598e+19
2022-06-16,5.960833860161822e+19
2022-07-01,5.081539594043774e+19
2022-07-16,3.8536837099357725e+19
2022-08-01,4.793920560082143e+19
2022-08-16,4.321145448438333e+19
2022-09-01,4.8606474549720015e+19
2022-09-16,4.5104474320006185e+19
2022-10-01,4.232698741367737e+19
2022-10-16,7.853434130550284e+19
2022-11-01,8.880202733616482e+19
2022-11-16,1.2989272933857958e+20
2022-12-01,9.932076795124505e+19
2022-12-16,1.07130609081118e+20
2023-01-01,1.6324646443874995e+20
2023-01-16,7.833999948606816e+19
2023-02-01,9.340800618369894e+19
2023-02-16,8.153269142225053e+19
2023-03-01,9.73360636340506e+19
2023-03-16,7.036991567383839e+19
2023-04-01,7.115192886346097e+19
2023-04-16,6.793213757412422e+19
2023-05-01,7.334621807931095e+19
2023-05-16,7.0534967645164175e+19
2023-06-01,8.814262116630594e+19
2023-06-16,6.77263589160298e+19
2023-07-01,4.560833112010062e+19
2023-07-16,5.550030910816232e+19
2023-08-01,4.463812965087239e+19
2023-08-16,4.554399339460385e+19
2023-09-01,5.529420143490047e+19
2023-09-16,5.479885476967087e+19
2023-10-01,5.973766643555093e+19
2023-10-16,8.00824660563228e+19
2023-11-01,8.789019255556642e+19
2023-11-16,8.38285036865445e+19
2023-12-01,7.335034853586667e+19
2023-12-16,1.0293484759669031e+20
