date,mean_concentration
2019-01-01,3.5759197227101483e+19
2019-01-16,3.3618930538287383e+19
2019-02-01,3.3336155506827637e+19
2019-02-16,3.907733460731257e+19
2019-03-01,4.0189463910332326e+19
2019-03-16,4.391586921761332e+19
2019-04-01,4.614986065975086e+19
2019-04-16,4.623198917510027e+19
2019-05-01,4.839605265976101e+19
2019-05-16,4.958538063645574e+19
2019-06-01,5.087094265691251e+19
2019-06-16,3.939235453214813e+19
2019-07-01,4.012104754149046e+19
2019-07-16,3.750649120967544e+19
2019-08-01,3.6295546081910882e+19
2019-08-16,4.092038715611012e+19
2019-09-01,3.5800201541602247e+19
2019-09-16,3.1824008022394536e+19
2019-10-01,3.6046924316151013e+19
2019-10-16,2.9991995004918333e+19
2019-11-01,3.1687659509918142e+19
2019-11-16,2.745293628581216e+19
2019-12-01,2.806303017763207e+19
2019-12-16,3.06880524495374e+19
2020-01-01,3.135157228131714e+19
2020-01-16,3.3090072077648703e+19
2020-02-01,3.3282757995985977e+19
2020-02-16,3.35171480301061e+19
2020-03-01,3.4717102167431373e+19
2020-03-16,3.944213379082298e+19
2020-04-01,3.707028001840284e+19
2020-04-16,3.855597653121328e+19
2020-05-01,3.924900759851439e+19
2020-05-16,4.1144302361903235e+19
2020-06-01,4.156589980496181e+19
2020-06-16,3.4894593527889502e+19
2020-07-01,3.8088306845152395e+19
2020-07-16,3.780933729214363e+19
2020-08-01,3.5952455483948896e+19
2020-08-16,3.5859394380459127e+19
2020-09-01,3.4138553288873652e+19
2020-09-16,3.3240333936242565e+19
2020-10-01,2.9065933604775186e+19
2020-10-16,3.4050634029280104e+19
2020-11-01,3.6321828924071223e+19
2020-11-16,3.422257927196295e+19
2020-12-01,3.602453369914201e+19
2020-12-16,4.033531847836913e+19
2021-01-01,3.2956736542224785e+19
2021-01-16,3.533007686922091e+19
2021-02-01,3.826475571949522e+19
2021-02-16,4.319901377015805e+19
2021-03-01,4.9986088157517046e+19
2021-03-16,5.29137484923032e+19
2021-04-01,4.7369741873752244e+19
2021-04-16,4.611755175483068e+19
2021-05-01,4.247619556799359e+19
2021-05-16,4.156041512968643e+19
2021-06-01,4.3136859112429036e+19
2021-06-16,4.173402872523944e+19
2021-07-01,4.565555893749616e+19
2021-07-16,3.786180989513356e+19
2021-08-01,4.13000562336272e+19
2021-08-16,3.974623774857874e+19
2021-09-01,3.3814870181644493e+19
2021-09-16,3.890877194639862e+19
2021-10-01,3.511043674356007e+19
2021-10-16,3.6155756023179457e+19
2021-11-01,3.390072011269882e+19
2021-11-16,2.814716490506217e+19
2021-12-01,3.1430156052212232e+19
2021-12-16,3.708845197201284e+19
2022-01-01,3.2584267823568663e+19
2022-01-16,3.698106690267335e+19
2022-02-01,3.314094734887217e+19
2022-02-16,3.4360647123617006e+19
2022-03-01,3.904288562071547e+19
2022-03-16,4.962363251466581e+19
2022-04-01,4.027197685547798e+19
2022-04-16,4.431377010853086e+19
2022-05-01,4.1898241458768265e+19
2022-05-16,4.619880100645668e+19
2022-06-01,4.695573203213801e+19
2022-06-16,4.033054001650306e+19
2022-07-01,4.060250584352048e+19
2022-07-16,3.768690089245999e+19
2022-08-01,3.5186554021795467e+19
2022-08-16,3.69121545732155e+19
2022-09-01,3.820044016355964e+19
2022-09-16,3.3445430633609015e+19
2022-10-01,3.273619630571501e+19
2022-10-16,3.5899736748265857e+19
2022-11-01,3.306426416378822e+19
2022-11-16,3.845949845248398e+19
2022-12-01,3.638512434505648e+19
2022-12-16,4.110615931741827e+19
2023-01-01,4.111788377463626e+19
2023-01-16,3.717964154571111e+19
2023-02-01,4.6730392594569404e+19
2023-02-16,4.6454948199901454e+19
2023-03-01,4.5521038258596454e+19
2023-03-16,4.845078726548661e+19
2023-04-01,4.700116011938767e+19
2023-04-16,5.2944836759179305e+19
2023-05-01,5.116853637285924e+19
2023-05-16,5.264487667093987e+19
2023-06-01,6.012350668207419e+19
2023-06-16,5.167063886971181e+19
2023-07-01,4.510948959952895e+19
2023-07-16,3.781596844110105e+19
2023-08-01,4.033052892362524e+19
2023-08-16,3.997220724464323e+19
2023-09-01,4.034585916522876e+19
2023-09-16,3.809753821249823e+19
2023-10-01,3.841945158630497e+19
2023-10-16,3.6867350955475395e+19
2023-11-01,3.556384977370035e+19
2023-11-16,3.7123516546067505e+19
2023-12-01,3.5466886873330524e+19
2023-12-16,3.503011722435225e+19
