date,mean_concentration
2019-01-01,6.729707926809725e+19
2019-01-16,6.170282888808909e+19
2019-02-01,5.882999902547946e+19
2019-02-16,6.135331584549293e+19
2019-03-01,5.800702827214032e+19
2019-03-16,6.78968971547132e+19
2019-04-01,5.672560485859044e+19
2019-04-16,5.9789650712416535e+19
2019-05-01,4.9147861911902814e+19
2019-05-16,5.330314153551503e+19
2019-06-01,4.5359085860487954e+19
2019-06-16,4.881930221737709e+19
2019-07-01,4.1598698274470306e+19
2019-07-16,4.479108656097315e+19
2019-08-01,3.4410688704650932e+19
2019-08-16,4.002145459467346e+19
2019-09-01,3.750766152803854e+19
2019-09-16,3.917212045700374e+19
2019-10-01,4.802464582462395e+19
2019-10-16,4.783964857100334e+19
2019-11-01,4.7908622508306055e+19
2019-11-16,5.416168082680785e+19
2019-12-01,6.036765775446747e+19
2019-12-16,5.63832782786253e+19
2020-01-01,5.190881280371497e+19
2020-01-16,5.841068266846083e+19
2020-02-01,5.715207729028425e+19
2020-02-16,5.975801146857705e+19
2020-03-01,4.768921840250234e+19
2020-03-16,5.317481210775097e+19
2020-04-01,4.7437622011835875e+19
2020-04-16,4.4957232811168874e+19
2020-05-01,4.3101174423573905e+19
2020-05-16,4.425299799865324e+19
2020-06-01,4.49695184807697e+19
2020-06-16,4.186320859441912e+19
2020-07-01,3.980035613232799e+19
2020-07-16,3.905118622315827e+19
2020-08-01,4.240612626386185e+19
2020-08-16,3.0637507131778757e+19
2020-09-01,4.288680407977315e+19
2020-09-16,3.936898020106899e+19
2020-10-01,5.485526959406578e+19
2020-10-16,5.739385920678858e+19
2020-11-01,5.908141955526566e+19
2020-11-16,5.73621458552756e+19
2020-12-01,6.492758644662758e+19
2020-12-16,6.301629411991727e+19
2021-01-01,6.226710537690531e+19
2021-01-16,6.683264105219431e+19
2021-02-01,6.7905664457845285e+19
2021-02-16,6.287021771637453e+19
2021-03-01,6.567800434719393e+19
2021-03-16,6.200289698295135e+19
2021-04-01,5.261493492016629e+19
2021-04-16,5.380128762557169e+19
2021-05-01,5.0803448077165855e+19
2021-05-16,4.507981044734941e+19
2021-06-01,4.757266059023128e+19
2021-06-16,4.346587671754149e+19
2021-07-01,4.471008463176809e+19
2021-07-16,4.432481948834129e+19
2021-08-01,3.942488748279674e+19
2021-08-16,4.104875838576894e+19
2021-09-01,4.1715669279968354e+19
2021-09-16,4.0698028575885574e+19
2021-10-01,5.487852721023126e+19
2021-10-16,5.342205799418087e+19
2021-11-01,5.3591581810389836e+19
2021-11-16,5.379395095072053e+19
2021-12-01,5.538048867613776e+19
2021-12-16,6.298822174509482e+19
2022-01-01,5.71256254218216e+19
2022-01-16,6.318346800270454e+19
2022-02-01,6.360118239050319e+19
2022-02-16,6.492014317185968e+19
2022-03-01,6.306676234791941e+19
2022-03-16,5.511461638005648e+19
2022-04-01,5.083767404294322e+19
2022-04-16,5.35674463456624e+19
2022-05-01,4.535903019300303e+19
2022-05-16,3.8358172853485494e+19
2022-06-01,4.3550027158598345e+19
2022-06-16,4.606413614956198e+19
2022-07-01,3.3603412044595573e+19
2022-07-16,4.083117346769474e+19
2022-08-01,3.915585683015866e+19
2022-08-16,3.946231769476077e+19
2022-09-01,4.7649531995393e+19
2022-09-16,4.187195394844453e+19
2022-10-01,4.771475867724151e+19
2022-10-16,5.7251137183544795e+19
2022-11-01,6.3385325570775835e+19
2022-11-16,7.029875541107006e+19
2022-12-01,7.259699767995628e+19
2022-12-16,7.723960641371713e+19
2023-01-01,6.785939799284244e+19
2023-01-16,7.418150559545197e+19
2023-02-01,7.164052970281115e+19
2023-02-16,7.269070562689561e+19
2023-03-01,6.300415835979257e+19
2023-03-16,5.8202933197386195e+19
2023-04-01,6.025590572655388e+19
2023-04-16,6.345079341031297e+19
2023-05-01,5.6618026459994825e+19
2023-05-16,4.662124920451922e+19
2023-06-01,4.832989261562605e+19
2023-06-16,4.710809022857031e+19
2023-07-01,4.811818122586311e+19
2023-07-16,4.351977939784247e+19
2023-08-01,3.6332785434628096e+19
2023-08-16,4.08292018339447e+19
2023-09-01,4.625754576236664e+19
2023-09-16,4.936805567197119e+19
2023-10-01,5.654108763483906e+19
2023-10-16,6.7178580967932e+19
2023-11-01,5.955202292843527e+19
2023-11-16,5.279010966373621e+19
2023-12-01,6.167424564099844e+19
2023-12-16,6.625245541421861e+19
