date,mean_concentration
2019-01-01,4.0926485776144785e+19
2019-01-16,4.630198346044888e+19
2019-02-01,4.521639369927569e+19
2019-02-16,3.685869011975544e+19
2019-03-01,4.336560121464876e+19
2019-03-16,4.7721472575407235e+19
2019-04-01,4.723852299572606e+19
2019-04-16,4.955770786447474e+19
2019-05-01,4.981546468150175e+19
2019-05-16,4.494512090622883e+19
2019-06-01,4.883461304035388e+19
2019-06-16,4.530445989635455e+19
2019-07-01,4.406517211825109e+19
2019-07-16,4.2540169877823e+19
2019-08-01,4.089165056083777e+19
2019-08-16,3.865537857004604e+19
2019-09-01,3.775076415010966e+19
2019-09-16,3.804750346633505e+19
2019-10-01,4.092539534993337e+19
2019-10-16,4.3421445271097205e+19
2019-11-01,3.994632192455638e+19
2019-11-16,4.1226997653931336e+19
2019-12-01,4.1798801267457655e+19
2019-12-16,4.521739903205255e+19
2020-01-01,4.156097754024006e+19
2020-01-16,4.350974085834443e+19
2020-02-01,3.947052338543998e+19
2020-02-16,4.098232664203383e+19
2020-03-01,3.831803315188189e+19
2020-03-16,4.236420147078165e+19
2020-04-01,4.3420753473470456e+19
2020-04-16,4.077110743447563e+19
2020-05-01,4.152720669827287e+19
2020-05-16,4.113170937123586e+19
2020-06-01,4.9812474975842394e+19
2020-06-16,4.160807673519255e+19
2020-07-01,4.397775787018584e+19
2020-07-16,3.78806271536501e+19
2020-08-01,4.031191706325464e+19
2020-08-16,3.690574342527521e+19
2020-09-01,3.776311032950533e+19
2020-09-16,3.7264654034241085e+19
2020-10-01,4.308900053604533e+19
2020-10-16,4.241367293914163e+19
2020-11-01,4.378059630121475e+19
2020-11-16,4.202058464250281e+19
2020-12-01,4.098209779149755e+19
2020-12-16,4.502825160689089e+19
2021-01-01,4.110409354181179e+19
2021-01-16,4.585686664723238e+19
2021-02-01,4.467903808350102e+19
2021-02-16,4.349370734410994e+19
2021-03-01,4.262447070581508e+19
2021-03-16,4.865486372987436e+19
2021-04-01,5.0412258361095905e+19
2021-04-16,4.816248091084742e+19
2021-05-01,4.277348249087172e+19
2021-05-16,4.481144226273006e+19
2021-06-01,4.297854073472961e+19
2021-06-16,4.577471375433111e+19
2021-07-01,4.39988541971721e+19
2021-07-16,4.181266232576804e+19
2021-08-01,3.943196649924737e+19
2021-08-16,4.425124488555916e+19
2021-09-01,4.28260078841005e+19
2021-09-16,4.075887968322326e+19
2021-10-01,4.166353416781582e+19
2021-10-16,4.314024184126027e+19
2021-11-01,4.606126180905396e+19
2021-11-16,3.868626577249593e+19
2021-12-01,4.891041649812537e+19
2021-12-16,4.417038125751591e+19
2022-01-01,3.706348168103685e+19
2022-01-16,4.1513969988724e+19
2022-02-01,3.891846523972632e+19
2022-02-16,4.079218137128705e+19
2022-03-01,4.468753785891308e+19
2022-03-16,4.294610530586161e+19
2022-04-01,4.348919427906126e+19
2022-04-16,4.410168026749513e+19
2022-05-01,4.1059107231274885e+19
2022-05-16,3.827021740480274e+19
2022-06-01,4.295341625229419e+19
2022-06-16,4.580525259180193e+19
2022-07-01,4.306110381698292e+19
2022-07-16,3.718378753827503e+19
2022-08-01,4.137489251253358e+19
2022-08-16,3.844107015421305e+19
2022-09-01,4.049689887986866e+19
2022-09-16,3.894436633426619e+19
2022-10-01,4.118764282736269e+19
2022-10-16,4.429195099074031e+19
2022-11-01,4.640400957928313e+19
2022-11-16,5.101710309725271e+19
2022-12-01,5.7117677850011116e+19
2022-12-16,5.013594442017911e+19
2023-01-01,4.6764241071860744e+19
2023-01-16,5.217861708744348e+19
2023-02-01,4.766504632319714e+19
2023-02-16,4.53026270895236e+19
2023-03-01,4.874836814855787e+19
2023-03-16,4.596872837399722e+19
2023-04-01,4.561103938747804e+19
2023-04-16,5.276539528568796e+19
2023-05-01,4.943114405222489e+19
2023-05-16,4.431780022662694e+19
2023-06-01,5.0020121517656154e+19
2023-06-16,5.0235167882160095e+19
2023-07-01,4.465441886022319e+19
2023-07-16,4.465894653482954e+19
2023-08-01,4.0099138338295775e+19
2023-08-16,4.244499990265635e+19
2023-09-01,4.211620083500888e+19
2023-09-16,5.557271069213685e+19
2023-10-01,4.1800215777461625e+19
2023-10-16,4.884236151591317e+19
2023-11-01,4.6862717545083806e+19
2023-11-16,4.981063717526589e+19
2023-12-01,4.179133004591058e+19
2023-12-16,6.0330611907132015e+19
