date,mean_concentration
2019-01-01,5.69560589722501e+19
2019-01-16,5.70726796986636e+19
2019-02-01,5.5963123549025845e+19
2019-02-16,5.645491195574873e+19
2019-03-01,5.6678539358558904e+19
2019-03-16,6.3163909420659876e+19
2019-04-01,6.151606180811565e+19
2019-04-16,6.0763531791167455e+19
2019-05-01,5.782290470940923e+19
2019-05-16,5.777131638554045e+19
2019-06-01,5.365963730465058e+19
2019-06-16,5.3903729403380335e+19
2019-07-01,4.126502061771575e+19
2019-07-16,4.592580201635068e+19
2019-08-01,3.959177780602425e+19
2019-08-16,4.209772492283127e+19
2019-09-01,3.851550668781635e+19
2019-09-16,4.03859921975427e+19
2019-10-01,4.470636673636898e+19
2019-10-16,4.2461637117068345e+19
2019-11-01,4.297106958782351e+19
2019-11-16,4.892410079138435e+19
2019-12-01,4.92341825390506e+19
2019-12-16,4.410891311183719e+19
2020-01-01,4.690143483908093e+19
2020-01-16,4.997063056010372e+19
2020-02-01,4.9083278141221814e+19
2020-02-16,5.414976593365922e+19
2020-03-01,4.784326576316604e+19
2020-03-16,5.2837114241600004e+19
2020-04-01,4.999577255149978e+19
2020-04-16,4.92481478729286e+19
2020-05-01,4.995836898279472e+19
2020-05-16,5.127081039609918e+19
2020-06-01,5.62926681789308e+19
2020-06-16,4.55438176316066e+19
2020-07-01,4.161762052092069e+19
2020-07-16,4.118422881673844e+19
2020-08-01,4.151095380345985e+19
2020-08-16,3.5980409739851657e+19
2020-09-01,4.277684740662562e+19
2020-09-16,4.245658217555787e+19
2020-10-01,5.171768689586206e+19
2020-10-16,5.615575825720932e+19
2020-11-01,5.086010505962636e+19
2020-11-16,5.289045513505126e+19
2020-12-01,6.0755222719176655e+19
2020-12-16,5.593592710419559e+19
2021-01-01,5.460984618257749e+19
2021-01-16,6.033871720883994e+19
2021-02-01,6.218338382049224e+19
2021-02-16,6.185494927906764e+19
2021-03-01,6.634700296435516e+19
2021-03-16,6.47453938947215e+19
2021-04-01,6.376842365773217e+19
2021-04-16,5.879078371847625e+19
2021-05-01,5.6469361129683665e+19
2021-05-16,5.43062962146688e+19
2021-06-01,5.299621341368535e+19
2021-06-16,4.843204923445583e+19
2021-07-01,4.80435651581439e+19
2021-07-16,4.386595729621471e+19
2021-08-01,4.500476253772987e+19
2021-08-16,4.395440542672509e+19
2021-09-01,4.162576920264684e+19
2021-09-16,4.594471012231963e+19
2021-10-01,5.183094525410362e+19
2021-10-16,5.351277137011298e+19
2021-11-01,5.165329498326726e+19
2021-11-16,5.1250297143762e+19
2021-12-01,5.1548247676576145e+19
2021-12-16,5.227383362981777e+19
2022-01-01,5.046308106141959e+19
2022-01-16,5.7246076848736805e+19
2022-02-01,6.19359730411971e+19
2022-02-16,6.175210744565551e+19
2022-03-01,5.746984083158332e+19
2022-03-16,6.452794531215936e+19
2022-04-01,6.217549493176654e+19
2022-04-16,5.791778421473556e+19
2022-05-01,5.348094996947825e+19
2022-05-16,4.812084484319464e+19
2022-06-01,5.1730426325146345e+19
2022-06-16,5.5338771827117195e+19
2022-07-01,4.370523433270237e+19
2022-07-16,3.985219683593107e+19
2022-08-01,4.343098458703648e+19
2022-08-16,4.418694652576644e+19
2022-09-01,5.045813467433416e+19
2022-09-16,4.653093662999376e+19
2022-10-01,5.26591382979769e+19
2022-10-16,5.4904638519916675e+19
2022-11-01,5.674566579515069e+19
2022-11-16,6.03490058565057e+19
2022-12-01,6.210525102346283e+19
2022-12-16,7.0081968798256e+19
2023-01-01,5.93184017887178e+19
2023-01-16,6.477133422232055e+19
2023-02-01,6.300432332071249e+19
2023-02-16,7.18918039708164e+19
2023-03-01,5.929825121694668e+19
2023-03-16,6.910100774265359e+19
2023-04-01,6.542782128694013e+19
2023-04-16,6.6661428242720694e+19
2023-05-01,6.392974575703499e+19
2023-05-16,5.384329595313165e+19
2023-06-01,5.9361588836469875e+19
2023-06-16,5.547124861021659e+19
2023-07-01,5.692888433279533e+19
2023-07-16,4.513960178938175e+19
2023-08-01,3.932745941415849e+19
2023-08-16,4.448591718156725e+19
2023-09-01,5.250785608093241e+19
2023-09-16,7.954052949662202e+19
2023-10-01,5.900539385641755e+19
2023-10-16,6.149524424415414e+19
2023-11-01,5.714255381776027e+19
2023-11-16,5.334999870225307e+19
2023-12-01,5.757840240484531e+19
2023-12-16,5.909645894628482e+19
