date,mean_concentration
2019-01-01,5.515640377667842e+19
2019-01-16,5.509290486778045e+19
2019-02-01,5.4129213198776295e+19
2019-02-16,4.599326851317274e+19
2019-03-01,5.005056346633546e+19
2019-03-16,5.2671938209747436e+19
2019-04-01,6.108515964518438e+19
2019-04-16,6.119130341006239e+19
2019-05-01,6.065375543650637e+19
2019-05-16,6.323408255088676e+19
2019-06-01,6.60224765552683e+19
2019-06-16,6.25234193726294e+19
2019-07-01,4.977827062140487e+19
2019-07-16,4.699882322330997e+19
2019-08-01,4.211413388907868e+19
2019-08-16,3.963275188996291e+19
2019-09-01,3.8918213041401995e+19
2019-09-16,4.948943861518616e+19
2019-10-01,4.41341118657774e+19
2019-10-16,4.156049416675873e+19
2019-11-01,4.661041470474497e+19
2019-11-16,4.575181088431146e+19
2019-12-01,4.5720636423601365e+19
2019-12-16,4.63499312296256e+19
2020-01-01,4.721426241421404e+19
2020-01-16,4.1641456250527334e+19
2020-02-01,4.444903023565768e+19
2020-02-16,4.668900789064178e+19
2020-03-01,4.139300769918163e+19
2020-03-16,4.544430388161461e+19
2020-04-01,4.650650096060547e+19
2020-04-16,5.122592229123019e+19
2020-05-01,5.2788194299239965e+19
2020-05-16,5.957965190234744e+19
2020-06-01,5.313801797062321e+19
2020-06-16,4.313817476226054e+19
2020-07-01,4.168529796274956e+19
2020-07-16,4.503480952923848e+19
2020-08-01,4.3036727178382565e+19
2020-08-16,4.03090496266785e+19
2020-09-01,4.2247987902130086e+19
2020-09-16,3.811730970910807e+19
2020-10-01,4.309452756714139e+19
2020-10-16,4.892091710473939e+19
2020-11-01,4.570298343361271e+19
2020-11-16,5.4663367678891024e+19
2020-12-01,5.875210279575285e+19
2020-12-16,4.828086200133418e+19
2021-01-01,4.932966602166529e+19
2021-01-16,5.363387978147627e+19
2021-02-01,5.08043657823123e+19
2021-02-16,4.988731633325081e+19
2021-03-01,5.22914542840719e+19
2021-03-16,5.447151464795774e+19
2021-04-01,5.709571290777233e+19
2021-04-16,5.805142329428272e+19
2021-05-01,6.6274811588872225e+19
2021-05-16,5.603175067614655e+19
2021-06-01,5.683730247855334e+19
2021-06-16,4.738883037113887e+19
2021-07-01,5.1848871189907145e+19
2021-07-16,5.377242097658446e+19
2021-08-01,4.705072732660839e+19
2021-08-16,4.306068316384085e+19
2021-09-01,4.89052158006241e+19
2021-09-16,4.617955266584604e+19
2021-10-01,4.982170096433697e+19
2021-10-16,5.039346927000035e+19
2021-11-01,5.121063847664372e+19
2021-11-16,5.162463941387426e+19
2021-12-01,5.113715322978102e+19
2021-12-16,4.734174061475531e+19
2022-01-01,5.0579351689915286e+19
2022-01-16,4.264673431376251e+19
2022-02-01,4.664695493681285e+19
2022-02-16,4.981376983308969e+19
2022-03-01,4.978861560891037e+19
2022-03-16,5.306147951230436e+19
2022-04-01,6.032342633128434e+19
2022-04-16,5.537174948514446e+19
2022-05-01,6.176488387636002e+19
2022-05-16,5.817575592167397e+19
2022-06-01,6.3279573415144284e+19
2022-06-16,6.509666500598907e+19
2022-07-01,4.8935472377982304e+19
2022-07-16,4.8015196540124905e+19
2022-08-01,4.518635411837153e+19
2022-08-16,4.382359750857868e+19
2022-09-01,4.375231216240217e+19
2022-09-16,4.496498461630371e+19
2022-10-01,4.808082313023987e+19
2022-10-16,4.854141063710427e+19
2022-11-01,5.1484645053892665e+19
2022-11-16,5.31453010638098e+19
2022-12-01,5.207353736221852e+19
2022-12-16,5.386619323948281e+19
2023-01-01,6.751538145962377e+19
2023-01-16,5.600555823276469e+19
2023-02-01,5.540688449789895e+19
2023-02-16,5.338645559323363e+19
2023-03-01,4.960902312907207e+19
2023-03-16,6.0157520674225545e+19
2023-04-01,5.708371934308634e+19
2023-04-16,6.315007426558551e+19
2023-05-01,6.56780876721044e+19
2023-05-16,6.314315420331028e+19
2023-06-01,6.3585107363923665e+19
2023-06-16,5.709196833075898e+19
2023-07-01,5.125160520011333e+19
2023-07-16,4.623907080019922e+19
2023-08-01,4.73385439169164e+19
2023-08-16,4.659815111808005e+19
2023-09-01,5.219827030600418e+19
2023-09-16,4.525161494673592e+19
2023-10-01,4.989317051322826e+19
2023-10-16,5.118445639263324e+19
2023-11-01,5.0090072865989755e+19
2023-11-16,5.352089279257566e+19
2023-12-01,4.785846681983047e+19
2023-12-16,4.8464962356337385e+19
