date,mean_concentration
2019-01-01,5.437902614167331e+19
2019-01-16,5.398898208157074e+19
2019-02-01,4.864592177380138e+19
2019-02-16,5.3794562875434205e+19
2019-03-01,4.636708149579807e+19
2019-03-16,5.547534597941764e+19
2019-04-01,4.916248234839262e+19
2019-04-16,5.292943465716225e+19
2019-05-01,5.4306990282879566e+19
2019-05-16,5.279893424166986e+19
2019-06-01,5.665460694143691e+19
2019-06-16,5.041043986393935e+19
2019-07-01,4.932200873074538e+19
2019-07-16,4.3957757479216366e+19
2019-08-01,4.0316796964533395e+19
2019-08-16,4.74137425472324e+19
2019-09-01,4.254927288696895e+19
2019-09-16,4.289037954285152e+19
2019-10-01,4.084721467134304e+19
2019-10-16,3.782375629002308e+19
2019-11-01,4.1843886492243124e+19
2019-11-16,3.811092817681452e+19
2019-12-01,3.6949154482193334e+19
2019-12-16,4.254015766718148e+19
2020-01-01,5.201266811682548e+19
2020-01-16,4.50949598024159e+19
2020-02-01,4.177835632845662e+19
2020-02-16,4.351351258510557e+19
2020-03-01,4.856953626443903e+19
2020-03-16,5.032937518549278e+19
2020-04-01,4.191289286801173e+19
2020-04-16,4.076535122801116e+19
2020-05-01,4.534672871635946e+19
2020-05-16,4.399473851489153e+19
2020-06-01,4.476541720788821e+19
2020-06-16,4.461146946427295e+19
2020-07-01,4.21423638403661e+19
2020-07-16,4.3148115129353585e+19
2020-08-01,4.436173588682761e+19
2020-08-16,3.874701511778525e+19
2020-09-01,4.207286799794949e+19
2020-09-16,3.7948978056768315e+19
2020-10-01,3.5679793992018895e+19
2020-10-16,4.103865176719299e+19
2020-11-01,4.401975165757738e+19
2020-11-16,4.405992030472764e+19
2020-12-01,4.510988153893193e+19
2020-12-16,5.038445356718065e+19
2021-01-01,4.560869240811913e+19
2021-01-16,5.904315328958749e+19
2021-02-01,5.883014389698799e+19
2021-02-16,6.3029410596980695e+19
2021-03-01,5.507875840058663e+19
2021-03-16,6.38824955275327e+19
2021-04-01,5.750196444638492e+19
2021-04-16,5.129747937238238e+19
2021-05-01,4.51145105470923e+19
2021-05-16,4.737347429741949e+19
2021-06-01,4.598404325812571e+19
2021-06-16,4.841152449635328e+19
2021-07-01,4.9052096194567045e+19
2021-07-16,4.620434541860322e+19
2021-08-01,4.606398136518724e+19
2021-08-16,4.446847158709195e+19
2021-09-01,4.4389292512591995e+19
2021-09-16,4.477783578262313e+19
2021-10-01,4.290990410945293e+19
2021-10-16,4.4649582281033925e+19
2021-11-01,4.218434330876842e+19
2021-11-16,3.837414215949108e+19
2021-12-01,3.8780781764745535e+19
2021-12-16,4.81544430944929e+19
2022-01-01,4.429801974108043e+19
2022-01-16,5.302490392196905e+19
2022-02-01,4.515330223330348e+19
2022-02-16,5.358995082829838e+19
2022-03-01,6.274847793695108e+19
2022-03-16,5.418430444157695e+19
2022-04-01,4.524249787422315e+19
2022-04-16,5.036247321396467e+19
2022-05-01,5.028313173992227e+19
2022-05-16,5.1361305024390005e+19
2022-06-01,5.534223888755937e+19
2022-06-16,4.414455180246237e+19
2022-07-01,3.6683649596488364e+19
2022-07-16,4.56803350850203e+19
2022-08-01,4.852005192148272e+19
2022-08-16,5.351775908375265e+19
2022-09-01,4.551829649371221e+19
2022-09-16,4.2386678800024535e+19
2022-10-01,4.778244139406705e+19
2022-10-16,4.508615253873495e+19
2022-11-01,4.376993548497872e+19
2022-11-16,5.1080927633756406e+19
2022-12-01,5.241089932041937e+19
2022-12-16,5.778372681739563e+19
2023-01-01,5.951635512166655e+19
2023-01-16,5.556995314881365e+19
2023-02-01,6.82262363751116e+19
2023-02-16,7.00811384067114e+19
2023-03-01,6.936852812766611e+19
2023-03-16,5.499484778175545e+19
2023-04-01,5.987639390968731e+19
2023-04-16,5.93049372963942e+19
2023-05-01,5.712674246677346e+19
2023-05-16,5.6752897227209286e+19
2023-06-01,7.011956872142139e+19
2023-06-16,6.158315427541097e+19
2023-07-01,5.7794986633020236e+19
2023-07-16,5.6883260061231194e+19
2023-08-01,4.850307360420041e+19
2023-08-16,5.241676525329953e+19
2023-09-01,5.432241188151724e+19
2023-09-16,5.4830043922086404e+19
2023-10-01,5.968209558587387e+19
2023-10-16,5.19429657157112e+19
2023-11-01,4.833449679573503e+19
2023-11-16,4.7741495742835745e+19
2023-12-01,4.904450273622576e+19
2023-12-16,4.630156078262845e+19
