date,mean_concentration
2019-01-01,3.8026031842529845e+19
2019-01-16,3.678359493827588e+19
2019-02-01,3.685859930650047e+19
2019-02-16,4.633819386427538e+19
2019-03-01,4.494867972170643e+19
2019-03-16,4.703162423148492e+19
2019-04-01,4.855127230201373e+19
2019-04-16,5.362944053809805e+19
2019-05-01,5.2002073238502834e+19
2019-05-16,5.378574343098192e+19
2019-06-01,5.3160880865075356e+19
2019-06-16,4.226719397909656e+19
2019-07-01,3.764223583904665e+19
2019-07-16,3.838034446524812e+19
2019-08-01,3.365895766009392e+19
2019-08-16,3.621605173413045e+19
2019-09-01,3.4306206533586735e+19
2019-09-16,3.2231604588730905e+19
2019-10-01,3.4053603182968324e+19
2019-10-16,3.5217123443620585e+19
2019-11-01,3.3056038395655692e+19
2019-11-16,2.971173169581218e+19
2019-12-01,3.100163588142551e+19
2019-12-16,3.094683204043032e+19
2020-01-01,3.396026073365415e+19
2020-01-16,3.3603793368308875e+19
2020-02-01,3.5642359646245257e+19
2020-02-16,3.6585441157136617e+19
2020-03-01,4.165199237632411e+19
2020-03-16,4.162219524303383e+19
2020-04-01,3.881417524927213e+19
2020-04-16,4.08637551761103e+19
2020-05-01,4.144410504329481e+19
2020-05-16,4.161917328068781e+19
2020-06-01,4.193406047061389e+19
2020-06-16,3.6664702245084054e+19
2020-07-01,3.518003061641471e+19
2020-07-16,4.13267793858669e+19
2020-08-01,3.5372171682929005e+19
2020-08-16,3.5425354243908927e+19
2020-09-01,3.6493461567061254e+19
2020-09-16,3.3994393136749736e+19
2020-10-01,2.8619618434779857e+19
2020-10-16,3.563881024574247e+19
2020-11-01,3.576991559788604e+19
2020-11-16,3.598760791697686e+19
2020-12-01,3.6285519407621313e+19
2020-12-16,3.824192942337179e+19
2021-01-01,3.654724057290529e+19
2021-01-16,3.834527704305699e+19
2021-02-01,4.146163424126537e+19
2021-02-16,4.7002313267986285e+19
2021-03-01,5.059424839188216e+19
2021-03-16,5.334840528081059e+19
2021-04-01,5.136104845613047e+19
2021-04-16,5.0521594975773925e+19
2021-05-01,4.4313838410427515e+19
2021-05-16,4.247514388666251e+19
2021-06-01,4.1884136026235896e+19
2021-06-16,4.2453035907030155e+19
2021-07-01,4.569062975154237e+19
2021-07-16,4.1897956864547e+19
2021-08-01,3.953795407961276e+19
2021-08-16,3.683063968627889e+19
2021-09-01,3.6681629420779713e+19
2021-09-16,3.709230634648405e+19
2021-10-01,3.642391324506013e+19
2021-10-16,3.509309326003331e+19
2021-11-01,3.3457297972529046e+19
2021-11-16,3.0552404166411575e+19
2021-12-01,3.1311062421937447e+19
2021-12-16,3.590946539737112e+19
2022-01-01,3.2506490631878226e+19
2022-01-16,3.698495385547928e+19
2022-02-01,3.5294875397090185e+19
2022-02-16,3.6307893049877012e+19
2022-03-01,4.111418528816831e+19
2022-03-16,4.970647562579248e+19
2022-04-01,4.263417027847876e+19
2022-04-16,4.756018599579659e+19
2022-05-01,5.1363292636208505e+19
2022-05-16,4.802095726013672e+19
2022-06-01,4.433735196895861e+19
2022-06-16,4.059402468952001e+19
2022-07-01,4.011494489268092e+19
2022-07-16,3.866744227214348e+19
2022-08-01,3.73892777633958e+19
2022-08-16,3.5366178363398746e+19
2022-09-01,3.74026210594244e+19
2022-09-16,3.6388541914776117e+19
2022-10-01,3.750357723981808e+19
2022-10-16,3.745180666092489e+19
2022-11-01,3.5350509601070256e+19
2022-11-16,4.063381828665756e+19
2022-12-01,3.815585628041099e+19
2022-12-16,4.557782252236089e+19
2023-01-01,4.394305296666289e+19
2023-01-16,4.101504298978672e+19
2023-02-01,5.01287299939148e+19
2023-02-16,5.123030741572499e+19
2023-03-01,5.181716185879467e+19
2023-03-16,5.138205622019113e+19
2023-04-01,4.8174629061430714e+19
2023-04-16,5.775215778313652e+19
2023-05-01,5.0208705453167895e+19
2023-05-16,5.36998088428245e+19
2023-06-01,6.418176099964433e+19
2023-06-16,4.849096994370538e+19
2023-07-01,4.5132517421457924e+19
2023-07-16,3.799710094239609e+19
2023-08-01,3.778298000818704e+19
2023-08-16,3.943032917495481e+19
2023-09-01,4.496934100914341e+19
2023-09-16,3.91654761511955e+19
2023-10-01,4.0283806347026506e+19
2023-10-16,3.79856854329862e+19
2023-11-01,3.91585162750598e+19
2023-11-16,3.709170740322158e+19
2023-12-01,3.6035143517221057e+19
2023-12-16,3.513995866665192e+19
