date,mean_concentration
2019-01-01,7.034583214365262e+22
2019-01-16,8.370599434238483e+22
2019-02-01,7.512875876464406e+22
2019-02-16,8.002932683916653e+22
2019-03-01,7.74207104835333e+22
2019-03-16,7.912417793677518e+22
2019-04-01,7.725170195803117e+22
2019-04-16,7.4743347125187055e+22
2019-05-01,7.61505345768949e+22
2019-05-16,7.958848380604808e+22
2019-06-01,7.870108998023056e+22
2019-06-16,7.94895709110896e+22
2019-07-01,7.89962426263581e+22
2019-07-16,7.735760094699724e+22
2019-08-01,7.601008174199833e+22
2019-08-16,7.77294434665873e+22
2019-09-01,7.481688481982521e+22
2019-09-16,7.521352136500258e+22
2019-10-01,7.489615146463756e+22
2019-10-16,7.564893870035145e+22
2019-11-01,7.266221156180927e+22
2019-11-16,7.325229835624601e+22
2019-12-01,7.188302549423227e+22
2019-12-16,
2020-01-01,8.738269418948618e+22
2020-01-16,8.083057764837773e+22
2020-02-01,8.218345594346485e+22
2020-02-16,8.586196500905304e+22
2020-03-01,8.239311771115843e+22
2020-03-16,8.726204340796019e+22
2020-04-01,8.616743282913743e+22
2020-04-16,8.156821291145632e+22
2020-05-01,8.10454944648073e+22
2020-05-16,7.679627920177512e+22
2020-06-01,7.586860986525238e+22
2020-06-16,7.567992441064451e+22
2020-07-01,7.62172989115362e+22
2020-07-16,7.555925121078512e+22
2020-08-01,7.581465111863472e+22
2020-08-16,7.320108071418526e+22
2020-09-01,7.336754694852356e+22
2020-09-16,7.383850016714333e+22
2020-10-01,7.194247919486825e+22
2020-10-16,7.071697482118857e+22
2020-11-01,7.293412093863584e+22
2020-11-16,7.442389545457306e+22
2020-12-01,7.4723512840317965e+22
2020-12-16,7.859728398300016e+22
2021-01-01,
2021-01-16,7.854661721753999e+22
2021-02-01,8.138291512462636e+22
2021-02-16,7.569078880949988e+22
2021-03-01,7.796855909466632e+22
2021-03-16,8.08161461538378e+22
2021-04-01,8.422459139974849e+22
2021-04-16,8.419664390880431e+22
2021-05-01,8.349689615130382e+22
2021-05-16,7.882921167576305e+22
2021-06-01,7.868386420025631e+22
2021-06-16,7.967699971719186e+22
2021-07-01,8.02188010285775e+22
2021-07-16,7.942490757354585e+22
2021-08-01,7.806444818045179e+22
2021-08-16,7.776769580968217e+22
2021-09-01,7.633311213467827e+22
2021-09-16,7.56857919558462e+22
2021-10-01,7.450093086683119e+22
2021-10-16,7.689581987797914e+22
2021-11-01,7.440101727438768e+22
2021-11-16,7.091375074326296e+22
2021-12-01,7.518629159700099e+22
2021-12-16,7.927623521682184e+22
2022-01-01,8.476958117004055e+22
2022-01-16,7.574835359437195e+22
2022-02-01,8.478443156470891e+22
2022-02-16,8.737548716134242e+22
2022-03-01,8.434254663981211e+22
2022-03-16,7.495195133414219e+22
2022-04-01,8.107784020495423e+22
2022-04-16,8.206688432578912e+22
2022-05-01,7.629822733112203e+22
2022-05-16,7.896268115722509e+22
2022-06-01,7.918842892656758e+22
2022-06-16,8.174586051981723e+22
2022-07-01,7.959251725582175e+22
2022-07-16,7.884019361999723e+22
2022-08-01,7.666976736580992e+22
2022-08-16,7.620915174792386e+22
2022-09-01,7.722035539734428e+22
2022-09-16,7.651110589338136e+22
2022-10-01,7.577983729318973e+22
2022-10-16,7.561820908526409e+22
2022-11-01,7.551137387482456e+22
2022-11-16,7.262807895256281e+22
2022-12-01,7.1990982578035145e+22
2022-12-16,7.405904928282638e+22
2023-01-01,7.283104474660145e+22
2023-01-16,7.720134716872368e+22
2023-02-01,7.570640839517754e+22
2023-02-16,7.873749882218922e+22
2023-03-01,7.3240683787817035e+22
2023-03-16,8.32142849937886e+22
2023-04-01,8.432273856504691e+22
2023-04-16,8.636898985890641e+22
2023-05-01,8.29904364997096e+22
2023-05-16,8.14027386880506e+22
2023-06-01,8.083514654298253e+22
2023-06-16,7.774080278362557e+22
2023-07-01,7.856711053786458e+22
2023-07-16,7.669170800441923e+22
2023-08-01,7.70005703123755e+22
2023-08-16,7.758890729709963e+22
2023-09-01,7.729682212043521e+22
2023-09-16,7.626463126761554e+22
2023-10-01,7.434615984918579e+22
2023-10-16,7.436711615802588e+22
2023-11-01,7.604998158266994e+22
2023-11-16,7.698464864570496e+22
2023-12-01,8.082355855897258e+22
2023-12-16,7.734910374258571e+22
