date,mean_concentration
2019-01-01,6.463201447663419e+22
2019-01-16,6.538507289447482e+22
2019-02-01,6.892375784114283e+22
2019-02-16,6.600082802179427e+22
2019-03-01,6.672312500267095e+22
2019-03-16,7.016246373793056e+22
2019-04-01,7.124851623906607e+22
2019-04-16,7.266697528640407e+22
2019-05-01,7.4122667771350716e+22
2019-05-16,7.509718994758546e+22
2019-06-01,7.778610092173769e+22
2019-06-16,7.359386943881829e+22
2019-07-01,7.32185887659474e+22
2019-07-16,7.311629990609801e+22
2019-08-01,7.236582210153735e+22
2019-08-16,7.35281966698258e+22
2019-09-01,7.129041972220731e+22
2019-09-16,7.031057379279615e+22
2019-10-01,7.282779555200425e+22
2019-10-16,6.9643769063555415e+22
2019-11-01,7.090875993668862e+22
2019-11-16,6.864309093883474e+22
2019-12-01,6.559164162233566e+22
2019-12-16,6.624196634345023e+22
2020-01-01,6.762036265986428e+22
2020-01-16,6.6097154597426905e+22
2020-02-01,6.726648664182079e+22
2020-02-16,7.143476498007364e+22
2020-03-01,7.121262870140988e+22
2020-03-16,7.270768119268377e+22
2020-04-01,7.344121069541729e+22
2020-04-16,7.476109800189242e+22
2020-05-01,7.51991362873467e+22
2020-05-16,7.4203092688031835e+22
2020-06-01,7.391533162927078e+22
2020-06-16,7.3485225289644625e+22
2020-07-01,7.332234384100073e+22
2020-07-16,7.395857530391054e+22
2020-08-01,7.357812880935643e+22
2020-08-16,7.328325572362963e+22
2020-09-01,7.281968041172468e+22
2020-09-16,7.211801484912136e+22
2020-10-01,7.22039038427296e+22
2020-10-16,7.198362195868028e+22
2020-11-01,7.204021726578897e+22
2020-11-16,6.858758411976909e+22
2020-12-01,6.5197182335904205e+22
2020-12-16,6.609539646378094e+22
2021-01-01,6.753404448158214e+22
2021-01-16,6.65840192306648e+22
2021-02-01,6.798757058432122e+22
2021-02-16,6.9857957412112565e+22
2021-03-01,6.750334227430015e+22
2021-03-16,7.02151990009076e+22
2021-04-01,7.346775800447271e+22
2021-04-16,7.635572963397951e+22
2021-05-01,7.486859947671838e+22
2021-05-16,7.450174483014089e+22
2021-06-01,7.3922256865444495e+22
2021-06-16,7.412292890381956e+22
2021-07-01,7.62944100643433e+22
2021-07-16,7.533151615294984e+22
2021-08-01,7.578642054128465e+22
2021-08-16,7.56963139298904e+22
2021-09-01,7.498089945006204e+22
2021-09-16,7.64045877382291e+22
2021-10-01,7.437766953570724e+22
2021-10-16,7.425312276990162e+22
2021-11-01,7.105005316347989e+22
2021-11-16,6.9873019161774425e+22
2021-12-01,6.921825408529915e+22
2021-12-16,6.883039319242286e+22
2022-01-01,6.979435740871611e+22
2022-01-16,6.849239512691489e+22
2022-02-01,6.990369113955494e+22
2022-02-16,7.130661471007848e+22
2022-03-01,7.036056903970645e+22
2022-03-16,7.439426563068371e+22
2022-04-01,7.378334831748875e+22
2022-04-16,7.463584901480799e+22
2022-05-01,7.725239187140263e+22
2022-05-16,7.711428317186934e+22
2022-06-01,7.700451117128516e+22
2022-06-16,7.624104182651043e+22
2022-07-01,7.623712354113433e+22
2022-07-16,7.57245060038781e+22
2022-08-01,
2022-08-16,7.608096239981693e+22
2022-09-01,7.519941552701687e+22
2022-09-16,7.537959107073098e+22
2022-10-01,7.334985688997062e+22
2022-10-16,7.455122689048451e+22
2022-11-01,7.2629493780945465e+22
2022-11-16,7.099069141256277e+22
2022-12-01,6.757813422202924e+22
2022-12-16,6.50410525316897e+22
2023-01-01,6.741866500132158e+22
2023-01-16,6.6446611067408895e+22
2023-02-01,6.724764075127995e+22
2023-02-16,6.937873390299187e+22
2023-03-01,7.041413038269799e+22
2023-03-16,7.1652809510310845e+22
2023-04-01,7.413286137874783e+22
2023-04-16,7.692118671245608e+22
2023-05-01,7.54094128906407e+22
2023-05-16,7.73415845911155e+22
2023-06-01,7.660407075790973e+22
2023-06-16,7.579667691790409e+22
2023-07-01,7.574453482100381e+22
2023-07-16,7.476665649505094e+22
2023-08-01,7.476681165293009e+22
2023-08-16,7.4782655709755675e+22
2023-09-01,7.494793569678414e+22
2023-09-16,7.425613184726906e+22
2023-10-01,7.362016567679082e+22
2023-10-16,7.363758819809641e+22
2023-11-01,7.149955528432681e+22
2023-11-16,7.095246777289406e+22
2023-12-01,7.0785165274885694e+22
2023-12-16,6.722761373350989e+22
