date,mean_concentration
2019-01-01,6.341552522718798e+22
2019-01-16,6.44053595601329e+22
2019-02-01,6.792373715956856e+22
2019-02-16,6.509554405065592e+22
2019-03-01,6.631723549293216e+22
2019-03-16,6.998135605463202e+22
2019-04-01,7.153778899465158e+22
2019-04-16,7.173361909084657e+22
2019-05-01,7.2495363400575404e+22
2019-05-16,7.376488457296999e+22
2019-06-01,7.69934776382029e+22
2019-06-16,7.42782055653901e+22
2019-07-01,7.355694889930406e+22
2019-07-16,7.419771085037527e+22
2019-08-01,7.346323295282556e+22
2019-08-16,7.428278887646043e+22
2019-09-01,7.232574300721916e+22
2019-09-16,7.090262228915026e+22
2019-10-01,7.2816654906820405e+22
2019-10-16,7.136598904677212e+22
2019-11-01,7.097338329932118e+22
2019-11-16,6.690266137492807e+22
2019-12-01,6.451252081810452e+22
2019-12-16,7.141170783825644e+22
2020-01-01,6.776433022597582e+22
2020-01-16,6.656427270905448e+22
2020-02-01,7.037250238828721e+22
2020-02-16,7.237792112346185e+22
2020-03-01,7.181012796769734e+22
2020-03-16,7.257834046656747e+22
2020-04-01,7.462029462339966e+22
2020-04-16,7.511139362372098e+22
2020-05-01,7.595294676957462e+22
2020-05-16,7.4951315856272824e+22
2020-06-01,7.487674310199563e+22
2020-06-16,7.448986896232895e+22
2020-07-01,7.332159567028664e+22
2020-07-16,7.297673851692841e+22
2020-08-01,7.351609364505651e+22
2020-08-16,7.3703283167637705e+22
2020-09-01,7.273446242630467e+22
2020-09-16,7.2355698896292115e+22
2020-10-01,7.209814894307425e+22
2020-10-16,7.249966642661484e+22
2020-11-01,7.3020909320928215e+22
2020-11-16,6.988330022535951e+22
2020-12-01,6.827687805115181e+22
2020-12-16,6.547544611007918e+22
2021-01-01,6.533750364248916e+22
2021-01-16,6.615998846662068e+22
2021-02-01,7.510778948045193e+22
2021-02-16,7.136724315995772e+22
2021-03-01,7.056649887732481e+22
2021-03-16,7.32122603767208e+22
2021-04-01,7.3311221990862914e+22
2021-04-16,7.582300668621248e+22
2021-05-01,7.400890013877984e+22
2021-05-16,7.535870557190273e+22
2021-06-01,7.516193250194431e+22
2021-06-16,7.482719221642502e+22
2021-07-01,7.551497035688095e+22
2021-07-16,7.608065762932224e+22
2021-08-01,7.615106746377781e+22
2021-08-16,7.601651247749175e+22
2021-09-01,7.433907892257121e+22
2021-09-16,7.4913657256627394e+22
2021-10-01,7.564522057992799e+22
2021-10-16,7.330547271847964e+22
2021-11-01,7.020735772309156e+22
2021-11-16,7.127027961744396e+22
2021-12-01,7.1190994942084755e+22
2021-12-16,6.8794314886889656e+22
2022-01-01,7.156619352970113e+22
2022-01-16,6.8751722559911395e+22
2022-02-01,7.1578190034070365e+22
2022-02-16,7.353176478751857e+22
2022-03-01,7.421231009422188e+22
2022-03-16,7.696616457115856e+22
2022-04-01,7.5186653337614505e+22
2022-04-16,7.56857564613865e+22
2022-05-01,7.812540837035146e+22
2022-05-16,7.929882574711061e+22
2022-06-01,7.908070905149341e+22
2022-06-16,7.791326081704822e+22
2022-07-01,7.732423435709084e+22
2022-07-16,7.668675535967682e+22
2022-08-01,7.605988078049652e+22
2022-08-16,7.638567016475239e+22
2022-09-01,7.577474043520018e+22
2022-09-16,7.523794010696094e+22
2022-10-01,7.73231230625311e+22
2022-10-16,7.377021717991349e+22
2022-11-01,7.133394742438319e+22
2022-11-16,6.74642540104401e+22
2022-12-01,6.620197256700411e+22
2022-12-16,6.459543471368855e+22
2023-01-01,6.6642463859411245e+22
2023-01-16,6.621657029462933e+22
2023-02-01,6.43255116989757e+22
2023-02-16,6.779565236068249e+22
2023-03-01,7.088079290848374e+22
2023-03-16,7.310973263738903e+22
2023-04-01,7.265729347584857e+22
2023-04-16,7.697341880896775e+22
2023-05-01,7.556237424493998e+22
2023-05-16,7.838581444551883e+22
2023-06-01,7.677189629367254e+22
2023-06-16,7.709471312968094e+22
2023-07-01,7.5181811121997516e+22
2023-07-16,
2023-08-01,7.5385826300572545e+22
2023-08-16,7.59440965737427e+22
2023-09-01,7.617695744577846e+22
2023-09-16,7.603742928807086e+22
2023-10-01,7.416482084861928e+22
2023-10-16,7.243175553485659e+22
2023-11-01,7.2626553842857555e+22
2023-11-16,7.156342148779953e+22
2023-12-01,7.0229042372654334e+22
2023-12-16,6.752920173880012e+22
