date,mean_concentration
2019-01-01,6.297130838617689e+22
2019-01-16,6.492012997084101e+22
2019-02-01,6.597161433427364e+22
2019-02-16,6.584001680568613e+22
2019-03-01,6.833818406712313e+22
2019-03-16,7.127479028568785e+22
2019-04-01,7.550623667651206e+22
2019-04-16,7.349171050270886e+22
2019-05-01,7.3257267808712176e+22
2019-05-16,7.4573555193531446e+22
2019-06-01,7.727804120082958e+22
2019-06-16,7.475636025957486e+22
2019-07-01,7.509559830417368e+22
2019-07-16,7.366818255628535e+22
2019-08-01,7.369345968006983e+22
2019-08-16,7.418939757512633e+22
2019-09-01,7.1505843604726366e+22
2019-09-16,7.164019823687886e+22
2019-10-01,7.31044921977738e+22
2019-10-16,7.274607355669526e+22
2019-11-01,7.086957764117147e+22
2019-11-16,6.7881648061574195e+22
2019-12-01,6.527170747880297e+22
2019-12-16,6.972589940423491e+22
2020-01-01,6.581804136940598e+22
2020-01-16,6.822570754303377e+22
2020-02-01,7.194742841304442e+22
2020-02-16,7.3060040715073885e+22
2020-03-01,7.156494554571208e+22
2020-03-16,7.564927899560471e+22
2020-04-01,7.707803959432312e+22
2020-04-16,7.77308760195918e+22
2020-05-01,7.629744117744833e+22
2020-05-16,7.57255000266742e+22
2020-06-01,7.556324276118774e+22
2020-06-16,7.417962147197986e+22
2020-07-01,7.2568850688152286e+22
2020-07-16,7.410132664804057e+22
2020-08-01,7.322253163159719e+22
2020-08-16,7.2835106100196875e+22
2020-09-01,7.289853913170231e+22
2020-09-16,7.197447294525298e+22
2020-10-01,7.096439777550034e+22
2020-10-16,7.022536304932862e+22
2020-11-01,7.206906270277462e+22
2020-11-16,6.8475872542762815e+22
2020-12-01,6.8295693291763435e+22
2020-12-16,6.5056186446330724e+22
2021-01-01,6.704249658818716e+22
2021-01-16,6.472200320736809e+22
2021-02-01,7.466361156768783e+22
2021-02-16,7.326150089459824e+22
2021-03-01,7.168340055464866e+22
2021-03-16,7.2734114433495015e+22
2021-04-01,7.393498365309102e+22
2021-04-16,7.616823354279265e+22
2021-05-01,7.749054895036816e+22
2021-05-16,7.62884446324725e+22
2021-06-01,7.570324112965554e+22
2021-06-16,7.500371853169851e+22
2021-07-01,7.650640151970158e+22
2021-07-16,7.606474288127277e+22
2021-08-01,7.601422430294737e+22
2021-08-16,7.576898510014015e+22
2021-09-01,7.4342488970937886e+22
2021-09-16,7.368788025647313e+22
2021-10-01,7.440796803889608e+22
2021-10-16,7.287149854288144e+22
2021-11-01,7.001869873031123e+22
2021-11-16,7.169897534601901e+22
2021-12-01,7.07479560030571e+22
2021-12-16,7.073366253251813e+22
2022-01-01,7.343419464448938e+22
2022-01-16,7.296083836819948e+22
2022-02-01,7.3398747811827054e+22
2022-02-16,7.922447303017911e+22
2022-03-01,7.501613267556161e+22
2022-03-16,7.66929262360807e+22
2022-04-01,7.678622906065549e+22
2022-04-16,7.665906648216452e+22
2022-05-01,7.964239232230902e+22
2022-05-16,8.089925288586404e+22
2022-06-01,7.955993583037083e+22
2022-06-16,7.943778792674302e+22
2022-07-01,7.772366158113135e+22
2022-07-16,7.64204006373596e+22
2022-08-01,7.48485465585498e+22
2022-08-16,7.5399347760775974e+22
2022-09-01,7.515527805232418e+22
2022-09-16,7.427027572241215e+22
2022-10-01,7.285446933706508e+22
2022-10-16,7.361121997301393e+22
2022-11-01,7.067033501274087e+22
2022-11-16,6.844092412042338e+22
2022-12-01,6.484064078672466e+22
2022-12-16,6.581095886051521e+22
2023-01-01,6.790289854802911e+22
2023-01-16,6.635154095279483e+22
2023-02-01,6.584845554406924e+22
2023-02-16,6.900561749364888e+22
2023-03-01,7.003718382846004e+22
2023-03-16,7.436595889271501e+22
2023-04-01,7.62237953470085e+22
2023-04-16,7.79013658653779e+22
2023-05-01,7.662344814816157e+22
2023-05-16,7.928357691386642e+22
2023-06-01,7.868613599724833e+22
2023-06-16,7.86601600682317e+22
2023-07-01,7.528961865742977e+22
2023-07-16,7.629844357316588e+22
2023-08-01,7.613450675954107e+22
2023-08-16,7.447967193196621e+22
2023-09-01,7.4366583852729295e+22
2023-09-16,7.514530205501768e+22
2023-10-01,7.413471577978945e+22
2023-10-16,7.500673497656767e+22
2023-11-01,7.249524667366087e+22
2023-11-16,7.065605938592224e+22
2023-12-01,7.26629343809804e+22
2023-12-16,6.856922586613471e+22
