date,mean_concentration
2019-01-01,6.541808490160508e+22
2019-01-16,6.664222997160158e+22
2019-02-01,6.9238573845565145e+22
2019-02-16,6.595861290011888e+22
2019-03-01,6.7173431546698055e+22
2019-03-16,6.981779186701472e+22
2019-04-01,7.109939641215745e+22
2019-04-16,7.322634421068478e+22
2019-05-01,7.381185669303839e+22
2019-05-16,7.495233144778033e+22
2019-06-01,7.631940066806463e+22
2019-06-16,7.308689741166874e+22
2019-07-01,7.345391647039028e+22
2019-07-16,7.313888121254153e+22
2019-08-01,7.320833883359048e+22
2019-08-16,7.315991289947151e+22
2019-09-01,7.036525285189202e+22
2019-09-16,7.048902255123556e+22
2019-10-01,7.253203926724542e+22
2019-10-16,6.922842086793189e+22
2019-11-01,7.048232888849328e+22
2019-11-16,6.869943371936532e+22
2019-12-01,
2019-12-16,6.632749967046112e+22
2020-01-01,6.682605804673943e+22
2020-01-16,6.610610910615613e+22
2020-02-01,6.653629029301498e+22
2020-02-16,7.083640359870559e+22
2020-03-01,7.073487696948658e+22
2020-03-16,7.175331249026839e+22
2020-04-01,7.225722821331576e+22
2020-04-16,7.365596417662759e+22
2020-05-01,7.5072209215200376e+22
2020-05-16,7.315346315256112e+22
2020-06-01,7.356056785802902e+22
2020-06-16,7.296310695085807e+22
2020-07-01,7.377335580900003e+22
2020-07-16,7.339263290016578e+22
2020-08-01,7.317561179951159e+22
2020-08-16,7.304743023307734e+22
2020-09-01,7.320242169320247e+22
2020-09-16,7.1785666025473385e+22
2020-10-01,7.21382838299551e+22
2020-10-16,7.190453128560057e+22
2020-11-01,7.0217489356111045e+22
2020-11-16,6.961289653391593e+22
2020-12-01,6.604842710674476e+22
2020-12-16,6.585949028956941e+22
2021-01-01,6.423508718823671e+22
2021-01-16,6.631628252914401e+22
2021-02-01,6.684576694469486e+22
2021-02-16,6.797068256786645e+22
2021-03-01,6.7004853710228134e+22
2021-03-16,6.93377093048626e+22
2021-04-01,7.289040620211122e+22
2021-04-16,7.552053635241256e+22
2021-05-01,7.37828323362876e+22
2021-05-16,7.426527982419202e+22
2021-06-01,7.4042180964860465e+22
2021-06-16,7.358023390245376e+22
2021-07-01,7.4286791149551645e+22
2021-07-16,7.52911839595237e+22
2021-08-01,7.44792609272168e+22
2021-08-16,7.457937593554029e+22
2021-09-01,7.421986360928633e+22
2021-09-16,7.369292049777385e+22
2021-10-01,7.503022161150761e+22
2021-10-16,7.272085683269914e+22
2021-11-01,7.013958552542723e+22
2021-11-16,6.939583441695882e+22
2021-12-01,6.82963468876986e+22
2021-12-16,6.835596464579017e+22
2022-01-01,6.981383248263618e+22
2022-01-16,6.922652882931042e+22
2022-02-01,6.911170099536844e+22
2022-02-16,7.035575812900638e+22
2022-03-01,6.950534506916758e+22
2022-03-16,7.396933033891205e+22
2022-04-01,7.426480963803857e+22
2022-04-16,7.402323755685353e+22
2022-05-01,7.633820844798348e+22
2022-05-16,7.543109849178292e+22
2022-06-01,7.607648412949128e+22
2022-06-16,7.596417455281352e+22
2022-07-01,7.547055149702482e+22
2022-07-16,7.485828693626605e+22
2022-08-01,7.545524252482116e+22
2022-08-16,7.547309601557759e+22
2022-09-01,7.455720885203545e+22
2022-09-16,7.58757866915831e+22
2022-10-01,7.333243341735789e+22
2022-10-16,7.476495621058519e+22
2022-11-01,7.222938961149625e+22
2022-11-16,7.217574051492721e+22
2022-12-01,6.8690475430363594e+22
2022-12-16,6.582276587976865e+22
2023-01-01,6.736776927841536e+22
2023-01-16,6.677276583283355e+22
2023-02-01,6.770410337676138e+22
2023-02-16,6.902325396083749e+22
2023-03-01,6.9216553276849015e+22
2023-03-16,7.179739500372677e+22
2023-04-01,7.363694827240235e+22
2023-04-16,7.612798078758991e+22
2023-05-01,7.501629271620068e+22
2023-05-16,7.68726788384005e+22
2023-06-01,7.632526126837372e+22
2023-06-16,7.592335157083059e+22
2023-07-01,7.47948762971388e+22
2023-07-16,7.4407996032435526e+22
2023-08-01,7.467700275003547e+22
2023-08-16,7.4585357251068125e+22
2023-09-01,7.427502812071657e+22
2023-09-16,7.382573982132912e+22
2023-10-01,7.31478674594563e+22
2023-10-16,7.306906046291387e+22
2023-11-01,7.028047693299039e+22
2023-11-16,7.0766849055860004e+22
2023-12-01,6.999972506069432e+22
2023-12-16,6.636789197336182e+22
