date,mean_concentration
2019-01-01,6.585736339245535e+22
2019-01-16,6.692567683890211e+22
2019-02-01,6.978807638544975e+22
2019-02-16,6.665217840297224e+22
2019-03-01,6.80858766108228e+22
2019-03-16,7.084773052676272e+22
2019-04-01,7.185437807933818e+22
2019-04-16,7.18217666445834e+22
2019-05-01,7.46225717573861e+22
2019-05-16,7.502026099916337e+22
2019-06-01,7.70094161333799e+22
2019-06-16,7.420752852514404e+22
2019-07-01,7.406326883476527e+22
2019-07-16,7.35339287962374e+22
2019-08-01,7.328689402054401e+22
2019-08-16,7.314307120221818e+22
2019-09-01,7.0985535770651345e+22
2019-09-16,7.078707901067314e+22
2019-10-01,7.2106261900334075e+22
2019-10-16,7.026405091332356e+22
2019-11-01,7.169581053084599e+22
2019-11-16,6.974944180038205e+22
2019-12-01,6.518896146319811e+22
2019-12-16,6.750855848692292e+22
2020-01-01,6.762216818031973e+22
2020-01-16,6.6838174940486705e+22
2020-02-01,6.696123993068483e+22
2020-02-16,7.065009549007177e+22
2020-03-01,7.079129991632536e+22
2020-03-16,7.252860031198631e+22
2020-04-01,7.304060749558118e+22
2020-04-16,7.426866627918277e+22
2020-05-01,7.466040924206733e+22
2020-05-16,7.3840507612041365e+22
2020-06-01,7.287803767515454e+22
2020-06-16,7.341570313715392e+22
2020-07-01,7.3561365105535965e+22
2020-07-16,7.41237093532191e+22
2020-08-01,7.411469205724882e+22
2020-08-16,7.396846324462688e+22
2020-09-01,7.1985042961897684e+22
2020-09-16,7.27787152694787e+22
2020-10-01,7.3211796619789035e+22
2020-10-16,7.211045936942994e+22
2020-11-01,6.938209143246962e+22
2020-11-16,6.923148299102028e+22
2020-12-01,6.6498378715143564e+22
2020-12-16,6.719588167780805e+22
2021-01-01,6.545855456421463e+22
2021-01-16,6.752058907392661e+22
2021-02-01,6.745886310220569e+22
2021-02-16,6.890573164061984e+22
2021-03-01,6.746409706047668e+22
2021-03-16,7.034986194012821e+22
2021-04-01,7.2797603988044234e+22
2021-04-16,7.678353561190135e+22
2021-05-01,7.5411203746967906e+22
2021-05-16,7.485104247726266e+22
2021-06-01,7.366648853529488e+22
2021-06-16,7.440488578390416e+22
2021-07-01,7.451438157686389e+22
2021-07-16,7.51859766260983e+22
2021-08-01,7.460278597404213e+22
2021-08-16,7.502158528626163e+22
2021-09-01,7.3793674627501626e+22
2021-09-16,7.530571290812686e+22
2021-10-01,7.445134406428657e+22
2021-10-16,7.304631014959263e+22
2021-11-01,7.057204784088289e+22
2021-11-16,6.970901636840627e+22
2021-12-01,6.9363188159641096e+22
2021-12-16,6.853233895114484e+22
2022-01-01,6.954868190957366e+22
2022-01-16,6.964419357673231e+22
2022-02-01,6.967856354661919e+22
2022-02-16,7.106967303173917e+22
2022-03-01,7.062622887642021e+22
2022-03-16,7.377304047540685e+22
2022-04-01,7.413600060448992e+22
2022-04-16,7.484644550303912e+22
2022-05-01,7.684212573417409e+22
2022-05-16,7.622189516133367e+22
2022-06-01,7.649296742731419e+22
2022-06-16,7.688146197161309e+22
2022-07-01,7.514876218062408e+22
2022-07-16,7.585643251019747e+22
2022-08-01,7.545164046474252e+22
2022-08-16,7.571588535476058e+22
2022-09-01,7.554286375875672e+22
2022-09-16,7.582620934855878e+22
2022-10-01,7.453894409360384e+22
2022-10-16,7.519404026938241e+22
2022-11-01,7.2491484248899645e+22
2022-11-16,6.978133576993086e+22
2022-12-01,7.043048729041282e+22
2022-12-16,6.638932659428268e+22
2023-01-01,6.831065987904117e+22
2023-01-16,6.802110049412571e+22
2023-02-01,6.8833312667061574e+22
2023-02-16,7.0063652598992205e+22
2023-03-01,7.025551108172988e+22
2023-03-16,7.336914472134625e+22
2023-04-01,7.438075156190676e+22
2023-04-16,7.686269673001556e+22
2023-05-01,7.479733704201563e+22
2023-05-16,7.768403656103208e+22
2023-06-01,7.729647684947415e+22
2023-06-16,7.623695943096545e+22
2023-07-01,7.477628882050512e+22
2023-07-16,7.4650716185158115e+22
2023-08-01,7.523023544088547e+22
2023-08-16,7.509055318493208e+22
2023-09-01,7.484291415703582e+22
2023-09-16,7.4466569773175525e+22
2023-10-01,7.3775252163561074e+22
2023-10-16,7.338856701515941e+22
2023-11-01,7.132342617887052e+22
2023-11-16,7.0796857957219635e+22
2023-12-01,7.018721043135323e+22
2023-12-16,6.735417459897918e+22
