date,mean_concentration
2019-01-01,6.581383637309779e+22
2019-01-16,6.612035695338687e+22
2019-02-01,6.935661156695509e+22
2019-02-16,6.613164964346453e+22
2019-03-01,6.778626299517965e+22
2019-03-16,7.050982888036964e+22
2019-04-01,7.1656062028029624e+22
2019-04-16,7.323761585853202e+22
2019-05-01,7.437097101127368e+22
2019-05-16,7.490978956431148e+22
2019-06-01,7.593045808033068e+22
2019-06-16,7.331176086196657e+22
2019-07-01,7.408030896091702e+22
2019-07-16,7.345817662051796e+22
2019-08-01,7.229906619062139e+22
2019-08-16,7.2934750961136206e+22
2019-09-01,7.0322992725830545e+22
2019-09-16,7.039631844718814e+22
2019-10-01,7.280159127263591e+22
2019-10-16,7.0821265138017735e+22
2019-11-01,7.11940678572771e+22
2019-11-16,6.944075663821927e+22
2019-12-01,
2019-12-16,6.563891653529931e+22
2020-01-01,6.738112494900973e+22
2020-01-16,6.645234978011382e+22
2020-02-01,6.676261218796861e+22
2020-02-16,7.091874963389782e+22
2020-03-01,7.121637507757175e+22
2020-03-16,7.248926934947713e+22
2020-04-01,7.263402156487777e+22
2020-04-16,7.3943697484276035e+22
2020-05-01,7.466149489510674e+22
2020-05-16,7.363269671596351e+22
2020-06-01,7.219165309754823e+22
2020-06-16,7.4325396502083636e+22
2020-07-01,7.374845622547851e+22
2020-07-16,7.441843650141526e+22
2020-08-01,7.184876593979938e+22
2020-08-16,7.223959406588062e+22
2020-09-01,7.181572486269827e+22
2020-09-16,7.285905302484035e+22
2020-10-01,7.274079211507375e+22
2020-10-16,7.2103576472473005e+22
2020-11-01,7.191008930860035e+22
2020-11-16,6.916559962393349e+22
2020-12-01,6.667743636418159e+22
2020-12-16,6.669078365513375e+22
2021-01-01,
2021-01-16,6.6992773630707565e+22
2021-02-01,6.731782603620944e+22
2021-02-16,6.855114149955556e+22
2021-03-01,6.7205747125745676e+22
2021-03-16,6.978419076364025e+22
2021-04-01,7.297366891567007e+22
2021-04-16,7.655875937178853e+22
2021-05-01,7.518272340361161e+22
2021-05-16,7.476183843082195e+22
2021-06-01,7.483279684224258e+22
2021-06-16,7.429798879247752e+22
2021-07-01,7.457250108214624e+22
2021-07-16,7.4694951200198136e+22
2021-08-01,7.41471999465107e+22
2021-08-16,7.416233467099722e+22
2021-09-01,7.417915135008881e+22
2021-09-16,7.591417084984032e+22
2021-10-01,7.468202209047373e+22
2021-10-16,7.323059668689336e+22
2021-11-01,
2021-11-16,6.991999033770471e+22
2021-12-01,6.933678299893127e+22
2021-12-16,6.913917773418728e+22
2022-01-01,6.924111964296688e+22
2022-01-16,6.84914179843413e+22
2022-02-01,6.933958105722547e+22
2022-02-16,7.105657388170517e+22
2022-03-01,7.022629746385904e+22
2022-03-16,7.43278358314497e+22
2022-04-01,7.5493827412596525e+22
2022-04-16,7.436222898442869e+22
2022-05-01,7.660855014429495e+22
2022-05-16,7.584712539318329e+22
2022-06-01,7.664099054245823e+22
2022-06-16,7.661484633445656e+22
2022-07-01,7.5064723734646976e+22
2022-07-16,7.535491342106628e+22
2022-08-01,7.583568582475715e+22
2022-08-16,7.572722320212695e+22
2022-09-01,7.480194459591622e+22
2022-09-16,7.553717507324777e+22
2022-10-01,7.478323340900533e+22
2022-10-16,7.490365712915437e+22
2022-11-01,7.255214556651362e+22
2022-11-16,7.119634237922025e+22
2022-12-01,6.975666850031385e+22
2022-12-16,6.595030734637729e+22
2023-01-01,6.771254209136259e+22
2023-01-16,6.745807729620717e+22
2023-02-01,6.822089716760314e+22
2023-02-16,6.953762661654627e+22
2023-03-01,7.00371668314797e+22
2023-03-16,7.329520076355267e+22
2023-04-01,7.421082460129987e+22
2023-04-16,7.662492077677257e+22
2023-05-01,7.543237963784581e+22
2023-05-16,7.726887889764599e+22
2023-06-01,7.68756782249823e+22
2023-06-16,7.6741389234104e+22
2023-07-01,7.4556634802976775e+22
2023-07-16,7.431845114873e+22
2023-08-01,7.435081695986317e+22
2023-08-16,7.471680380646422e+22
2023-09-01,7.425306273195071e+22
2023-09-16,7.35554030487398e+22
2023-10-01,7.421667116553904e+22
2023-10-16,7.3235557508032835e+22
2023-11-01,7.129834157539842e+22
2023-11-16,7.096125290927725e+22
2023-12-01,7.091164402159641e+22
2023-12-16,6.759817564313048e+22
