date,mean_concentration
2019-01-01,7.2355810822267894e+22
2019-01-16,7.899362074153286e+22
2019-02-01,7.771477984794326e+22
2019-02-16,7.1181235471444185e+22
2019-03-01,7.450638957788585e+22
2019-03-16,7.5293583127131026e+22
2019-04-01,7.580305666422731e+22
2019-04-16,7.283240591315059e+22
2019-05-01,7.327759678838507e+22
2019-05-16,7.793096345440683e+22
2019-06-01,7.728233515455243e+22
2019-06-16,7.80145034002148e+22
2019-07-01,7.93275909091098e+22
2019-07-16,7.738993568100372e+22
2019-08-01,7.481752678984555e+22
2019-08-16,7.383641915954645e+22
2019-09-01,7.440671204897219e+22
2019-09-16,7.4148547121394185e+22
2019-10-01,7.4020797546851895e+22
2019-10-16,7.311814683221813e+22
2019-11-01,6.966025000945295e+22
2019-11-16,7.000436931394192e+22
2019-12-01,6.9895232691487535e+22
2019-12-16,8.30932679368487e+22
2020-01-01,7.707910787359041e+22
2020-01-16,7.973670145074582e+22
2020-02-01,7.960103716532737e+22
2020-02-16,8.679365961479136e+22
2020-03-01,8.006231160647112e+22
2020-03-16,8.514105785987355e+22
2020-04-01,8.374248209321798e+22
2020-04-16,8.102284050065686e+22
2020-05-01,8.185966963939504e+22
2020-05-16,7.524105009376882e+22
2020-06-01,7.570445735511254e+22
2020-06-16,7.46503664433737e+22
2020-07-01,7.384568540867894e+22
2020-07-16,7.404411436897812e+22
2020-08-01,7.502387540530463e+22
2020-08-16,7.262199228487156e+22
2020-09-01,7.373488383112882e+22
2020-09-16,7.140626282829919e+22
2020-10-01,7.050776076298551e+22
2020-10-16,7.028967075456801e+22
2020-11-01,7.173920570463281e+22
2020-11-16,7.1846796134405405e+22
2020-12-01,6.830582860600527e+22
2020-12-16,7.288153773158973e+22
2021-01-01,7.107393153062505e+22
2021-01-16,7.0208318311990735e+22
2021-02-01,7.811581733173029e+22
2021-02-16,7.438921054558254e+22
2021-03-01,7.608323005061993e+22
2021-03-16,7.814306835739261e+22
2021-04-01,8.080140749605014e+22
2021-04-16,8.003786794741825e+22
2021-05-01,8.228209129930691e+22
2021-05-16,7.715936956476883e+22
2021-06-01,7.810610359192649e+22
2021-06-16,7.90773173271943e+22
2021-07-01,7.672768278560771e+22
2021-07-16,7.70228291703407e+22
2021-08-01,7.5537558013325215e+22
2021-08-16,7.73414346679563e+22
2021-09-01,7.596433403833058e+22
2021-09-16,7.479348797443318e+22
2021-10-01,7.289868198788544e+22
2021-10-16,7.343192697017042e+22
2021-11-01,7.369068006154395e+22
2021-11-16,7.0124315737561355e+22
2021-12-01,7.35714943686218e+22
2021-12-16,7.544880106230698e+22
2022-01-01,7.890865523063383e+22
2022-01-16,7.525659687118758e+22
2022-02-01,8.004580642843284e+22
2022-02-16,8.34801439215644e+22
2022-03-01,8.018190772232478e+22
2022-03-16,7.707910499333222e+22
2022-04-01,7.783558455465374e+22
2022-04-16,8.082104774407382e+22
2022-05-01,7.849283090937285e+22
2022-05-16,7.914324609344307e+22
2022-06-01,7.848587087685284e+22
2022-06-16,7.955431460108708e+22
2022-07-01,7.810457534895221e+22
2022-07-16,7.690891124683109e+22
2022-08-01,7.4651793022390714e+22
2022-08-16,7.5109129099214785e+22
2022-09-01,7.649282483809179e+22
2022-09-16,7.573766913739955e+22
2022-10-01,7.528367078626059e+22
2022-10-16,7.459539209877537e+22
2022-11-01,7.247590139319931e+22
2022-11-16,6.943751581893748e+22
2022-12-01,6.906492202155619e+22
2022-12-16,7.103738514348517e+22
2023-01-01,7.0843725371343095e+22
2023-01-16,7.302497501956989e+22
2023-02-01,7.224196415199599e+22
2023-02-16,7.404199476105483e+22
2023-03-01,7.270389813212433e+22
2023-03-16,7.997487471438462e+22
2023-04-01,8.375753015467384e+22
2023-04-16,7.96583457141145e+22
2023-05-01,8.203692697460142e+22
2023-05-16,7.983037276437462e+22
2023-06-01,8.001941304267284e+22
2023-06-16,7.627013451858395e+22
2023-07-01,7.69668278190703e+22
2023-07-16,7.400188665398263e+22
2023-08-01,7.487464924338974e+22
2023-08-16,7.699343462133304e+22
2023-09-01,7.663459028348865e+22
2023-09-16,7.545362214622036e+22
2023-10-01,7.363180386469392e+22
2023-10-16,7.38582026912153e+22
2023-11-01,7.399367367591746e+22
2023-11-16,7.484799376681583e+22
2023-12-01,7.940358150652755e+22
2023-12-16,7.5759909815136e+22
