date,mean_concentration
2019-01-01,6.450314602644785e+22
2019-01-16,6.392789074311389e+22
2019-02-01,6.881873706144811e+22
2019-02-16,6.553274131949484e+22
2019-03-01,6.705600489809702e+22
2019-03-16,7.055022654230114e+22
2019-04-01,7.201538701159106e+22
2019-04-16,7.3607313812289575e+22
2019-05-01,7.445951195979317e+22
2019-05-16,7.527685519649717e+22
2019-06-01,7.61053718091013e+22
2019-06-16,7.469406001326078e+22
2019-07-01,7.362090567226419e+22
2019-07-16,7.3983295468130684e+22
2019-08-01,7.366613585364132e+22
2019-08-16,7.349398191067739e+22
2019-09-01,7.148451651045218e+22
2019-09-16,7.1122435911827885e+22
2019-10-01,7.243794263549633e+22
2019-10-16,7.033140884914325e+22
2019-11-01,7.118748340503476e+22
2019-11-16,6.721978681486536e+22
2019-12-01,6.474340858966312e+22
2019-12-16,6.63390971949508e+22
2020-01-01,6.786187804233662e+22
2020-01-16,6.770960650888087e+22
2020-02-01,6.761753838629303e+22
2020-02-16,7.291995458966329e+22
2020-03-01,7.140118805783801e+22
2020-03-16,7.3266707021926844e+22
2020-04-01,7.402888341273413e+22
2020-04-16,7.5503961416452595e+22
2020-05-01,7.542199878863864e+22
2020-05-16,7.516202037888056e+22
2020-06-01,7.534161307097024e+22
2020-06-16,7.493409192832299e+22
2020-07-01,7.343913726802291e+22
2020-07-16,7.428924657367267e+22
2020-08-01,
2020-08-16,7.303958717988874e+22
2020-09-01,7.357676108976053e+22
2020-09-16,7.05187429477349e+22
2020-10-01,7.302894527147487e+22
2020-10-16,7.15959322327604e+22
2020-11-01,7.049648761845588e+22
2020-11-16,6.927029413990649e+22
2020-12-01,6.638070347728532e+22
2020-12-16,6.392687939087283e+22
2021-01-01,6.771337167062772e+22
2021-01-16,6.856746698542931e+22
2021-02-01,7.068795934496393e+22
2021-02-16,7.173438919861149e+22
2021-03-01,6.800312468105985e+22
2021-03-16,7.084462509741984e+22
2021-04-01,7.415736262367269e+22
2021-04-16,7.652260582934284e+22
2021-05-01,7.530608755449334e+22
2021-05-16,7.551481684165465e+22
2021-06-01,7.420025318164068e+22
2021-06-16,7.453778251913423e+22
2021-07-01,7.4836194839717994e+22
2021-07-16,7.639519416436167e+22
2021-08-01,7.615492008243985e+22
2021-08-16,7.596828927931244e+22
2021-09-01,7.479891953435586e+22
2021-09-16,7.5063077170851976e+22
2021-10-01,7.532386488373043e+22
2021-10-16,7.383699613523853e+22
2021-11-01,
2021-11-16,6.973684915102042e+22
2021-12-01,6.857298206674337e+22
2021-12-16,6.962036066460156e+22
2022-01-01,7.0996586596497285e+22
2022-01-16,6.837985658876267e+22
2022-02-01,7.016823412683327e+22
2022-02-16,7.2890786363968965e+22
2022-03-01,7.123778651774371e+22
2022-03-16,7.539876931661075e+22
2022-04-01,7.49588072475726e+22
2022-04-16,7.489282529178035e+22
2022-05-01,7.837713447950735e+22
2022-05-16,7.92082146213253e+22
2022-06-01,7.80207699226024e+22
2022-06-16,7.565935240398855e+22
2022-07-01,
2022-07-16,7.602217367088333e+22
2022-08-01,7.60520346736688e+22
2022-08-16,7.608667960800232e+22
2022-09-01,7.560346886021047e+22
2022-09-16,7.518772406236029e+22
2022-10-01,7.291411374601935e+22
2022-10-16,7.422942547923792e+22
2022-11-01,7.260564343135861e+22
2022-11-16,7.016333779400888e+22
2022-12-01,6.533063754463596e+22
2022-12-16,6.485292981610109e+22
2023-01-01,6.788259318022937e+22
2023-01-16,6.645237200497278e+22
2023-02-01,6.715358300732746e+22
2023-02-16,6.9903529012925796e+22
2023-03-01,7.073751785916144e+22
2023-03-16,7.153054836110031e+22
2023-04-01,7.4694804134368895e+22
2023-04-16,7.70475048028069e+22
2023-05-01,7.525884512949192e+22
2023-05-16,7.850007456126392e+22
2023-06-01,7.80075063832823e+22
2023-06-16,7.610044291552214e+22
2023-07-01,7.542831110212095e+22
2023-07-16,
2023-08-01,7.568246965270826e+22
2023-08-16,7.563104455944802e+22
2023-09-01,7.630098245831207e+22
2023-09-16,7.5224084955133056e+22
2023-10-01,7.419100780348841e+22
2023-10-16,7.3226626360648734e+22
2023-11-01,7.187250049655442e+22
2023-11-16,7.029852924400039e+22
2023-12-01,7.102130236273714e+22
2023-12-16,6.808178059426868e+22
