date,mean_concentration
2019-01-01,6.052862691377185e+22
2019-01-16,6.864842341102618e+22
2019-02-01,6.621244092265555e+22
2019-02-16,6.527602466089793e+22
2019-03-01,6.837997111210233e+22
2019-03-16,7.216823976258686e+22
2019-04-01,7.659833143350132e+22
2019-04-16,7.225437894748809e+22
2019-05-01,7.162576161352802e+22
2019-05-16,7.43946747892115e+22
2019-06-01,7.764454001068688e+22
2019-06-16,7.545924296837025e+22
2019-07-01,7.616161611878318e+22
2019-07-16,7.490641571442792e+22
2019-08-01,7.428294978371949e+22
2019-08-16,7.4682047171835936e+22
2019-09-01,7.3115789007595896e+22
2019-09-16,7.092043660189768e+22
2019-10-01,7.508232202208038e+22
2019-10-16,6.982011707618373e+22
2019-11-01,6.9509696652991105e+22
2019-11-16,6.497403449160915e+22
2019-12-01,6.472570429004974e+22
2019-12-16,6.924014105495877e+22
2020-01-01,6.6983584782740525e+22
2020-01-16,7.466744548175609e+22
2020-02-01,7.390715372422685e+22
2020-02-16,7.457706501201935e+22
2020-03-01,7.750937754185243e+22
2020-03-16,7.727421248031501e+22
2020-04-01,7.73888463003601e+22
2020-04-16,7.988040633745023e+22
2020-05-01,7.950031219654714e+22
2020-05-16,7.542839604932463e+22
2020-06-01,7.643146716652888e+22
2020-06-16,7.610289535969324e+22
2020-07-01,7.293306575531199e+22
2020-07-16,7.387395050186134e+22
2020-08-01,7.192553607701784e+22
2020-08-16,7.290310985995008e+22
2020-09-01,7.3694696618134765e+22
2020-09-16,7.330522623227977e+22
2020-10-01,7.03025980654997e+22
2020-10-16,6.8795573403569416e+22
2020-11-01,7.394289738793252e+22
2020-11-16,7.018589544407081e+22
2020-12-01,7.2983197021934495e+22
2020-12-16,6.78088558852533e+22
2021-01-01,6.607241387351968e+22
2021-01-16,6.618997433729773e+22
2021-02-01,7.640483764663222e+22
2021-02-16,7.088277967004913e+22
2021-03-01,7.398278043328708e+22
2021-03-16,7.372302701931412e+22
2021-04-01,7.558148343467503e+22
2021-04-16,7.745463229694411e+22
2021-05-01,7.994090044507853e+22
2021-05-16,7.5390928685819e+22
2021-06-01,7.65084794872374e+22
2021-06-16,7.660567645357962e+22
2021-07-01,7.650377842536324e+22
2021-07-16,7.590221035388526e+22
2021-08-01,7.556611183959383e+22
2021-08-16,7.451413093321426e+22
2021-09-01,7.527239891375662e+22
2021-09-16,7.52927768254161e+22
2021-10-01,7.356877768938933e+22
2021-10-16,7.374772153651951e+22
2021-11-01,7.083649336534587e+22
2021-11-16,7.114599275024424e+22
2021-12-01,6.9561358336243345e+22
2021-12-16,7.17431365564839e+22
2022-01-01,7.462098467329267e+22
2022-01-16,7.491797301111272e+22
2022-02-01,7.716736733457911e+22
2022-02-16,8.128708346966548e+22
2022-03-01,7.88884011003444e+22
2022-03-16,7.959813033453338e+22
2022-04-01,7.947419172241567e+22
2022-04-16,7.851461228602199e+22
2022-05-01,7.928950694884989e+22
2022-05-16,8.07164472976235e+22
2022-06-01,7.951616901785413e+22
2022-06-16,8.008009774643011e+22
2022-07-01,7.861810011363202e+22
2022-07-16,7.614048087945095e+22
2022-08-01,7.621736078968952e+22
2022-08-16,7.600293259709263e+22
2022-09-01,7.488860546190333e+22
2022-09-16,7.526732898329211e+22
2022-10-01,7.30870368971203e+22
2022-10-16,7.2312623632965765e+22
2022-11-01,7.0341465906256705e+22
2022-11-16,6.789856007677649e+22
2022-12-01,6.541943850577762e+22
2022-12-16,6.80405980861185e+22
2023-01-01,6.893786071395832e+22
2023-01-16,6.780459996112055e+22
2023-02-01,6.689031815881653e+22
2023-02-16,7.0218419816586625e+22
2023-03-01,7.064510278160157e+22
2023-03-16,7.702287333851223e+22
2023-04-01,7.738369801004955e+22
2023-04-16,7.861996639256587e+22
2023-05-01,7.567583403818262e+22
2023-05-16,7.877731085231551e+22
2023-06-01,7.908495916306572e+22
2023-06-16,7.74724387704781e+22
2023-07-01,7.500802508789264e+22
2023-07-16,7.611061099229712e+22
2023-08-01,7.574642874940143e+22
2023-08-16,7.511107820457139e+22
2023-09-01,7.493597368613529e+22
2023-09-16,7.632307581210312e+22
2023-10-01,7.423637480327398e+22
2023-10-16,7.464117189992659e+22
2023-11-01,7.1882245326394414e+22
2023-11-16,7.234444338995953e+22
2023-12-01,7.498028654213584e+22
2023-12-16,6.975243701091009e+22
