date,mean_concentration
2019-01-01,6.682903979048048e+22
2019-01-16,7.1857829862370294e+22
2019-02-01,6.9905128663684814e+22
2019-02-16,6.738370875618055e+22
2019-03-01,7.029374197387096e+22
2019-03-16,7.32413043242391e+22
2019-04-01,7.730503505537845e+22
2019-04-16,7.267492853315342e+22
2019-05-01,7.233801977254454e+22
2019-05-16,7.530060726519715e+22
2019-06-01,7.653496443108752e+22
2019-06-16,7.728411732862322e+22
2019-07-01,7.611865667653544e+22
2019-07-16,7.638627105552568e+22
2019-08-01,7.442577813153255e+22
2019-08-16,7.529859577494305e+22
2019-09-01,7.306219924426176e+22
2019-09-16,7.188180397918526e+22
2019-10-01,7.462366274043599e+22
2019-10-16,7.284516932083938e+22
2019-11-01,6.9107287894374495e+22
2019-11-16,6.8572820588691685e+22
2019-12-01,6.99744415851777e+22
2019-12-16,7.193108528408423e+22
2020-01-01,7.9371107478047e+22
2020-01-16,7.713803836616364e+22
2020-02-01,7.530492706059285e+22
2020-02-16,7.802953477392562e+22
2020-03-01,7.860464635227874e+22
2020-03-16,7.761030728412951e+22
2020-04-01,7.959886880326282e+22
2020-04-16,8.188788258695954e+22
2020-05-01,8.167487563746877e+22
2020-05-16,7.584462825401771e+22
2020-06-01,7.679142954811733e+22
2020-06-16,7.4156059950476566e+22
2020-07-01,7.2697105237085505e+22
2020-07-16,7.343729022178424e+22
2020-08-01,7.21687688879997e+22
2020-08-16,7.2694051489386825e+22
2020-09-01,7.392314814259503e+22
2020-09-16,7.254585236370313e+22
2020-10-01,6.895142557359365e+22
2020-10-16,6.932167945868813e+22
2020-11-01,7.319102543689023e+22
2020-11-16,7.161168632280124e+22
2020-12-01,7.1949642371785315e+22
2020-12-16,6.951616971704924e+22
2021-01-01,6.912866339886786e+22
2021-01-16,6.671419104183446e+22
2021-02-01,7.7971728486616e+22
2021-02-16,7.31343256782137e+22
2021-03-01,7.593799817106644e+22
2021-03-16,7.5340117635109415e+22
2021-04-01,7.876075064499012e+22
2021-04-16,7.767868248081857e+22
2021-05-01,8.056283356882967e+22
2021-05-16,7.61356945500138e+22
2021-06-01,7.689992268345753e+22
2021-06-16,7.611599591594392e+22
2021-07-01,7.652069636292812e+22
2021-07-16,7.650833000507956e+22
2021-08-01,7.612861334249254e+22
2021-08-16,7.3972800215983694e+22
2021-09-01,7.53978043006867e+22
2021-09-16,7.546974439633363e+22
2021-10-01,7.28116841811756e+22
2021-10-16,7.366041371825831e+22
2021-11-01,7.287272460363196e+22
2021-11-16,7.1714597993760025e+22
2021-12-01,7.098248661212357e+22
2021-12-16,7.386827606299548e+22
2022-01-01,7.641524525065198e+22
2022-01-16,7.978794603108071e+22
2022-02-01,7.913771967188668e+22
2022-02-16,8.139920810770327e+22
2022-03-01,8.00985611304371e+22
2022-03-16,8.026358594021694e+22
2022-04-01,7.931994758602798e+22
2022-04-16,8.016795250887528e+22
2022-05-01,8.028246939583523e+22
2022-05-16,8.074303216496864e+22
2022-06-01,7.951314965198412e+22
2022-06-16,7.93719291300351e+22
2022-07-01,7.867436725369488e+22
2022-07-16,7.591225120663425e+22
2022-08-01,7.619158321306229e+22
2022-08-16,7.601298170055499e+22
2022-09-01,7.401082103996936e+22
2022-09-16,7.465277972242842e+22
2022-10-01,7.496401180453326e+22
2022-10-16,7.26545927546772e+22
2022-11-01,6.952793869557738e+22
2022-11-16,6.975144034139375e+22
2022-12-01,6.698204450696959e+22
2022-12-16,6.910618890396257e+22
2023-01-01,6.898513340704457e+22
2023-01-16,6.93234320795202e+22
2023-02-01,7.026729401584039e+22
2023-02-16,7.147552825602217e+22
2023-03-01,7.117335494092556e+22
2023-03-16,7.89020251061287e+22
2023-04-01,7.878907598459208e+22
2023-04-16,8.01237728146989e+22
2023-05-01,7.643501367574062e+22
2023-05-16,7.873800734369153e+22
2023-06-01,7.919374520790691e+22
2023-06-16,7.68842707086445e+22
2023-07-01,7.400791824113694e+22
2023-07-16,7.610459476781876e+22
2023-08-01,7.39752013266381e+22
2023-08-16,7.539232444771987e+22
2023-09-01,7.557727993808306e+22
2023-09-16,7.5055716487167646e+22
2023-10-01,7.409909499565946e+22
2023-10-16,7.46419465366175e+22
2023-11-01,7.460500750782767e+22
2023-11-16,7.4667274471534926e+22
2023-12-01,7.599399250878173e+22
2023-12-16,7.368662810544115e+22
