date,mean_concentration
2019-01-01,6.440469580560802e+22
2019-01-16,6.487514407959261e+22
2019-02-01,6.821894586308971e+22
2019-02-16,6.554712028151471e+22
2019-03-01,6.657197579538363e+22
2019-03-16,6.9509333872857066e+22
2019-04-01,7.139374082649786e+22
2019-04-16,7.131378450285983e+22
2019-05-01,7.363898925373943e+22
2019-05-16,7.440894071146543e+22
2019-06-01,7.763481009138983e+22
2019-06-16,7.41181974472226e+22
2019-07-01,7.481706346706891e+22
2019-07-16,7.309353774677538e+22
2019-08-01,7.321566519455984e+22
2019-08-16,7.296597557889635e+22
2019-09-01,7.14120653150526e+22
2019-09-16,7.103778371448798e+22
2019-10-01,7.271088747281583e+22
2019-10-16,
2019-11-01,7.109775612849807e+22
2019-11-16,6.774958702945947e+22
2019-12-01,6.358013923324278e+22
2019-12-16,6.76398695828313e+22
2020-01-01,6.7550620593937564e+22
2020-01-16,6.587050808805806e+22
2020-02-01,6.7761486160342915e+22
2020-02-16,7.17663337553123e+22
2020-03-01,7.101353255306357e+22
2020-03-16,7.197037090027676e+22
2020-04-01,7.242317722428886e+22
2020-04-16,7.49616616240786e+22
2020-05-01,7.467756275371231e+22
2020-05-16,7.448035128862875e+22
2020-06-01,7.324841048040136e+22
2020-06-16,7.340294392903841e+22
2020-07-01,7.391036214101701e+22
2020-07-16,7.392761631541844e+22
2020-08-01,
2020-08-16,7.200560578666832e+22
2020-09-01,7.329044176265008e+22
2020-09-16,7.186662093717283e+22
2020-10-01,
2020-10-16,
2020-11-01,7.135612796438559e+22
2020-11-16,6.7434459237251295e+22
2020-12-01,6.504533251812495e+22
2020-12-16,6.630902283186393e+22
2021-01-01,6.716161615523616e+22
2021-01-16,6.631073837443012e+22
2021-02-01,6.897150456670487e+22
2021-02-16,7.092224531866459e+22
2021-03-01,6.802034898755177e+22
2021-03-16,7.066614036861405e+22
2021-04-01,7.254919121777453e+22
2021-04-16,7.547967197081303e+22
2021-05-01,7.536953056466336e+22
2021-05-16,7.510413964874433e+22
2021-06-01,7.415315794277802e+22
2021-06-16,7.4497725252447565e+22
2021-07-01,7.464533780702257e+22
2021-07-16,7.527698875275095e+22
2021-08-01,7.52940519411183e+22
2021-08-16,7.647850708436065e+22
2021-09-01,7.493274081537103e+22
2021-09-16,7.532546963974635e+22
2021-10-01,7.5452515979662255e+22
2021-10-16,7.431900531628116e+22
2021-11-01,7.02173648084507e+22
2021-11-16,7.032903623991495e+22
2021-12-01,6.879306811161855e+22
2021-12-16,6.903257436680624e+22
2022-01-01,6.963627883769896e+22
2022-01-16,6.8264302937234035e+22
2022-02-01,6.926020088442787e+22
2022-02-16,7.151297773292933e+22
2022-03-01,7.049018473478766e+22
2022-03-16,7.423802425656892e+22
2022-04-01,7.3728462451949045e+22
2022-04-16,7.4911043550042235e+22
2022-05-01,7.73550047278482e+22
2022-05-16,7.767075429504539e+22
2022-06-01,7.73923938425168e+22
2022-06-16,
2022-07-01,
2022-07-16,7.593761442203763e+22
2022-08-01,7.511912288566953e+22
2022-08-16,7.550192175867018e+22
2022-09-01,7.603297113454572e+22
2022-09-16,7.545168537396041e+22
2022-10-01,7.282296405719663e+22
2022-10-16,7.457940820312618e+22
2022-11-01,7.284984327911548e+22
2022-11-16,7.076744160643332e+22
2022-12-01,6.681303061640131e+22
2022-12-16,6.460451289281081e+22
2023-01-01,6.743641044760823e+22
2023-01-16,6.640242579762408e+22
2023-02-01,6.686740639267362e+22
2023-02-16,6.911866337777113e+22
2023-03-01,7.050865469224388e+22
2023-03-16,7.107565544128704e+22
2023-04-01,7.342177599989854e+22
2023-04-16,7.708224014075445e+22
2023-05-01,7.534394865851211e+22
2023-05-16,7.72835127830055e+22
2023-06-01,7.644691716242872e+22
2023-06-16,7.572568194521342e+22
2023-07-01,7.545590392222727e+22
2023-07-16,7.466555839872942e+22
2023-08-01,7.525009203579086e+22
2023-08-16,7.509666424599685e+22
2023-09-01,7.482191962783937e+22
2023-09-16,7.546046157828581e+22
2023-10-01,7.394282029124566e+22
2023-10-16,7.3223112277914464e+22
2023-11-01,7.105635409269476e+22
2023-11-16,7.049282434560536e+22
2023-12-01,7.075559609696565e+22
2023-12-16,6.654310499932343e+22
