date,mean_concentration
2019-01-01,6.345698833329511e+22
2019-01-16,6.3419090349785654e+22
2019-02-01,6.8002950216366445e+22
2019-02-16,6.5291428265957945e+22
2019-03-01,6.6396259400595605e+22
2019-03-16,7.038636954668566e+22
2019-04-01,7.1163371474084845e+22
2019-04-16,7.1621539400949745e+22
2019-05-01,7.213051933620951e+22
2019-05-16,7.370803265894893e+22
2019-06-01,7.679039184443754e+22
2019-06-16,7.4881000869163835e+22
2019-07-01,7.303186994638477e+22
2019-07-16,7.422029660832652e+22
2019-08-01,7.340019259880441e+22
2019-08-16,7.346183856265334e+22
2019-09-01,
2019-09-16,7.118388923474114e+22
2019-10-01,7.319657260966064e+22
2019-10-16,
2019-11-01,7.079529823971998e+22
2019-11-16,6.6942438513728775e+22
2019-12-01,6.331836594172986e+22
2019-12-16,7.147933567912322e+22
2020-01-01,6.855726170478685e+22
2020-01-16,6.701031871889992e+22
2020-02-01,7.07488068305286e+22
2020-02-16,7.255921616422224e+22
2020-03-01,7.181111434177918e+22
2020-03-16,7.257676112019892e+22
2020-04-01,7.508126562432881e+22
2020-04-16,7.518053202195068e+22
2020-05-01,7.606792404783382e+22
2020-05-16,7.509247660348274e+22
2020-06-01,7.60059692029449e+22
2020-06-16,7.467318112771687e+22
2020-07-01,7.319142760238351e+22
2020-07-16,7.2543314174192925e+22
2020-08-01,7.443251361276242e+22
2020-08-16,7.364817916890895e+22
2020-09-01,7.2542425154751375e+22
2020-09-16,7.188944439590759e+22
2020-10-01,7.180891529398422e+22
2020-10-16,7.232606535389672e+22
2020-11-01,7.302276893334571e+22
2020-11-16,7.005418145259794e+22
2020-12-01,6.845242733612316e+22
2020-12-16,6.5490239829482985e+22
2021-01-01,6.553242205792522e+22
2021-01-16,6.638349271066281e+22
2021-02-01,7.500807666165391e+22
2021-02-16,7.3065470968772614e+22
2021-03-01,7.0538931304545145e+22
2021-03-16,7.363297246316724e+22
2021-04-01,7.262440865355873e+22
2021-04-16,7.626623271556408e+22
2021-05-01,7.513786296910562e+22
2021-05-16,7.538683941000985e+22
2021-06-01,7.521060149243649e+22
2021-06-16,7.532921974643437e+22
2021-07-01,7.563432066236773e+22
2021-07-16,7.674949010069042e+22
2021-08-01,7.528622838591113e+22
2021-08-16,7.639127943985009e+22
2021-09-01,7.4358961131675355e+22
2021-09-16,7.440697074629533e+22
2021-10-01,7.546788724508224e+22
2021-10-16,7.328191667068722e+22
2021-11-01,7.033228387233417e+22
2021-11-16,7.129214849602187e+22
2021-12-01,7.105957997170836e+22
2021-12-16,6.863404580526393e+22
2022-01-01,7.140548205731924e+22
2022-01-16,6.891116454244677e+22
2022-02-01,7.145589755330725e+22
2022-02-16,7.362283818805898e+22
2022-03-01,7.357688581963532e+22
2022-03-16,7.678952571472003e+22
2022-04-01,7.497386151588623e+22
2022-04-16,7.581726126762914e+22
2022-05-01,7.80439431610995e+22
2022-05-16,7.930097860913332e+22
2022-06-01,7.929385781745854e+22
2022-06-16,7.775476067781438e+22
2022-07-01,7.725782140230628e+22
2022-07-16,7.619129841199846e+22
2022-08-01,7.447778860416021e+22
2022-08-16,7.577643806525558e+22
2022-09-01,7.55282512472076e+22
2022-09-16,7.550086665432871e+22
2022-10-01,7.801283470698683e+22
2022-10-16,7.3715959372201765e+22
2022-11-01,7.143256992423623e+22
2022-11-16,6.761901235717459e+22
2022-12-01,6.597904875539161e+22
2022-12-16,6.433880304917955e+22
2023-01-01,6.6824102114369045e+22
2023-01-16,6.634535225600334e+22
2023-02-01,6.457061073866485e+22
2023-02-16,6.795716616700105e+22
2023-03-01,7.1121683290808834e+22
2023-03-16,7.308039697625698e+22
2023-04-01,7.252625506496873e+22
2023-04-16,7.71271644643544e+22
2023-05-01,7.599104935828501e+22
2023-05-16,7.83297283649239e+22
2023-06-01,7.686089483926106e+22
2023-06-16,7.686310283599455e+22
2023-07-01,7.588751362530135e+22
2023-07-16,
2023-08-01,7.611705053686247e+22
2023-08-16,7.597406279463617e+22
2023-09-01,7.495284776778383e+22
2023-09-16,7.545638976059852e+22
2023-10-01,7.419991592293264e+22
2023-10-16,7.273111340799038e+22
2023-11-01,7.246394069230541e+22
2023-11-16,7.150736699831537e+22
2023-12-01,7.009230643559835e+22
2023-12-16,6.768459000741626e+22
