date,mean_concentration
2019-01-01,7.953382029894108e+22
2019-01-16,8.605754675677429e+22
2019-02-01,7.470283987513303e+22
2019-02-16,8.948595710791394e+22
2019-03-01,8.109062975056789e+22
2019-03-16,7.935964671658759e+22
2019-04-01,7.9245875617906e+22
2019-04-16,7.523789969113205e+22
2019-05-01,7.827640393334896e+22
2019-05-16,8.203669647235015e+22
2019-06-01,7.926099771282431e+22
2019-06-16,8.01899109767716e+22
2019-07-01,7.956166149112473e+22
2019-07-16,7.775251398256174e+22
2019-08-01,7.570582825998775e+22
2019-08-16,7.814185568428037e+22
2019-09-01,7.496149916539258e+22
2019-09-16,7.463585740339565e+22
2019-10-01,7.514238292195589e+22
2019-10-16,7.701819980906058e+22
2019-11-01,7.314543096263297e+22
2019-11-16,7.519334869875079e+22
2019-12-01,7.299400507217052e+22
2019-12-16,7.449274654823545e+22
2020-01-01,8.739105422541654e+22
2020-01-16,8.329549147273076e+22
2020-02-01,8.197813775208904e+22
2020-02-16,8.736637785500116e+22
2020-03-01,8.174124797478795e+22
2020-03-16,8.889583067760276e+22
2020-04-01,8.667339731469961e+22
2020-04-16,8.331460016613377e+22
2020-05-01,8.131313861012958e+22
2020-05-16,7.77674454989682e+22
2020-06-01,7.63458276889235e+22
2020-06-16,7.579597768079379e+22
2020-07-01,7.66892623929475e+22
2020-07-16,7.53594597775213e+22
2020-08-01,7.641968487155185e+22
2020-08-16,7.35585344997288e+22
2020-09-01,7.371357309854619e+22
2020-09-16,7.403277952720068e+22
2020-10-01,7.152910760512534e+22
2020-10-16,7.089613778210332e+22
2020-11-01,7.0915661370924756e+22
2020-11-16,7.698164325285462e+22
2020-12-01,7.865629002121083e+22
2020-12-16,8.059602203407938e+22
2021-01-01,7.423464325193337e+22
2021-01-16,8.035243863717985e+22
2021-02-01,8.207832012863402e+22
2021-02-16,7.894760423287975e+22
2021-03-01,7.650953840151915e+22
2021-03-16,8.325226410977507e+22
2021-04-01,8.574227909910304e+22
2021-04-16,8.49993783105153e+22
2021-05-01,8.429005701537286e+22
2021-05-16,7.939163890769398e+22
2021-06-01,7.838415554816144e+22
2021-06-16,7.964569844251844e+22
2021-07-01,8.015825316178474e+22
2021-07-16,7.828917509482536e+22
2021-08-01,7.860290292776601e+22
2021-08-16,7.878983436796126e+22
2021-09-01,7.645103414640226e+22
2021-09-16,7.564177327384296e+22
2021-10-01,7.4965402757046045e+22
2021-10-16,7.57333740541345e+22
2021-11-01,7.576625957879285e+22
2021-11-16,7.245521128815137e+22
2021-12-01,7.83457204154039e+22
2021-12-16,8.543183210879361e+22
2022-01-01,8.57606410427989e+22
2022-01-16,7.63072772843493e+22
2022-02-01,8.601151445582225e+22
2022-02-16,8.748432793240151e+22
2022-03-01,8.46655954313758e+22
2022-03-16,7.416980745075378e+22
2022-04-01,8.005057724787899e+22
2022-04-16,8.243138021215098e+22
2022-05-01,7.826060513906021e+22
2022-05-16,7.938787835964415e+22
2022-06-01,7.924229810651932e+22
2022-06-16,8.218254467725554e+22
2022-07-01,7.933801844818465e+22
2022-07-16,7.683346378863977e+22
2022-08-01,7.75069492218654e+22
2022-08-16,7.581211763045372e+22
2022-09-01,7.665051999626323e+22
2022-09-16,7.633680094111036e+22
2022-10-01,7.567020795716166e+22
2022-10-16,7.561690637542885e+22
2022-11-01,7.882351778085778e+22
2022-11-16,7.1670544564256254e+22
2022-12-01,7.331184721161221e+22
2022-12-16,7.462874769561671e+22
2023-01-01,8.333239232194868e+22
2023-01-16,8.105401385610684e+22
2023-02-01,7.69111247668032e+22
2023-02-16,8.369063757029476e+22
2023-03-01,7.422462277502033e+22
2023-03-16,8.825138983231767e+22
2023-04-01,8.459467907700042e+22
2023-04-16,8.748808223086007e+22
2023-05-01,8.48724532066012e+22
2023-05-16,8.240658545827362e+22
2023-06-01,7.94134504132395e+22
2023-06-16,7.790453843300996e+22
2023-07-01,7.78074576359432e+22
2023-07-16,7.604630279292997e+22
2023-08-01,7.847463443682739e+22
2023-08-16,7.791262006159537e+22
2023-09-01,7.75431601422795e+22
2023-09-16,7.666974023699897e+22
2023-10-01,7.442785266061162e+22
2023-10-16,7.491498202369477e+22
2023-11-01,7.550179801333488e+22
2023-11-16,7.707839490791345e+22
2023-12-01,8.164805397909867e+22
2023-12-16,7.997519099655337e+22
