date,mean_concentration
2019-01-01,6.2374776777265155e+22
2019-01-16,6.572047583674826e+22
2019-02-01,6.6141079909673845e+22
2019-02-16,6.504621037133001e+22
2019-03-01,6.792217615167889e+22
2019-03-16,7.169876034934095e+22
2019-04-01,7.531512085200399e+22
2019-04-16,7.355916421797912e+22
2019-05-01,7.233569045136393e+22
2019-05-16,7.421578779771384e+22
2019-06-01,7.729913078081484e+22
2019-06-16,7.468004079599706e+22
2019-07-01,7.474646954509865e+22
2019-07-16,7.379447852909288e+22
2019-08-01,7.339998905665968e+22
2019-08-16,7.3864560965135215e+22
2019-09-01,7.206354981718944e+22
2019-09-16,7.151171412996655e+22
2019-10-01,7.26929990007997e+22
2019-10-16,7.089815660938198e+22
2019-11-01,6.9595265184689574e+22
2019-11-16,6.6317385631592295e+22
2019-12-01,6.4671561619641414e+22
2019-12-16,6.828815200866325e+22
2020-01-01,6.531355146256111e+22
2020-01-16,7.00423218654315e+22
2020-02-01,7.082851395989817e+22
2020-02-16,7.234019472450475e+22
2020-03-01,7.471139237801105e+22
2020-03-16,7.578850507183133e+22
2020-04-01,7.71195573063696e+22
2020-04-16,7.874390262476315e+22
2020-05-01,7.698753722800355e+22
2020-05-16,7.52007280977218e+22
2020-06-01,7.591286331912658e+22
2020-06-16,7.477045599804011e+22
2020-07-01,7.282482730408358e+22
2020-07-16,7.4256115084798586e+22
2020-08-01,7.054986147636446e+22
2020-08-16,7.347867371458566e+22
2020-09-01,7.288404894518637e+22
2020-09-16,7.158804959694581e+22
2020-10-01,7.0869447212711505e+22
2020-10-16,6.8047128067460605e+22
2020-11-01,7.30100208036208e+22
2020-11-16,6.931265364729423e+22
2020-12-01,6.947650058135537e+22
2020-12-16,6.549851830446006e+22
2021-01-01,6.6700416707839404e+22
2021-01-16,6.538784093981242e+22
2021-02-01,7.034675260345821e+22
2021-02-16,7.159140166418249e+22
2021-03-01,7.262642524255905e+22
2021-03-16,7.120039224476829e+22
2021-04-01,7.458232445227824e+22
2021-04-16,7.585987996057113e+22
2021-05-01,7.7640051478319e+22
2021-05-16,7.603687211103555e+22
2021-06-01,7.609142743123027e+22
2021-06-16,7.480183149788689e+22
2021-07-01,7.608161954722371e+22
2021-07-16,7.647486969279129e+22
2021-08-01,7.43485839969705e+22
2021-08-16,7.456303805071505e+22
2021-09-01,7.539196501593538e+22
2021-09-16,7.4875740552644685e+22
2021-10-01,7.514769247974288e+22
2021-10-16,7.312622379705166e+22
2021-11-01,6.969298025260861e+22
2021-11-16,7.118498435049204e+22
2021-12-01,7.0843843856391125e+22
2021-12-16,7.043844430980117e+22
2022-01-01,7.404460812040731e+22
2022-01-16,7.363685511883469e+22
2022-02-01,7.538289075380647e+22
2022-02-16,7.918251870783198e+22
2022-03-01,7.657135239896247e+22
2022-03-16,7.785660983325725e+22
2022-04-01,7.77257876872117e+22
2022-04-16,7.677004046232818e+22
2022-05-01,8.030827725031638e+22
2022-05-16,8.07549625670087e+22
2022-06-01,7.953325137995104e+22
2022-06-16,7.981338070385906e+22
2022-07-01,7.867735523441664e+22
2022-07-16,7.575416095792807e+22
2022-08-01,7.516001770921692e+22
2022-08-16,7.56775019131561e+22
2022-09-01,7.523956742609963e+22
2022-09-16,7.478678310179443e+22
2022-10-01,7.295515321357432e+22
2022-10-16,7.309033474024161e+22
2022-11-01,7.018319198420495e+22
2022-11-16,6.7830773974023e+22
2022-12-01,6.371471209639511e+22
2022-12-16,6.607720648489038e+22
2023-01-01,6.78715930974081e+22
2023-01-16,6.518533238469401e+22
2023-02-01,6.598757502212618e+22
2023-02-16,6.868895397400864e+22
2023-03-01,7.014604535119245e+22
2023-03-16,7.5426126165615885e+22
2023-04-01,7.699426327522242e+22
2023-04-16,7.767393868826493e+22
2023-05-01,7.545444826542519e+22
2023-05-16,7.903098639987109e+22
2023-06-01,7.815284533783427e+22
2023-06-16,7.800516033722077e+22
2023-07-01,7.4164477599146324e+22
2023-07-16,7.664316733340296e+22
2023-08-01,7.584860074866566e+22
2023-08-16,7.523078182592795e+22
2023-09-01,7.445179952078344e+22
2023-09-16,7.659353771946352e+22
2023-10-01,7.444038819898087e+22
2023-10-16,7.475567475455353e+22
2023-11-01,7.22604121830031e+22
2023-11-16,7.109541940263724e+22
2023-12-01,7.373785199770209e+22
2023-12-16,6.924496666573028e+22
