date,mean_concentration
2019-01-01,7.089348772304492e+22
2019-01-16,8.382882606055438e+22
2019-02-01,7.529151730151e+22
2019-02-16,7.78513598158386e+22
2019-03-01,7.562318557026382e+22
2019-03-16,7.692858643043386e+22
2019-04-01,7.77580746172532e+22
2019-04-16,7.384293749395176e+22
2019-05-01,7.4827721194873675e+22
2019-05-16,7.86515705835524e+22
2019-06-01,7.772741292762555e+22
2019-06-16,7.880208483381277e+22
2019-07-01,7.946412394438222e+22
2019-07-16,7.66141329012171e+22
2019-08-01,7.557358911589631e+22
2019-08-16,7.68902744976772e+22
2019-09-01,7.440020556615735e+22
2019-09-16,7.564597030645311e+22
2019-10-01,7.5064014299405245e+22
2019-10-16,7.450464332595562e+22
2019-11-01,7.124498861738444e+22
2019-11-16,7.266999991285157e+22
2019-12-01,7.081539574268499e+22
2019-12-16,
2020-01-01,8.180374240527856e+22
2020-01-16,7.973039703880885e+22
2020-02-01,8.021076011158923e+22
2020-02-16,8.384117172683834e+22
2020-03-01,8.011827024822275e+22
2020-03-16,8.538200797098742e+22
2020-04-01,8.47243771486865e+22
2020-04-16,8.043380931280102e+22
2020-05-01,8.118323632604528e+22
2020-05-16,7.565394370848072e+22
2020-06-01,7.573209683966885e+22
2020-06-16,7.559721065033717e+22
2020-07-01,7.55938430384685e+22
2020-07-16,7.573899842052303e+22
2020-08-01,7.412472263814837e+22
2020-08-16,7.2005734207406024e+22
2020-09-01,7.3550674417533785e+22
2020-09-16,7.3333482287892196e+22
2020-10-01,7.1120653652421335e+22
2020-10-16,7.01757769264928e+22
2020-11-01,7.241110844183833e+22
2020-11-16,7.526964035875006e+22
2020-12-01,7.492097807219717e+22
2020-12-16,7.666590405033726e+22
2021-01-01,6.914628758197644e+22
2021-01-16,7.4269997429694686e+22
2021-02-01,8.002317371895575e+22
2021-02-16,7.520057530860905e+22
2021-03-01,7.710590526517353e+22
2021-03-16,7.917389813286986e+22
2021-04-01,8.260620519066949e+22
2021-04-16,8.020376869282621e+22
2021-05-01,8.332771181826509e+22
2021-05-16,7.766084080065002e+22
2021-06-01,7.912522454599141e+22
2021-06-16,7.891366209668187e+22
2021-07-01,7.922950616305939e+22
2021-07-16,7.755372747893155e+22
2021-08-01,7.8260998491446e+22
2021-08-16,7.692510341207566e+22
2021-09-01,7.556164101541004e+22
2021-09-16,7.542375196785856e+22
2021-10-01,7.406336970273835e+22
2021-10-16,7.537625874712305e+22
2021-11-01,7.402469291102024e+22
2021-11-16,7.104653246908234e+22
2021-12-01,7.535527639656877e+22
2021-12-16,7.787122244481148e+22
2022-01-01,8.114983935150953e+22
2022-01-16,7.487032217810664e+22
2022-02-01,8.331909104087754e+22
2022-02-16,8.47117279039579e+22
2022-03-01,8.342259905862841e+22
2022-03-16,7.699938950892538e+22
2022-04-01,7.88858000255595e+22
2022-04-16,8.20148003108585e+22
2022-05-01,7.825159535082417e+22
2022-05-16,7.947668294650192e+22
2022-06-01,7.905371581411785e+22
2022-06-16,8.150116034483725e+22
2022-07-01,7.843175967669435e+22
2022-07-16,7.689645817100968e+22
2022-08-01,7.603980465389736e+22
2022-08-16,7.606875834609793e+22
2022-09-01,7.696205711678347e+22
2022-09-16,7.715331965384027e+22
2022-10-01,7.589383895533262e+22
2022-10-16,7.553327568051949e+22
2022-11-01,7.592699573767055e+22
2022-11-16,7.252069915290547e+22
2022-12-01,7.082111788134596e+22
2022-12-16,7.287869441266352e+22
2023-01-01,6.945057921929349e+22
2023-01-16,7.600923719145525e+22
2023-02-01,7.2816147724019e+22
2023-02-16,7.834597716136227e+22
2023-03-01,7.331069913184391e+22
2023-03-16,8.313260733917202e+22
2023-04-01,8.42455921431794e+22
2023-04-16,8.340108869504579e+22
2023-05-01,8.204322477121447e+22
2023-05-16,8.075019999036632e+22
2023-06-01,8.096517738027516e+22
2023-06-16,7.765707251465151e+22
2023-07-01,7.914941058242037e+22
2023-07-16,7.526255273499779e+22
2023-08-01,7.673959378535772e+22
2023-08-16,7.731513968046992e+22
2023-09-01,7.659516626491283e+22
2023-09-16,7.612804805637687e+22
2023-10-01,7.423372221384579e+22
2023-10-16,7.406004123740023e+22
2023-11-01,7.4293829451738495e+22
2023-11-16,7.598526205305899e+22
2023-12-01,7.87102762321737e+22
2023-12-16,7.605113613318258e+22
