date,mean_concentration
2019-01-01,6.25798632667863e+22
2019-01-16,6.566908256631885e+22
2019-02-01,6.504872381529588e+22
2019-02-16,6.56149126521473e+22
2019-03-01,6.805058790788362e+22
2019-03-16,7.107931945289941e+22
2019-04-01,7.64625278264961e+22
2019-04-16,7.359644821721027e+22
2019-05-01,7.287095766208795e+22
2019-05-16,7.4985846186062555e+22
2019-06-01,7.62813516462596e+22
2019-06-16,7.471954853023615e+22
2019-07-01,7.462482126868474e+22
2019-07-16,7.400389260942375e+22
2019-08-01,7.345952578763423e+22
2019-08-16,7.390387935114885e+22
2019-09-01,7.217583704246164e+22
2019-09-16,7.172707019728881e+22
2019-10-01,7.438861346780462e+22
2019-10-16,7.112046788159077e+22
2019-11-01,6.93872996639532e+22
2019-11-16,6.757181633494541e+22
2019-12-01,6.5046448199025295e+22
2019-12-16,7.0141951930967024e+22
2020-01-01,6.565300113684788e+22
2020-01-16,6.944845968623711e+22
2020-02-01,7.097050254081956e+22
2020-02-16,7.559191710534894e+22
2020-03-01,7.368031510900877e+22
2020-03-16,7.608608581151501e+22
2020-04-01,7.715335234396707e+22
2020-04-16,7.922074847138921e+22
2020-05-01,7.65605989316054e+22
2020-05-16,7.615499446895813e+22
2020-06-01,7.536585578692529e+22
2020-06-16,7.412510240266221e+22
2020-07-01,7.2496327620426534e+22
2020-07-16,7.453677735197044e+22
2020-08-01,7.232073199623998e+22
2020-08-16,7.372026889501141e+22
2020-09-01,7.276926526814424e+22
2020-09-16,7.0602027242925475e+22
2020-10-01,7.12099379824705e+22
2020-10-16,6.894484271079733e+22
2020-11-01,7.2634936783474614e+22
2020-11-16,6.98229237284391e+22
2020-12-01,6.959930938057681e+22
2020-12-16,6.690478104646866e+22
2021-01-01,6.675968448794873e+22
2021-01-16,6.44552487904082e+22
2021-02-01,7.232331215307216e+22
2021-02-16,7.259105102838693e+22
2021-03-01,7.216245481284273e+22
2021-03-16,7.1609522308674946e+22
2021-04-01,7.53583872121223e+22
2021-04-16,7.597670484028403e+22
2021-05-01,7.848649208187642e+22
2021-05-16,7.58821776548652e+22
2021-06-01,7.550919439485769e+22
2021-06-16,7.286421389445142e+22
2021-07-01,7.611748272876769e+22
2021-07-16,7.621182276743957e+22
2021-08-01,7.612952743911872e+22
2021-08-16,7.570259303554201e+22
2021-09-01,7.515097386157478e+22
2021-09-16,7.4701597915801725e+22
2021-10-01,7.430265872597016e+22
2021-10-16,7.2733970559294216e+22
2021-11-01,7.018091501010803e+22
2021-11-16,7.127830842400686e+22
2021-12-01,7.1067124827260686e+22
2021-12-16,7.145841901112856e+22
2022-01-01,7.396249839056841e+22
2022-01-16,7.398590041853593e+22
2022-02-01,7.56976813545668e+22
2022-02-16,7.578660855775183e+22
2022-03-01,7.641512781240154e+22
2022-03-16,7.753487505414735e+22
2022-04-01,7.791007393068485e+22
2022-04-16,7.690771973379848e+22
2022-05-01,7.970336024689104e+22
2022-05-16,8.076911487423744e+22
2022-06-01,7.93097481245185e+22
2022-06-16,7.80223488561464e+22
2022-07-01,7.782724699574027e+22
2022-07-16,7.558062025184312e+22
2022-08-01,7.539448240714549e+22
2022-08-16,7.522189986341246e+22
2022-09-01,7.521098733186195e+22
2022-09-16,7.417027692858091e+22
2022-10-01,7.233425539126231e+22
2022-10-16,7.321311412682131e+22
2022-11-01,6.94567009449057e+22
2022-11-16,6.822525813624834e+22
2022-12-01,6.486899045216796e+22
2022-12-16,6.668023871752928e+22
2023-01-01,6.830095852777513e+22
2023-01-16,6.608445233493904e+22
2023-02-01,6.630174420931961e+22
2023-02-16,7.04146153712917e+22
2023-03-01,7.019923139146703e+22
2023-03-16,7.442593099389046e+22
2023-04-01,7.703605528328621e+22
2023-04-16,7.782949195945657e+22
2023-05-01,7.602775747983485e+22
2023-05-16,7.94139599968402e+22
2023-06-01,7.868995782437713e+22
2023-06-16,7.699170511512644e+22
2023-07-01,7.496480946848999e+22
2023-07-16,7.607661792932376e+22
2023-08-01,7.556395145359814e+22
2023-08-16,7.403803654400239e+22
2023-09-01,7.449615036842577e+22
2023-09-16,7.552678338270143e+22
2023-10-01,7.5041608697388196e+22
2023-10-16,7.4899768868552825e+22
2023-11-01,7.121477898341486e+22
2023-11-16,7.03598447980421e+22
2023-12-01,7.3134514742320395e+22
2023-12-16,6.79220219009708e+22
