date,mean_concentration
2019-01-01,6.123377759540491e+22
2019-01-16,6.578846651542587e+22
2019-02-01,6.594666873289264e+22
2019-02-16,6.475655283054444e+22
2019-03-01,6.727552150788117e+22
2019-03-16,7.144094939010745e+22
2019-04-01,7.39926465606698e+22
2019-04-16,7.281045569780916e+22
2019-05-01,7.1806021262748055e+22
2019-05-16,7.426695692893934e+22
2019-06-01,7.672194122400352e+22
2019-06-16,7.45461134113743e+22
2019-07-01,7.528049449485991e+22
2019-07-16,7.500434840474368e+22
2019-08-01,7.287071402440283e+22
2019-08-16,7.4126287447023325e+22
2019-09-01,7.171113053485857e+22
2019-09-16,7.103428301564948e+22
2019-10-01,7.277148141264325e+22
2019-10-16,6.769995398703555e+22
2019-11-01,6.9090848193471e+22
2019-11-16,6.552398544169455e+22
2019-12-01,6.5278048564693745e+22
2019-12-16,6.7819822185703126e+22
2020-01-01,6.485116431285703e+22
2020-01-16,7.085265678219524e+22
2020-02-01,7.117939332743672e+22
2020-02-16,7.345846935565681e+22
2020-03-01,7.382693894041728e+22
2020-03-16,7.5042135919271405e+22
2020-04-01,7.622981867171584e+22
2020-04-16,7.77099938532347e+22
2020-05-01,7.750695015272755e+22
2020-05-16,7.4781704054366984e+22
2020-06-01,7.562995448750217e+22
2020-06-16,7.649244291007353e+22
2020-07-01,7.33040624748858e+22
2020-07-16,7.331859752875142e+22
2020-08-01,7.3749105729829664e+22
2020-08-16,7.305149846151696e+22
2020-09-01,7.38628826891941e+22
2020-09-16,7.323758327920074e+22
2020-10-01,7.004712660589799e+22
2020-10-16,6.931780245763447e+22
2020-11-01,7.321806123568684e+22
2020-11-16,6.888435176107355e+22
2020-12-01,6.95884109487535e+22
2020-12-16,6.60212195145869e+22
2021-01-01,6.52151308819441e+22
2021-01-16,6.7457684351137e+22
2021-02-01,7.364268642605147e+22
2021-02-16,7.1440641978499955e+22
2021-03-01,7.212067091744583e+22
2021-03-16,7.194898640744736e+22
2021-04-01,7.343252012105109e+22
2021-04-16,7.789115649530227e+22
2021-05-01,7.66017639891814e+22
2021-05-16,7.559336963789001e+22
2021-06-01,7.577273632456762e+22
2021-06-16,7.645717664186754e+22
2021-07-01,7.582612781577966e+22
2021-07-16,7.615225703425174e+22
2021-08-01,7.456724105798928e+22
2021-08-16,7.52027877072439e+22
2021-09-01,7.464647137203401e+22
2021-09-16,7.615445241481844e+22
2021-10-01,7.458235065571922e+22
2021-10-16,7.326346544963972e+22
2021-11-01,7.019828318128007e+22
2021-11-16,7.1395738356250694e+22
2021-12-01,6.9706968976693255e+22
2021-12-16,6.956978955321759e+22
2022-01-01,7.311132972209374e+22
2022-01-16,7.278405693038129e+22
2022-02-01,7.388612012944646e+22
2022-02-16,7.901721663610367e+22
2022-03-01,7.557492320817148e+22
2022-03-16,7.780949199222497e+22
2022-04-01,7.69034545785315e+22
2022-04-16,7.629490852995623e+22
2022-05-01,7.971367971957407e+22
2022-05-16,8.007788078622367e+22
2022-06-01,7.991439732451531e+22
2022-06-16,7.912936062627994e+22
2022-07-01,7.765867361490918e+22
2022-07-16,7.570756563808868e+22
2022-08-01,7.566574621916213e+22
2022-08-16,7.541491352099663e+22
2022-09-01,7.447992303444592e+22
2022-09-16,7.517559365130103e+22
2022-10-01,7.621317399406864e+22
2022-10-16,7.267993157821149e+22
2022-11-01,6.996526924769137e+22
2022-11-16,6.742674833130812e+22
2022-12-01,6.416664479855677e+22
2022-12-16,6.4258475113096285e+22
2023-01-01,6.777434291013855e+22
2023-01-16,6.5377371244725524e+22
2023-02-01,6.492294608389167e+22
2023-02-16,6.804567300457545e+22
2023-03-01,7.013548180814378e+22
2023-03-16,7.540226952223449e+22
2023-04-01,7.595551334191676e+22
2023-04-16,7.796505529765005e+22
2023-05-01,7.534066398704847e+22
2023-05-16,7.858899889907446e+22
2023-06-01,7.8280474079332e+22
2023-06-16,7.682527680745003e+22
2023-07-01,7.566511429199994e+22
2023-07-16,7.626547968762639e+22
2023-08-01,7.541270023273258e+22
2023-08-16,7.519857770782992e+22
2023-09-01,7.552733138049809e+22
2023-09-16,7.432631656441031e+22
2023-10-01,7.40444711473244e+22
2023-10-16,7.409780209477059e+22
2023-11-01,7.2022157245064394e+22
2023-11-16,7.152916714443832e+22
2023-12-01,7.327097757403452e+22
2023-12-16,6.792099628902127e+22
