date,mean_concentration
2019-01-01,7.146490509443334e+22
2019-01-16,8.331423978317719e+22
2019-02-01,7.270328990321377e+22
2019-02-16,7.650581201233494e+22
2019-03-01,7.595476298630358e+22
2019-03-16,7.700785128177778e+22
2019-04-01,7.645841474042653e+22
2019-04-16,7.420793154091802e+22
2019-05-01,7.512866803438442e+22
2019-05-16,7.888169735023718e+22
2019-06-01,7.776752993534021e+22
2019-06-16,7.896581598430321e+22
2019-07-01,7.996783797672643e+22
2019-07-16,7.710556258745835e+22
2019-08-01,7.517526350667851e+22
2019-08-16,7.725092540410758e+22
2019-09-01,7.4811765678976755e+22
2019-09-16,7.553769181365005e+22
2019-10-01,7.523653183757008e+22
2019-10-16,7.445748939212975e+22
2019-11-01,7.182992866622938e+22
2019-11-16,7.360468035973082e+22
2019-12-01,7.124825961276612e+22
2019-12-16,
2020-01-01,8.594876828045425e+22
2020-01-16,7.997319035103344e+22
2020-02-01,8.104621583275332e+22
2020-02-16,8.456301307674297e+22
2020-03-01,8.082993196633855e+22
2020-03-16,8.545148683554557e+22
2020-04-01,8.534800331636891e+22
2020-04-16,8.079402493247983e+22
2020-05-01,8.12239459656176e+22
2020-05-16,7.590626118072184e+22
2020-06-01,7.6026240608586e+22
2020-06-16,7.564115809464315e+22
2020-07-01,7.5348054407417105e+22
2020-07-16,7.551476317809763e+22
2020-08-01,7.413943382987048e+22
2020-08-16,7.298560313525256e+22
2020-09-01,7.348141492963404e+22
2020-09-16,7.3461574641145e+22
2020-10-01,7.1160137212720585e+22
2020-10-16,7.027015770933957e+22
2020-11-01,7.354268774089337e+22
2020-11-16,7.400059194038053e+22
2020-12-01,7.576055322333742e+22
2020-12-16,7.708468754288778e+22
2021-01-01,7.034535065636238e+22
2021-01-16,7.5501265337062196e+22
2021-02-01,8.02943450984937e+22
2021-02-16,7.528172394589906e+22
2021-03-01,7.746582779338132e+22
2021-03-16,8.016398422550119e+22
2021-04-01,8.271705374823742e+22
2021-04-16,8.107408192578503e+22
2021-05-01,8.260167986614523e+22
2021-05-16,7.796565851178056e+22
2021-06-01,7.912312036825631e+22
2021-06-16,7.889856262040928e+22
2021-07-01,7.931317629534618e+22
2021-07-16,7.873049054743647e+22
2021-08-01,7.804872530830444e+22
2021-08-16,7.699885573809699e+22
2021-09-01,7.63830368670341e+22
2021-09-16,7.542673534022734e+22
2021-10-01,7.4177571275828065e+22
2021-10-16,7.472557920987217e+22
2021-11-01,7.44741687256637e+22
2021-11-16,7.135015656985852e+22
2021-12-01,7.53978325951804e+22
2021-12-16,8.03437171477086e+22
2022-01-01,8.361421525233263e+22
2022-01-16,7.473628173707801e+22
2022-02-01,8.276997879072047e+22
2022-02-16,8.553496841028277e+22
2022-03-01,8.333808066172281e+22
2022-03-16,7.637469836526056e+22
2022-04-01,7.932531667748147e+22
2022-04-16,8.213123588439336e+22
2022-05-01,7.796211280858632e+22
2022-05-16,7.94827336933687e+22
2022-06-01,7.91055887796296e+22
2022-06-16,8.177844821799645e+22
2022-07-01,7.924300196685824e+22
2022-07-16,7.681550070176788e+22
2022-08-01,7.650918108117438e+22
2022-08-16,7.625723625850385e+22
2022-09-01,7.735817440061358e+22
2022-09-16,7.670438090904771e+22
2022-10-01,7.58141817070791e+22
2022-10-16,7.576072740925353e+22
2022-11-01,7.679581674423402e+22
2022-11-16,7.378713364967379e+22
2022-12-01,7.122164435515215e+22
2022-12-16,7.319562453792241e+22
2023-01-01,6.973582308669024e+22
2023-01-16,7.646330568420455e+22
2023-02-01,7.306450153066441e+22
2023-02-16,8.01288532937967e+22
2023-03-01,7.2920125359379135e+22
2023-03-16,8.30168776024375e+22
2023-04-01,8.433189585536234e+22
2023-04-16,8.433796146661474e+22
2023-05-01,8.207822828959194e+22
2023-05-16,8.097518531726868e+22
2023-06-01,8.152993638343663e+22
2023-06-16,7.733790754678383e+22
2023-07-01,7.839799339192837e+22
2023-07-16,7.592141025596081e+22
2023-08-01,7.642921972340691e+22
2023-08-16,7.740649215222436e+22
2023-09-01,7.676120669296575e+22
2023-09-16,7.61385528129695e+22
2023-10-01,7.430796407142222e+22
2023-10-16,7.462413600949807e+22
2023-11-01,7.473815250722227e+22
2023-11-16,7.63310103971346e+22
2023-12-01,7.929616041146132e+22
2023-12-16,7.653177046443553e+22
