date,mean_concentration
2019-01-01,6.543186309986839e+22
2019-01-16,6.6918967179380204e+22
2019-02-01,6.72566286849945e+22
2019-02-16,6.547173545206679e+22
2019-03-01,6.880734689829464e+22
2019-03-16,7.417561152310557e+22
2019-04-01,7.587400058099873e+22
2019-04-16,7.40322481112501e+22
2019-05-01,7.419921814856234e+22
2019-05-16,7.558881311484426e+22
2019-06-01,7.754935585391908e+22
2019-06-16,7.510628927256946e+22
2019-07-01,7.431298661156033e+22
2019-07-16,7.557257213908027e+22
2019-08-01,7.414965188034447e+22
2019-08-16,7.528714850737462e+22
2019-09-01,7.313959332039685e+22
2019-09-16,7.2880647785350835e+22
2019-10-01,7.3641783592423275e+22
2019-10-16,7.215664015515779e+22
2019-11-01,6.908865861489075e+22
2019-11-16,6.483051552898165e+22
2019-12-01,6.8993830045870285e+22
2019-12-16,7.557447224713646e+22
2020-01-01,7.018290725330772e+22
2020-01-16,7.2872176124620916e+22
2020-02-01,7.692632722676163e+22
2020-02-16,8.39568746230641e+22
2020-03-01,7.96967517175063e+22
2020-03-16,7.893145477808419e+22
2020-04-01,7.889055468820469e+22
2020-04-16,8.32236816181869e+22
2020-05-01,8.081958785359341e+22
2020-05-16,7.71857682166496e+22
2020-06-01,7.593117859028473e+22
2020-06-16,7.518040389273228e+22
2020-07-01,7.353848206342164e+22
2020-07-16,7.171872351446163e+22
2020-08-01,7.259540909319748e+22
2020-08-16,7.348257269861976e+22
2020-09-01,7.327191096695951e+22
2020-09-16,7.12674870889081e+22
2020-10-01,6.872951897912539e+22
2020-10-16,6.912389738662438e+22
2020-11-01,7.3180951681181824e+22
2020-11-16,6.9487224314293375e+22
2020-12-01,7.230733494600573e+22
2020-12-16,6.667140325361804e+22
2021-01-01,6.762214853780422e+22
2021-01-16,7.057835678668028e+22
2021-02-01,7.65254099656679e+22
2021-02-16,7.509901895036235e+22
2021-03-01,7.525942986487058e+22
2021-03-16,7.345491254791692e+22
2021-04-01,7.634594472764883e+22
2021-04-16,7.627694230240332e+22
2021-05-01,8.396098262845404e+22
2021-05-16,7.5444626239503966e+22
2021-06-01,7.4121847395110915e+22
2021-06-16,7.490938745050039e+22
2021-07-01,7.68461054531913e+22
2021-07-16,7.7417031319712e+22
2021-08-01,7.850907607888317e+22
2021-08-16,7.492743905439312e+22
2021-09-01,7.434877490418316e+22
2021-09-16,7.454811599214165e+22
2021-10-01,7.355168938827546e+22
2021-10-16,7.281925108408488e+22
2021-11-01,7.2262106723564265e+22
2021-11-16,7.083632447341994e+22
2021-12-01,6.935447274603316e+22
2021-12-16,7.15679011505737e+22
2022-01-01,7.357243957029464e+22
2022-01-16,7.781550744668474e+22
2022-02-01,8.037707234434222e+22
2022-02-16,7.721065888195126e+22
2022-03-01,7.946331502367276e+22
2022-03-16,7.799230478114596e+22
2022-04-01,8.102785308855967e+22
2022-04-16,8.029901227860359e+22
2022-05-01,8.031395630973359e+22
2022-05-16,7.923517175180752e+22
2022-06-01,
2022-06-16,7.843621860708249e+22
2022-07-01,7.899871582502705e+22
2022-07-16,7.606846601526194e+22
2022-08-01,7.591130930318595e+22
2022-08-16,7.533080776867259e+22
2022-09-01,7.408131733104579e+22
2022-09-16,7.405169594472561e+22
2022-10-01,7.211301310356211e+22
2022-10-16,7.12665708845982e+22
2022-11-01,6.921487389002613e+22
2022-11-16,6.809084622460762e+22
2022-12-01,6.545761045070635e+22
2022-12-16,7.070361083119578e+22
2023-01-01,7.00694758183564e+22
2023-01-16,6.757134612793062e+22
2023-02-01,7.097147082106765e+22
2023-02-16,7.574820149190222e+22
2023-03-01,7.105739817724047e+22
2023-03-16,7.88598204944601e+22
2023-04-01,7.861549322500869e+22
2023-04-16,7.991091641653876e+22
2023-05-01,7.631813901307646e+22
2023-05-16,7.756921140299336e+22
2023-06-01,7.985591288383378e+22
2023-06-16,7.68193797313837e+22
2023-07-01,7.507178852483316e+22
2023-07-16,7.590874475445447e+22
2023-08-01,7.445036021862406e+22
2023-08-16,7.458750947595276e+22
2023-09-01,7.576983309324444e+22
2023-09-16,7.478918200883067e+22
2023-10-01,7.3323743402716956e+22
2023-10-16,7.373631619194487e+22
2023-11-01,7.252648400155545e+22
2023-11-16,7.068085311776255e+22
2023-12-01,7.60427683894566e+22
2023-12-16,7.083655942744819e+22
