date,mean_concentration
2019-01-01,7.241150299953409e+22
2019-01-16,8.071110892604123e+22
2019-02-01,7.859580940795857e+22
2019-02-16,7.993259616452131e+22
2019-03-01,7.578847365176064e+22
2019-03-16,7.720303737035177e+22
2019-04-01,7.63412906940138e+22
2019-04-16,7.4020890496421176e+22
2019-05-01,7.4524676795658226e+22
2019-05-16,7.881849909999665e+22
2019-06-01,7.732190673037271e+22
2019-06-16,7.85896406604599e+22
2019-07-01,7.910283537400656e+22
2019-07-16,7.666287551300798e+22
2019-08-01,7.536892885259362e+22
2019-08-16,7.66285194579293e+22
2019-09-01,7.471214325976022e+22
2019-09-16,7.564332529252406e+22
2019-10-01,7.4545960294826495e+22
2019-10-16,7.381642464232558e+22
2019-11-01,7.137304552241066e+22
2019-11-16,7.165770553002851e+22
2019-12-01,7.069524454636758e+22
2019-12-16,7.599047032799154e+22
2020-01-01,8.247435983329877e+22
2020-01-16,7.954584971677742e+22
2020-02-01,7.976161447815388e+22
2020-02-16,8.401136705538086e+22
2020-03-01,8.06990281543868e+22
2020-03-16,8.596880740517467e+22
2020-04-01,8.552195543906454e+22
2020-04-16,8.168130358851678e+22
2020-05-01,8.12692112272255e+22
2020-05-16,7.54620571503367e+22
2020-06-01,7.5409492151664344e+22
2020-06-16,7.582279717530308e+22
2020-07-01,7.5167177832041695e+22
2020-07-16,7.622134877020988e+22
2020-08-01,7.29211279114227e+22
2020-08-16,7.125410042208219e+22
2020-09-01,7.31556017610084e+22
2020-09-16,7.230880629564746e+22
2020-10-01,7.097231674238834e+22
2020-10-16,7.041480635166908e+22
2020-11-01,7.219604705369105e+22
2020-11-16,7.259491229999362e+22
2020-12-01,7.086300730478041e+22
2020-12-16,7.413891130922615e+22
2021-01-01,7.014625619572717e+22
2021-01-16,7.169527951734928e+22
2021-02-01,8.003698709713165e+22
2021-02-16,7.647304939546624e+22
2021-03-01,7.660792373069646e+22
2021-03-16,7.882792204968397e+22
2021-04-01,8.350066219031581e+22
2021-04-16,8.102533741748779e+22
2021-05-01,8.323080125897284e+22
2021-05-16,7.80911166544639e+22
2021-06-01,7.773089933697496e+22
2021-06-16,7.947911670125663e+22
2021-07-01,7.918496748272263e+22
2021-07-16,7.849286473472952e+22
2021-08-01,7.803397988913563e+22
2021-08-16,7.808372151207232e+22
2021-09-01,7.563961363877452e+22
2021-09-16,7.515420084286875e+22
2021-10-01,7.3541340758599335e+22
2021-10-16,7.453519585800133e+22
2021-11-01,7.418859368991752e+22
2021-11-16,7.085798640052468e+22
2021-12-01,7.557059092627434e+22
2021-12-16,7.757395169775429e+22
2022-01-01,8.313166372776581e+22
2022-01-16,7.466353409191517e+22
2022-02-01,8.025540133172308e+22
2022-02-16,8.465427836490372e+22
2022-03-01,8.364175083789236e+22
2022-03-16,7.412351565043824e+22
2022-04-01,7.889529417289105e+22
2022-04-16,8.142064308008166e+22
2022-05-01,7.583337097451066e+22
2022-05-16,7.973106334401724e+22
2022-06-01,7.85741765273867e+22
2022-06-16,8.044712777060785e+22
2022-07-01,7.792101550266763e+22
2022-07-16,7.732685678883003e+22
2022-08-01,7.616532785752127e+22
2022-08-16,7.552134098164585e+22
2022-09-01,7.875470723769476e+22
2022-09-16,7.633840823807022e+22
2022-10-01,7.548947285545319e+22
2022-10-16,7.494813303833062e+22
2022-11-01,7.567832491979033e+22
2022-11-16,7.06617444574302e+22
2022-12-01,6.9996140141403724e+22
2022-12-16,7.145883613823454e+22
2023-01-01,7.130132115080214e+22
2023-01-16,7.693309329494636e+22
2023-02-01,7.2913928343167665e+22
2023-02-16,7.851064750466084e+22
2023-03-01,7.309310928543057e+22
2023-03-16,8.343827249278918e+22
2023-04-01,8.441450202695792e+22
2023-04-16,8.22729960592305e+22
2023-05-01,8.259904070531082e+22
2023-05-16,8.072094357534148e+22
2023-06-01,8.035440908657506e+22
2023-06-16,7.696914329220134e+22
2023-07-01,7.819295374848755e+22
2023-07-16,7.518122372302587e+22
2023-08-01,7.747012511534058e+22
2023-08-16,7.68253761573947e+22
2023-09-01,7.669106982660603e+22
2023-09-16,7.583511959419344e+22
2023-10-01,7.37744731017748e+22
2023-10-16,7.361627095181478e+22
2023-11-01,7.436714057808679e+22
2023-11-16,7.581609444180106e+22
2023-12-01,7.91026298591675e+22
2023-12-16,7.648848633911213e+22
