date,mean_concentration
2019-01-01,6.3521847879209255e+22
2019-01-16,6.473720513777748e+22
2019-02-01,6.771938519253834e+22
2019-02-16,6.558101918619566e+22
2019-03-01,6.618151497247181e+22
2019-03-16,6.998135547799902e+22
2019-04-01,7.17264743096328e+22
2019-04-16,7.225660335833141e+22
2019-05-01,7.268135385654668e+22
2019-05-16,7.379028976531482e+22
2019-06-01,7.723182969555228e+22
2019-06-16,7.521119111074843e+22
2019-07-01,7.471975982273726e+22
2019-07-16,7.51188443884318e+22
2019-08-01,7.3888993976460866e+22
2019-08-16,7.4016779049394506e+22
2019-09-01,7.2015421013999474e+22
2019-09-16,7.116807169229558e+22
2019-10-01,7.3008803696901446e+22
2019-10-16,7.06324877713832e+22
2019-11-01,7.131929151107328e+22
2019-11-16,6.627414831659559e+22
2019-12-01,6.399905201126817e+22
2019-12-16,7.070201410357958e+22
2020-01-01,6.651139725709531e+22
2020-01-16,6.84003873285936e+22
2020-02-01,6.900990903728457e+22
2020-02-16,7.258470264961839e+22
2020-03-01,7.19410981841268e+22
2020-03-16,7.253989194353216e+22
2020-04-01,7.4517843923962635e+22
2020-04-16,7.466377267821076e+22
2020-05-01,7.628470077225537e+22
2020-05-16,7.5090784983344784e+22
2020-06-01,7.514517762513562e+22
2020-06-16,7.442113060712883e+22
2020-07-01,7.35514261353457e+22
2020-07-16,7.297045079324359e+22
2020-08-01,7.440934737569189e+22
2020-08-16,7.363436062521067e+22
2020-09-01,7.257516860854795e+22
2020-09-16,7.277402194265267e+22
2020-10-01,7.267807622549544e+22
2020-10-16,7.127965475749693e+22
2020-11-01,7.2399809321267695e+22
2020-11-16,6.908923824966684e+22
2020-12-01,6.824177677110483e+22
2020-12-16,6.630971031343947e+22
2021-01-01,6.490499679260404e+22
2021-01-16,6.631865921185298e+22
2021-02-01,7.518453114771628e+22
2021-02-16,7.279214639491715e+22
2021-03-01,7.043849396700729e+22
2021-03-16,7.288109378961774e+22
2021-04-01,7.321298494910075e+22
2021-04-16,7.53793205399407e+22
2021-05-01,7.447093888039409e+22
2021-05-16,7.551714294621624e+22
2021-06-01,7.549926621279275e+22
2021-06-16,7.617943243120157e+22
2021-07-01,7.645547232677319e+22
2021-07-16,7.714037843673343e+22
2021-08-01,7.577881743700342e+22
2021-08-16,7.546627045175683e+22
2021-09-01,7.4268531061612754e+22
2021-09-16,7.704844086894886e+22
2021-10-01,7.648572301451253e+22
2021-10-16,7.396485361746051e+22
2021-11-01,6.919310044160697e+22
2021-11-16,7.099249878452337e+22
2021-12-01,7.080299782553833e+22
2021-12-16,6.905446412494661e+22
2022-01-01,7.163137037295382e+22
2022-01-16,6.887946631114156e+22
2022-02-01,7.164452618972369e+22
2022-02-16,7.3341244548917825e+22
2022-03-01,7.510269927025277e+22
2022-03-16,7.613995645210008e+22
2022-04-01,7.564654817053894e+22
2022-04-16,7.574734946097493e+22
2022-05-01,7.799783305985229e+22
2022-05-16,7.932216808447636e+22
2022-06-01,7.97785786050368e+22
2022-06-16,7.796103420140603e+22
2022-07-01,7.79021617613902e+22
2022-07-16,7.68626746954303e+22
2022-08-01,7.557356984085402e+22
2022-08-16,7.614272854307896e+22
2022-09-01,7.58832392295109e+22
2022-09-16,7.601801182838811e+22
2022-10-01,7.614817451152711e+22
2022-10-16,7.39112179023001e+22
2022-11-01,7.127474976041303e+22
2022-11-16,6.685110885399412e+22
2022-12-01,6.659951775218871e+22
2022-12-16,6.506049765655836e+22
2023-01-01,6.695127526527388e+22
2023-01-16,6.5908980220566415e+22
2023-02-01,6.432491801024016e+22
2023-02-16,6.773280242478469e+22
2023-03-01,7.1941818790804885e+22
2023-03-16,7.271229149898197e+22
2023-04-01,7.270088703847927e+22
2023-04-16,7.623826921947773e+22
2023-05-01,7.553743566725798e+22
2023-05-16,7.757034050402256e+22
2023-06-01,7.716393593936426e+22
2023-06-16,7.760946222428114e+22
2023-07-01,7.5495143612533235e+22
2023-07-16,
2023-08-01,7.607035673270136e+22
2023-08-16,7.645507217379194e+22
2023-09-01,7.599111356964746e+22
2023-09-16,7.528117216025816e+22
2023-10-01,7.4389507499111735e+22
2023-10-16,7.317703927985351e+22
2023-11-01,7.207133747909556e+22
2023-11-16,7.165598418449307e+22
2023-12-01,7.040894685383002e+22
2023-12-16,6.805309864409097e+22
