date,mean_concentration
2019-01-01,6.755781536307418e+22
2019-01-16,7.005756019839014e+22
2019-02-01,6.664146553768719e+22
2019-02-16,6.6079615953176766e+22
2019-03-01,6.887481357001727e+22
2019-03-16,7.250500104322164e+22
2019-04-01,7.753472406228847e+22
2019-04-16,7.336422940019607e+22
2019-05-01,7.185415873871288e+22
2019-05-16,7.4552117588648335e+22
2019-06-01,7.74223064575902e+22
2019-06-16,7.552272113843812e+22
2019-07-01,7.60535144197903e+22
2019-07-16,7.557316741090274e+22
2019-08-01,7.471186141474655e+22
2019-08-16,7.4283695939214385e+22
2019-09-01,7.287913390727476e+22
2019-09-16,7.1795772283571e+22
2019-10-01,7.525445280024564e+22
2019-10-16,7.122504845054571e+22
2019-11-01,6.961677740046441e+22
2019-11-16,6.686282365681667e+22
2019-12-01,6.765831086136144e+22
2019-12-16,7.324144309127372e+22
2020-01-01,6.7456651815900496e+22
2020-01-16,7.608546521567579e+22
2020-02-01,7.438616882509844e+22
2020-02-16,7.497167864391543e+22
2020-03-01,7.83190106474758e+22
2020-03-16,7.588244489097599e+22
2020-04-01,7.775012163420457e+22
2020-04-16,8.131581567961755e+22
2020-05-01,8.025688564338932e+22
2020-05-16,7.605541507456904e+22
2020-06-01,7.67919871552481e+22
2020-06-16,7.504453731674953e+22
2020-07-01,7.344744787484421e+22
2020-07-16,7.3621181539634656e+22
2020-08-01,7.241265415922269e+22
2020-08-16,7.28316355026384e+22
2020-09-01,7.311765458019099e+22
2020-09-16,7.30029498815442e+22
2020-10-01,6.954080414313857e+22
2020-10-16,6.8932403535792614e+22
2020-11-01,7.339532336511623e+22
2020-11-16,7.0674888362339554e+22
2020-12-01,7.101117324311944e+22
2020-12-16,6.814636125314689e+22
2021-01-01,6.716509071930459e+22
2021-01-16,6.617392143895543e+22
2021-02-01,7.696808113345781e+22
2021-02-16,7.1008536012188184e+22
2021-03-01,7.438934939054738e+22
2021-03-16,7.47270689849519e+22
2021-04-01,7.65850928669135e+22
2021-04-16,7.768506173463453e+22
2021-05-01,8.134142021317865e+22
2021-05-16,7.574423039854037e+22
2021-06-01,7.658088947150929e+22
2021-06-16,7.578140442345572e+22
2021-07-01,7.685735771452312e+22
2021-07-16,7.631319255315624e+22
2021-08-01,7.653187123226515e+22
2021-08-16,7.47872942436944e+22
2021-09-01,7.562934584074785e+22
2021-09-16,7.554640241977676e+22
2021-10-01,7.410812378672865e+22
2021-10-16,7.414874499737058e+22
2021-11-01,7.1870545793601285e+22
2021-11-16,7.1965622542206274e+22
2021-12-01,6.992428824527942e+22
2021-12-16,7.277034340882266e+22
2022-01-01,7.267093732301992e+22
2022-01-16,7.5027264692265545e+22
2022-02-01,7.854728600415152e+22
2022-02-16,7.934406899332614e+22
2022-03-01,7.962904700248315e+22
2022-03-16,7.975993984074762e+22
2022-04-01,7.993940028761537e+22
2022-04-16,7.943812655374896e+22
2022-05-01,7.975507238299312e+22
2022-05-16,8.046396147078608e+22
2022-06-01,7.942260368329625e+22
2022-06-16,8.102400281508935e+22
2022-07-01,7.888060030840684e+22
2022-07-16,7.607145588677487e+22
2022-08-01,7.634331387799365e+22
2022-08-16,7.632523272902497e+22
2022-09-01,7.5395628097306165e+22
2022-09-16,7.504324224174065e+22
2022-10-01,7.335114654007736e+22
2022-10-16,7.2231942507222155e+22
2022-11-01,6.9889825254136485e+22
2022-11-16,6.842276940423676e+22
2022-12-01,6.655021756370581e+22
2022-12-16,6.8872004136299106e+22
2023-01-01,6.9090127323301386e+22
2023-01-16,6.804886914063857e+22
2023-02-01,6.906244476646914e+22
2023-02-16,7.098335862388458e+22
2023-03-01,7.1244908506857374e+22
2023-03-16,7.708406399186066e+22
2023-04-01,7.794773568553953e+22
2023-04-16,7.874172978168186e+22
2023-05-01,7.62984764615827e+22
2023-05-16,7.867549039450167e+22
2023-06-01,7.91579423308953e+22
2023-06-16,7.731600126793977e+22
2023-07-01,7.5033735781184336e+22
2023-07-16,7.614001303208803e+22
2023-08-01,7.366358638686912e+22
2023-08-16,7.524835697361209e+22
2023-09-01,7.505325057517212e+22
2023-09-16,7.604510301797805e+22
2023-10-01,7.421167343800964e+22
2023-10-16,7.480139671071616e+22
2023-11-01,7.365112790405677e+22
2023-11-16,7.276757042908488e+22
2023-12-01,7.5285790453866705e+22
2023-12-16,7.1683240483794935e+22
